Field1	Field2
ἀβελτερία	silliness, stupidity, fatuity
ἀβίωτος	not to be lived, insupportable
ἀβουλία	want of counsel, thoughtlessness
ἄβροχος	unwetted, unmoistened
ἀγαθός	good
ἀγανακτέω	to feel irritation
ἀγαπάζω	to treat with affection, shew affection to
ἀγαπάω	to treat with affection, to caress, love, be fond of
ἀγάπη	love
ἀγαπητός	beloved
ἀγαστός	deserving admiration
ἀγατός	
ἀγγέλλω	to bear a message
ἄγγελος	a messenger, envoy
ἀγένητος	unborn, uncreated, unoriginated
ἀγεννής	of no family, low-born
Ἀγλαοκρέοντα	
Ἀγλαοκρέων	
ἀγνοέω	not to perceive or know
ἄγνοια	want of perception, ignorance
Ἁγνούσιον	
Ἁγνούσιος	
ἄγνυμι	to break, shiver
ἀγνωμοσύνη	want of sense, folly
ἀγνώμων	ill-judging, senseless
ἀγορά	an assembly of the people
ἀγοράζω	to be in the ἀγορά
ἀγοραῖος	in, of, or belonging to the ἀγορά
ἀγοράομαι	to meet in assembly, sit in debate
ἀγόρασμα	that which is bought
ἀγορεύω	to speak in the assembly, harangue, speak
ἄγος	any matter of religious awe
ἀγός	a leader, chief
ἄγρα	a catching, hunting
ἀγρέω	to capture, seize
ἄγριος	living in the fields
ἀγριόω	to make wild or savage
ἀγρός	fields, lands
ἀγρυπνέω	to lie awake, be wakeful
ἀγρυπνία	sleeplessness, waking, watching
ἀγχόνη	a throttling, strangling, hanging
ἄγω	to lead or carry, to convey, bring
ἀγών	a number of people brought together, a gathering, assembly
ἀγωνίζομαι	to contend for a prize
ἀγωνιστής	a rival
ἀγωνοθέτης	judge of the contests, director of the games
ἄγωνος	
ἀδαμάντινος	adamantine
ἀδεής	without fear, fearless
ἄδεια	freedom from fear
ἀδελφή	a sister
ἀδελφιδέος	a brother's or sister's son, a nephew
ἀδελφός	sons of the same mother
ἄδηλος	not seen or known, unknown, obscure
ἀδιάφθορος	uncorrupted
ἀδικέω	to do wrong
ἀδίκημα	a wrong done, a wrong
ἄδικος	wrong-doing, unrighteous, unjust
ἀδοκίμαστος	untried, unproved
ἀδοξέω	to be held in no esteem, to stand in ill repute
ἀδοξία	ill-repute, disgrace
ἀδυνατέω	to want strength
ἀδύνατος	unable
ἀδωροδόκητος	
ἀεί	always, for ever
ἀεικής	unseemly, shameful
ἀείμνηστος	ever to be remembered
ἀέκων	against one's will, unwilling
ἀεργία	a not working, idleness
ἀζήμιος	free from further payment: without loss, scot-free
Ἀζηνιεῖ	
Ἀζηνιεύς	
ἀζητητος	
ἀζήτητος	
ἀηδία	unpleasantness, nauseousness
ἀθάνατος	undying, immortal
Ἀθήναζε	to Athens
Ἀθῆναι	the city of Athens
Ἀθήναια	
Αθηναῖοι	
Ἀθήναιον	the temple of Athena
Ἀθήναιος	
Ἀθηναῖος	Athenian, of or from Athens
Ἀθηναιων	
Ἀθήναξε	
Ἀθήνευς	
Ἀθήνη	Athena
Ἀθήνησιν	at Athens
ἀθλέω	having contended with
ἆθλον	the prize of contest
ἆθλος	a contest for a prize
ἀθόρυβος	without uproar
ἀθρόος	in crowds or masses, crowded together
ἀθυμέω	to be disheartened, lose heart
ἀθυμία	want of heart, faintheartedness
ἄθυμος	without heart, fainthearted
ἄθυτος	not offered
Ἄθως	mount Athos
Αἰγῇδος	
Αἰγινήτης	an Aeginetan
αἴθων	fiery, burning, blazing
αἷμα	blood
αἰνιγμός	a riddle
αἰνίσσομαι	to speak in riddles
αἵρεσις	a taking especially
αἱρετός	that may be taken or conquered
αἱρέω	to take with the hand, grasp
αἴρω	to take up, raise, lift up
Αἶσα	the goddess of destiny
