Field1	Field2
ἆ	ah!
ά	
ἄατος	insatiate
ἄβατον	
ἄβατος	untrodden, impassable, inaccessible
ἀβλαβής	without harm
ἀβουκόλητος	untended by herdsmen
ἀβουλία	want of counsel, thoughtlessness
ἁβροβάτης	softly or delicately stepping
ἁβρόγοος	wailing womanishly
ἁβροδίαιτος	living delicately
ἁβροπενθής	
ἁβρότιμος	delicate and costly
ἁβροχίτων	in soft tunic, softly clad
ἁβρύνω	to make delicate, treat delicately
ἄβυσσος	with no bottom, bottomless, unfathomed
ἀγάζω	
ἀγαθός	good
ἀγάλακτος	without milk, getting no milk
ἄγαλμα	a glory, delight, honour
ἄγαμαι	to wonder, be astonished
Ἀγαμεμνόνεος	of or having to do with Agamemnon
Ἀγαμεμνόνιος	
Ἀγαμέμνων	the very steadfast
ἄγαμος	unmarried, unwedded, single
ἄγαν	very, much, very much
ἀγανός	mild, gentle, kindly
ἀγάστονος	much groaning, howling
ἀγαστός	deserving admiration
ἀγατός	
ἀγαυός	illustrious, noble
Ἀγβάτανα	
Ἀγβατάνων	
ἄγγαρος	a mounted courier
ἀγγελία	a message, tidings, news
ἀγγέλλω	to bear a message
ἄγγελος	a messenger, envoy
Ἀγδαβάτας	
ἄγε	come! come on! well!
ἀγείρω	to bring together, gather together
ἀγείτων	without neighbour, neighbourless
ἀγέλαστος	not laughing, grave, gloomy, sullen
ἄγη	wonder, awe, amazement
ἀγή	a fragment, piece, splinter
ἀγήνωρ	manly, courageous, heroic
ἄγκαθεν	in the arms
ἀγκάλη	the bent arm
ἄγκυρα	anchor
ἀγκυρουχία	
ἀγλάισμα	an ornament, honour
ἄγναμπτος	unbending, inflexible
ἁγνεύω	to consider as part of purity, make it a point of religion
ἅγνισμα	a purification, expiation
ἀγνοέω	not to perceive or know
ἄγνοια	want of perception, ignorance
ἁγνόρυτος	pure-flowing
ἁγνός	full of religious awe
ἄγνυμι	to break, shiver
ἀγνώς	unknown
ἄγοος	unmourned
ἀγορά	an assembly of the people
ἀγοράζω	to be in the ἀγορά
ἀγοραῖος	in, of, or belonging to the ἀγορά
Ἀγορή	
ἀγός	a leader, chief
ἄγος	any matter of religious awe
ἄγρα	a catching, hunting
ἀγρέτης	
ἄγρευμα	that which is taken in hunting, booty, prey, spoil
ἀγρεύς	a hunter
ἀγρέω	to capture, seize
ἀγρία	
ἄγριος	living in the fields
Ἄγριος	
ἀγριόω	to make wild or savage
ἀγρόνομος	haunting the country, rural, wild
ἀγρονόμος	
ἀγρός	fields, lands
ἄγρυπνος	hunting after sleep
ἀγυιᾶτις	of Apollo Agyieus
Ἀγυιεύς	guardian of the streets
ἀγύρτης	a collector
ἀγύρτρια	
ἄγχι	near, nigh, close by
ἀγχίαλος	near the sea
ἀγχιγείτων	neighbouring
ἀγχίπτολις	near the city, dwelling hard by
ἄγχιστος	nearest
ἀγχόνη	a throttling, strangling, hanging
ἄγω	to lead or carry, to convey, bring
ἀγωγεύς	one that draws or drags
ἀγωγή	a carrying away, carriage
ἀγών	a number of people brought together, a gathering, assembly
ἀγωνιάω	to contend eagerly, struggle
ἀγώνιος	of or belonging to the contest
ἄγωνος	
ἄδαιτος	of which none might eat
ἀδαμάντινος	adamantine
ἀδαμαντόδετος	iron-bound
ἀδάματος	unconquered
ἀδείμαντος	fearless, dauntless
ἀδελφή	a sister
ἀδελφός	sons of the same mother
Ἀδεύης	
ἅδην	to eat their fill
ἀδήριτος	without strife or battle
ᾍδης	Hades or Pluto
ἀδικέω	to do wrong
ἄδικος	wrong-doing, unrighteous, unjust
ἄδμητος	unbroken
ᾁδοβάτης	
ἄδολος	without fraud, guileless
ἅδος	satiety, loathing
Ἀδράστεια	the Inevitable
ἄδραστος	not running away, not inclined to do so
Ἄδραστος	
ἄδρεπτος	
ἀεί	always, for ever
ἀείδω	to sing
ἀείζων	
ἀείζωος	
ἀεικής	unseemly, shameful
ἀείμνηστος	ever to be remembered
ἄειρος	
ἀείρω	to lift, heave, raise up
ἀέκων	against one's will, unwilling
ἄελπτος	unexpectedly
ἀέναος	ever-flowing
ἀεξίφυλλος	nourishing leaves, leafy
ἀέξω	to increase, enlarge, foster, strengthen
ἀέρδην	lifting up
