Field1	Field2
Ἀ	
Ἀγάθαρχος	
ἀγαθός	good
ἀγανακτέω	to feel irritation
ἀγαπάζω	to treat with affection, shew affection to
ἀγαπάω	to treat with affection, to caress, love, be fond of
ἀγαπητός	beloved
Ἀγαρίστη	
ἀγγέλλω	to bear a message
Ἀγησίλαος	
ἀγησίλαος	leader of people, conductor of men
ἀγνοέω	not to perceive or know
ἀγορά	an assembly of the people
ἀγοράζω	to be in the ἀγορά
ἀγός	a leader, chief
ἄγραφος	unwritten
Ἀγύρριος	
ἄγω	to lead or carry, to convey, bring
ἀγών	a number of people brought together, a gathering, assembly
ἀγωνίζομαι	to contend for a prize
ἀγωνοθέτης	judge of the contests, director of the games
ἄγωνος	
ἀδεής	without fear, fearless
ἄδεια	freedom from fear
Ἀδείμαντος	
ἀδείμαντος	fearless, dauntless
ἀδελφή	a sister
ἀδελφιδέος	a brother's or sister's son, a nephew
ἀδελφός	sons of the same mother
ἀδικέω	to do wrong
ἀδίκημα	a wrong done, a wrong
ἀδικία	wrong-doing, injustice
ἄδικος	wrong-doing, unrighteous, unjust
ἀδύνατος	unable
ἀεί	always, for ever
ἀείρω	to lift, heave, raise up
ἀέκων	against one's will, unwilling
Ἀθῆναι	the city of Athens
Ἀθήναια	
Ἀθήναιον	the temple of Athena
Ἀθήναιος	
Ἀθηναῖος	Athenian, of or from Athens
Ἀθήνευς	
Ἀθήνη	Athena
Ἀθήνησιν	at Athens
ἄθλιος	gaining the prize
ἆθλον	the prize of contest
ἆθλος	a contest for a prize
ἀθρόος	in crowds or masses, crowded together
Αἰαντίς	
Αἰγῄς	
Αἴγινα	Aegina
αἰγίνη	
Αἰγινήτης	an Aeginetan
Αἴγισθος	
αἰκία	injurious treatment, an affront, outrage
αἰκίζω	to treat injuriously, to plague, torment
αἱρέω	to take with the hand, grasp
αἴρω	to take up, raise, lift up
αἰσθάνομαι	to perceive, apprehend by the senses, to see, hear, feel
αἰσχροκερδής	sordidly greedy of gain
αἰσχρός	causing shame, abusive
αἰσχύνω	to make ugly, disfigure, mar
αἰτέω	to ask, beg
αἰτία	a charge, accusation
αἴτιος	to blame, blameworthy, culpable
αἰχμάλωτος	taken by the spear, captive to one's spear, taken prisoner
ἀκέομαι	to heal, cure
ἀκολουθέω	to follow
Ἀκουμενός	
ἀκούω	to hear
ἀκριβής	exact, accurate, precise, made or done to a nicety
ἀκριβόω	to make exact or accurate
ἀκριβῶς	
ἄκριτος	undistinguishable, unarranged, disorderly
ἀκροάομαι	to hearken to, listen to
ἀκρόασις	a hearing or listening
ἀκρόπολις	the upper city
ἀκτέον	
ἀκτέος	one must lead
ἄκυρον	
ἄκυρος	without authority
ἀκυρόω	
ἄκων	a javelin, dart
Ἀλέξιππος	
ἀλήθεια	truth
ἀληθής	unconcealed, true
ἁλίσκομαι	to be taken, conquered
ἀλιτήριος	sinning or offending against
Ἀλκιβιάδης	
Ἀλκισθένης	
Ἀλκμέων	
Ἀλκμεωνίδου	
ἀλλά	otherwise, but
ἀλλάσσω	to make other than it is, to change, alter
ἀλλήλων	of one another, to one another, one another
ἄλλοθι	elsewhere, in another place, in a strange
ἄλλος	alius, another, one besides
ἀλλότριος	of or belonging to another
ἀλλοτριόω	to estrange from
ἄλλου	
ἄλλως	in another way or manner
ἅμα	at once, at the same time
ἀμαθής	unlearned, ignorant, stupid, boorish
ἁμαρτάνω	to miss, miss the mark
ἁμάρτημα	a failure, fault, sin
ἁμαρτία	a failure, fault, sin
ἀμείνων	better, abler, stronger, braver
ἀμελέω	to have no care for, be neglectful of
ἀμηχανία	want of means, helplessness, impotence
ἀμίαντος	undefiled
