Field1	Field2
ἀβασάνιστος	not examined by torture, untortured
ἀβίωτος	not to be lived, insupportable
ἀβουλία	want of counsel, thoughtlessness
ἄβουλος	inconsiderate, ill-advised
ἀγαθός	good
ἀγανακτέω	to feel irritation
ἀγγελία	a message, tidings, news
ἀγγέλλω	to bear a message
ἄγγελος	a messenger, envoy
ἁγνεία	purity, chastity
ἁγνεύω	to consider as part of purity, make it a point of religion
ἄγνυμι	to break, shiver
ἀγορά	an assembly of the people
ἀγοράζω	to be in the ἀγορά
ἀγοράομαι	to meet in assembly, sit in debate
ἀγορεύω	to speak in the assembly, harangue, speak
ἀγός	a leader, chief
ἄγχιστος	nearest
ἄγω	to lead or carry, to convey, bring
ἀγών	a number of people brought together, a gathering, assembly
ἀγωνίζομαι	to contend for a prize
ἀγώνισμα	a contest
ἄγωνος	
ἄδεια	freedom from fear
ἀδελφή	a sister
ἀδελφός	sons of the same mother
ἄδηλος	not seen or known, unknown, obscure
ἀδικέω	to do wrong
ἀδίκημα	a wrong done, a wrong
ἀδικία	wrong-doing, injustice
ἄδικος	wrong-doing, unrighteous, unjust
ἄδολος	without fraud, guileless
ἀδυνασία	
ἀδύνατος	unable
ἀεί	always, for ever
ἀείμνηστος	ever to be remembered
ἀεκούσιος	against one's will, involuntary
ἀέκων	against one's will, unwilling
ἀζήμιος	free from further payment: without loss, scot-free
ἄθεμις	lawless
ἀθέμιστος	lawless, without law
ἀθέμιτος	
ἄθεος	without God, denying the gods
ἀθεραπεία	
Ἀθήναια	
Ἀθήναιον	the temple of Athena
Ἀθηναῖος	Athenian, of or from Athens
Ἀθήναιος	
Ἀθήνη	Athena
ἀθλέω	having contended with
ἄθλιος	gaining the prize
αἰδέομαι	to be ashamed to do
ἀίδιος	everlasting, eternal
αἰδώ	
αἰδώς	a sense of shame, shame, modesty, self-respect
αἷμα	blood
Αἶνος	
αἱρέω	to take with the hand, grasp
αἴρω	to take up, raise, lift up
αἰσθάνομαι	to perceive, apprehend by the senses, to see, hear, feel
αἴσθησις	perception by the senses
αἰσχρός	causing shame, abusive
αἰσχύνη	shame done one, disgrace, dishonour
αἰσχύνω	to make ugly, disfigure, mar
αἰτέω	to ask, beg
αἴτησις	a request, demand
αἰτία	a charge, accusation
αἰτιάομαι	to charge, accuse, censure, blame
αἰτίασις	
αἴτιος	to blame, blameworthy, culpable
ἀκέομαι	to heal, cure
ἀκεστός	curable
ἀκίνδυνος	without danger, free from danger
ἀκλεής	without fame, inglorious, unsung
ἀκλεῶς	
ἀκμάζω	to be in full bloom, be at one's prime or perfection
ἀκμή	a point, edge
ἀκοή	a hearing, the sound heard
ἀκολασία	licentiousness, intemperance
ἀκολουθέω	to follow
ἀκόλουθος	following, attending on
ἀκοντίας	
ἀκοντίζω	to hurl a javelin
ἀκόντιον	
ἀκούσιος	
ακουσίου	
ἄκουσις	
ἀκούω	to hear
ἀκρίβεια	exactness, minute accuracy, precision
ἀκριβής	exact, accurate, precise, made or done to a nicety
ἀκριβόω	to make exact or accurate
ἀκριβῶς	
ἄκριτος	undistinguishable, unarranged, disorderly
ἀκροάομαι	to hearken to, listen to
ἀκρόασις	a hearing or listening
ἀκτέα	the elder-tree
ἀκτή	a headland, foreland, promontory, shore
ἄκων	a javelin, dart
ἀλήθεια	truth
ἀληθής	unconcealed, true
ἁλίσκομαι	to be taken, conquered
ἀλιτήριος	sinning or offending against
ἀλλά	otherwise, but
ἀλλάσσω	to make other than it is, to change, alter
ἀλλαχόθεν	from another place
ἄλλοθεν	from another place
ἄλλοθι	elsewhere, in another place, in a strange
ἄλλος	alius, another, one besides
ἀλλότριος	of or belonging to another
ἀλλοτριόω	to estrange from
ἄλλου	
ἄλλως	in another way or manner
ἁλώνης	
ἅμα	at once, at the same time
ἁμαρτάνω	to miss, miss the mark
ἁμάρτημα	a failure, fault, sin
ἁμαρτία	a failure, fault, sin
Ἀμεινίης	
ἀμείνων	better, abler, stronger, braver
ἀμνήμων	unmindful, forgetful
ἁμός	
ἀμπέλινος	of the vine
ἀμύνω	to keep off, ward off
ἀμφισβητέω	to stand apart
ἀμφισβητήσιμος	disputed, disputable
ἀμφισβήτησις	a dispute, controversy, debate
ἀμφότερος	each or both of two
ἄμφω	
ἄν	
ἀνά	up, upon
ἀναβαίνω	to go up, mount, to go up to
ἀναβοάω	to shout aloud, utter a loud cry
ἀναγιγνώσκω	to know well, know certainly
ἀναγκάζω	to force, compel
