Field1	Field2
Ἆ	
ἀάατος	not to be injured, inviolable
ἀαγής	unbroken, not to be broken, hard, strong
ἄατος	insatiate
ἀάω	to hurt, damage
Ἀβαντιάδαο	
Ἀβαντιάδην	
Ἀβαντιάδης	
Ἀβαντίς	
Ἀβαρνίδος	
Ἄβας	
ἀβλής	not thrown or shot
ἀβληχρός	weak, feeble
ἀβόλησαν	
ἀβολήσομεν	
ἄβρομος	very noisy, boisterous
Ἄβυδος	Abydos
ἀγαθός	good
ἀγαίομαι	to be indignant at
ἀγάλλω	to make glorious, glorify, exalt
ἄγαμαι	to wonder, be astonished
Ἀγαμήστορα	
ἀγανός	mild, gentle, kindly
ἀγανόφρων	gentle of mood
ἀγαπάζω	to treat with affection, shew affection to
ἀγαπάω	to treat with affection, to caress, love, be fond of
ἀγαυός	illustrious, noble
ἀγγελία	a message, tidings, news
ἀγγέλλω	to bear a message
ἄγγελος	a messenger, envoy
Ἄγγουρον	
Ἀγγούρου	
ἄγε	come! come on! well!
ἀγείρω	to bring together, gather together
ἀγέλη	a herd
ἀγεληδόν	in herds or companies
ἀγέληθεν	
ἀγέραστος	without a gift of honour, unrecompensed, unrewarded
ἀγέρονται	
ἀγή	a fragment, piece, splinter
ἄγη	wonder, awe, amazement
ἀγηνορία	manliness, manhood, courage
Ἀγηνορίδαο	
Ἀγηνορίδης	
ἀγήνωρ	manly, courageous, heroic
Ἀγήνωρ	
ἀγητός	admirable, wondrous
ἀγινέω	to lead, bring, carry
ἅγιος	devoted to the gods, sacred, holy
Ἀγκαῖος	
ἀγκάλη	the bent arm
ἀγκάς	in or into the arms
ἀγκή	
ἄγκοινα	
ἀγκοίνη	the bent arm
ἀγκύλη	a loop or noose
ἀγκύλος	crooked, curved
ἀγκών	the bend of the arm, the elbow
ἀγλαία	splendour, beauty, adornment
ἀγλαός	splendid, shining, bright, beautiful
Ἁγνιάδαο	
Ἁγνιάδην	
Ἁγνιάδης	
ἁγνίζω	to cleanse away
ἄγνυμι	to break, shiver
ἄγονος	unborn
ἀγορά	an assembly of the people
ἀγοράζω	to be in the ἀγορά
ἀγοράομαι	to meet in assembly, sit in debate
ἀγορευσεν	
ἀγορεύω	to speak in the assembly, harangue, speak
ἀγορῆθεν	from the Assembly or market
ἀγορήνδε	to the Assembly or market
ἄγος	any matter of religious awe
ἀγός	a leader, chief
ἀγοστός	the flat of the hand
ἄγρα	a catching, hunting
ἄγραυλος	dwelling in the field
ἀγρεύς	a hunter
ἀγρέω	to capture, seize
ἄγρηθεν	
ἀγριάς	wild
ἄγριος	living in the fields
ἀγρόθεν	from the country
ἀγροιώτης	a countryman
ἀγρότερος	wild
ἀγρότης	a country-man, rustic
ἀγρώστης	
ἀγυιά	a street, highway
ἄγχαυρος	
ἄγχι	near, nigh, close by
ἀγχίαλος	near the sea
ἀγχιβαθής	deep near shore
ἀγχίγυος	
ἀγχίμολος	coming near
ἀγχίροος	
ἀγχίρροος	
ἀγχόθι	near
ἀγχοῦ	near, nigh
ἄγχω	to compress, press tight
ἄγω	to lead or carry, to convey, bring
ἀγών	a number of people brought together, a gathering, assembly
ἀδαίετος	
ἀδάμας	
ἀδελφός	sons of the same mother
ἀδευκής	not sweet, bitter, cruel
ἀδέψητος	untanned
ἀδήιος	unassailed, unravaged
ἀδήλητος	
ἅδην	to eat their fill
ᾍδης	Hades or Pluto
ἀδινός	close-packed
ἀδμής	untamed
ἀδμῆτις	
Ἄδμητος	
ἄδμητος	unbroken
ἅδος	satiety, loathing
ἀδρανία	
Ἀδράστεια	the Inevitable
ἀέθλιος	
ἀεί	always, for ever
ἀείδω	to sing
ἀεικέλιος	
ἀεικής	unseemly, shameful
ἄειρος	
ἀείρω	to lift, heave, raise up
ἀέκητι	against one's will
ἀέκων	against one's will, unwilling
ἄελλα	a stormy wind, whirlwind, eddy
ἀελλόπος	storm-footed, storm-swift
ἀέναος	ever-flowing
ἀενάων	
ἀέξω	to increase, enlarge, foster, strengthen
ἀεργηλός	
ἀέριος	in the mist or thick air of morning
ἀερσίλοφος	
ἀερτάζω	to lift up
ἀετός	an eagle
ἀζαλέα	
ἀζαλέος	dry, parched
ἀζηχής	unceasing, excessive
ἅζομαι	to stand in awe of, dread
ἀήθεια	unaccustomedness
ἀήθεον	
ἀηθέσσω	to be unaccustomed to
ἄημι	to breathe hard, blow
ἀήρ	the lower air, the air
ἀήσυρος	light as air, small, little
ἀήτη	
ἀήτης	a blast, gale
ἄητος	stormy, furious
Ἀθαμαντίδος	
Ἀθαμάντιος	
Ἀθάμας	
ἀθάνατος	undying, immortal
ἀθερίζω	to slight, make light of
ἀθέσφατος	beyond even a god's power to express: ineffable, aweful
Ἀθῆναι	the city of Athens
Ἀθηναῖος	Athenian, of or from Athens
Ἀθήνευς	
Ἀθήνη	Athena
ἀθλεύω	to contend for a prize, combat, wrestle
ἀθλέω	having contended with
ἄθλιος	gaining the prize
ἆθλον	the prize of contest
