Field1	Field2
ἄ	
ἆ	ah!
ἄβατον	
ἄβατος	untrodden, impassable, inaccessible
ἀβέλτερος	good for nothing, silly, stupid, fatuous
ἀβίωτος	not to be lived, insupportable
ἀβουλέω	to be unwilling
ἄβυσσος	with no bottom, bottomless, unfathomed
ἀγαθός	good
Ἀγάθων	
Ἁγάθων	
ἀγάλλω	to make glorious, glorify, exalt
ἄγαλμα	a glory, delight, honour
ἄγαμαι	to wonder, be astonished
Ἀγαμέμνων	the very steadfast
ἄγαν	very, much, very much
ἀγανακτέω	to feel irritation
ἀγανός	mild, gentle, kindly
ἄγανος	
ἀγανόφρων	gentle of mood
ἀγαπάζω	to treat with affection, shew affection to
ἀγαπάω	to treat with affection, to caress, love, be fond of
ἀγαπητός	beloved
ἀγαστός	deserving admiration
ἀγασώς	
ἀγατός	
ἀγγεῖον	
ἀγγελία	a message, tidings, news
ἀγγέλλω	to bear a message
ἄγγελος	a messenger, envoy
ἄγγος	a vessel
ἄγε	come! come on! well!
ἀγείρω	to bring together, gather together
ἀγέλη	a herd
ἀγένειος	beardless
ἀγεννής	of no family, low-born
ἀγέχορον	
ἄγη	wonder, awe, amazement
ἀγήνωρ	manly, courageous, heroic
Ἀγήνωρ	
ἀγήρῳς	
ἁγίζω	to hallow, dedicate
ἅγιος	devoted to the gods, sacred, holy
ἀγκάλη	the bent arm
ἀγκονίωαι	
ἀγκύλη	a loop or noose
Ἀγκυλίων	
ἀγκύλος	crooked, curved
ἀγκυλοχήλης	with crooked claws
ἀγκυλόω	to crook, bend
ἀγκυρίζω	to throw by the hook-trick
ἀγλαός	splendid, shining, bright, beautiful
ἄγλαυρος	
Ἄγλαυρος	
ἄγλις	a head of garlic
ἁγνεύω	to consider as part of purity, make it a point of religion
ἄγνοια	want of perception, ignorance
ἁγνός	full of religious awe
ἄγνυμι	to break, shiver
ἀγνώς	unknown
ἄγνωστος	unknown
ἄγνωτος	
ἀγορά	an assembly of the people
ἀγοράζω	to be in the ἀγορά
ἀγοραῖος	in, of, or belonging to the ἀγορά
Ἀγοράκριτος	
ἀγορανόμος	a clerk of the market
ἀγοράομαι	to meet in assembly, sit in debate
ἀγόρασις	
ἀγορεύω	to speak in the assembly, harangue, speak
ἀγορητής	a speaker, orator
ἀγός	a leader, chief
ἄγρα	a catching, hunting
ἀγρεῖος	of or in the country
ἀγρέω	to capture, seize
ἀγριοποιός	writing wild poetry
ἄγριος	living in the fields
ἀγριόω	to make wild or savage
ἀγροῖκος	
ἄγροικος	of or in the country
ἀγροιώτης	a countryman
ἀγρός	fields, lands
Ἀγροτέρη	
ἀγρότερος	wild
ἀγρυπνία	sleeplessness, waking, watching
ἀγυιά	a street, highway
Ἀγυιεύς	guardian of the streets
ἀγυιεύς	
ἀγυμνασία	want of training
Ἀγύρριος	
ἀγχιστεία	nearness of kin
ἀγχόνη	a throttling, strangling, hanging
ἄγχω	to compress, press tight
ἄγω	to lead or carry, to convey, bring
ἀγωγή	a carrying away, carriage
ἀγωγός	leading
ἀγών	a number of people brought together, a gathering, assembly
ἀγωνίζομαι	to contend for a prize
ἀγώνισμα	a contest
ἀδάπανος	without expense, costing nothing
ἀδεής	without fear, fearless
ἀδείμαντος	fearless, dauntless
Ἀδείμαντος	
ἄδειπνος	supperless
ἀδεκάτευτος	not tithed, tithe-free
ἀδελφή	a sister
ἀδελφιδῆ	a brother's or sister's daughter, a niece
ἀδελφός	sons of the same mother
ἄδηλος	not seen or known, unknown, obscure
ᾍδης	Hades or Pluto
ἀδικέω	to do wrong
ἀδίκημα	a wrong done, a wrong
ἄδικος	wrong-doing, unrighteous, unjust
Ἄδμητος	
ἄδμητος	unbroken
ἀδολεσχέω	to talk idly, prate
ἀδολέσχης	a garrulous fellow, idle talker
ἀδολεσχία	garrulity, idle talk
ἄδολος	without fraud, guileless
ἅδος	satiety, loathing
ἁδρός	thick
ἀδύνατος	unable
ἄδυτον	the innermost sanctuary
ἄδυτος	not to be entered
Ἀδώνια	the mourning for Adonis
Ἀδωνιά	
Ἀδωνιασμός	
Ἄδωνις	Adonis
ἀεί	always, for ever
ἀείδω	to sing
ἀείνων	
ἀείρω	to lift, heave, raise up
ἄεισμα	
ἀέκων	against one's will, unwilling
ἄελπτος	unexpectedly
ἀέναος	ever-flowing
ἀέριος	in the mist or thick air of morning
ἀεροβατέω	to walk the air
ἀεροδόνητος	air-tossed, soaring
ἀερονηχής	floating in air
ἀερόφοιτος	roaming in air
ἀετός	an eagle
ἀζήμιος	free from further payment: without loss, scot-free
ἀζήμοις	
ἄζυγος	unwedded
ἄζυξ	unyoked, unpaired, unmarried
ἀηδόνιον	
ἀηδόνιος	of a nightingale
ἀηδών	the songstress
ἀήρ	the lower air, the air
ἀθαλάσσωτος	unused to the sea, a land-lubber
Ἀθάμας	
ἀθάνατος	undying, immortal
ἀθάρη	groats or meal, porridge
ἀθέμιστος	lawless, without law
ἄθεος	without God, denying the gods
ἄθηλος	
Ἀθήναζε	to Athens
Ἀθῆναι	the city of Athens
Ἀθήναια	
Ἀθήναιον	the temple of Athena
Ἀθήναιος	
Ἀθηναῖος	Athenian, of or from Athens
Ἀθήνευς	
Ἀθήνη	Athena
ἀθλέω	having contended with
ἄθλιος	gaining the prize
Ἀθμονεύς	
ἁθμονεύς	
ἀθρέω	to look at, gaze at, observe, perceive
ἀθροίζω	to gather together, to muster
ἀθρόος	in crowds or masses, crowded together
ἄθυμος	without heart, fainthearted
