Field1	Field2
ᾶ	
α	
Α	
αα	
ἄατος	insatiate
ἄβαξ	
ἀβαρής	without weight: not burdensome
ΑΒΓ	
ἀβέβαιος	uncertain, unsteady
ἀβελτερία	silliness, stupidity, fatuity
ἀβλαβής	without harm
Ἀβυδηνός	
Ἄβυδος	Abydos
ἀγαθοδαιμονισταί	
ἀγαθόνκαι	
ἀγαθός	good
ἀγαθόσαὐταρκεστατος	
ἀγαθούσεἰκονογραφους	
Ἀγάθων	
ἄγαλμα	a glory, delight, honour
ἀγαλματοποιός	a maker of statues, a sculptor, statuary
ἄγαμαι	to wonder, be astonished
Ἀγαμέμνων	the very steadfast
ἀγαμένως	with admiration, respect or deference
ἄγαν	very, much, very much
ἀγανακτέω	to feel irritation
ἀγάομαι	admiring
ἀγαπάζω	to treat with affection, shew affection to
ἀγαπάω	to treat with affection, to caress, love, be fond of
ἀγάπη	love
ἀγάπησις	
ἀγαπητός	beloved
ἀγγεῖον	
Ἀγγελῆθεν	
ἀγγελία	a message, tidings, news
ἀγγέλλω	to bear a message
ἀγελαῖος	belonging to a herd, feeding at large
ἀγένεια	
ἀγένειος	beardless
ἀγένεις	
ἀγένητος	unborn, uncreated, unoriginated
ἀγεννής	of no family, low-born
ἀγερμός	
ἄγευστος	without taste of, fasting from
ἄγη	wonder, awe, amazement
ἁγηλατέω	to drive out a curse
ἀγησίλαος	leader of people, conductor of men
Ἀγησίλαος	
ἀγητός	admirable, wondrous
ἄγκυρα	anchor
Ἀγλαία	
ἀγλαία	splendour, beauty, adornment
ἀγνοέω	not to perceive or know
ἀγνόησις	
ἀγνοητικός	
ἄγνοια	want of perception, ignorance
ἄγνυμι	to break, shiver
Ἅγνων	
ἀγνώς	unknown
ἄγνωστος	unknown
ἀγορά	an assembly of the people
ἀγοράζω	to be in the ἀγορά
ἀγοραία	
ἀγοραῖος	in, of, or belonging to the ἀγορά
ἀγορανομία	
ἀγορανομικός	of or for the ἀγορανόμος or his office
ἀγορανόμος	a clerk of the market
ἀγοράομαι	to meet in assembly, sit in debate
ἀγόρασμα	that which is bought
ἀγοράσμα	
ἀγοραστής	the slave who bought provisions for the house, the purveyor
ἀγοραστός	
ἀγορεύω	to speak in the assembly, harangue, speak
ἄγος	any matter of religious awe
ἄγρα	a catching, hunting
ἀγράφιος	
ἄγραφος	unwritten
ἀγρέω	to capture, seize
ἄγριος	living in the fields
ἀγριόω	to make wild or savage
ἀγροικία	rusticity, boorishness, coarseness
ἀγροῖκος	
ἄγροικος	of or in the country
ἀγρονόμος	
ἀγρόνομος	haunting the country, rural, wild
ἀγρός	fields, lands
ἀγρότερος	wild
ἄγρυπνος	hunting after sleep
ἀγυμνασία	want of training
ἀγύμναστος	unexercised, untrained
Ἀγύρριος	
ἀγχίμολος	coming near
ἀγχίνοια	readiness of mind, ready wit, sagacity
ἀγχίνοος	ready of wit, sagacious, shrewd
ἀγχιστεία	nearness of kin
ἄγχω	to compress, press tight
ἄγω	to lead or carry, to convey, bring
ἀγωγεύς	one that draws or drags
ἀγωγή	a carrying away, carriage
ἀγώγιμος	easy to be led or carried
ἀγών	a number of people brought together, a gathering, assembly
ἀγωνία	a contest, struggle for victory
ἀγωνιάω	to contend eagerly, struggle
ἀγωνίζομαι	to contend for a prize
ἀγώνιος	of or belonging to the contest
ἀγώνισμα	a contest
ἀγωνιστής	a rival
ἀγωνιστικός	fit for contest or debate
ἄγωνος	
ἀδάμας	
Ἀδάμας	
ἀδάπανος	without expense, costing nothing
ἀδεής	without fear, fearless
ἄδεια	freedom from fear
ἅδεῖται	
ἀδέκαστος	unbribed
ἀδελφή	a sister
ἀδελφικός	
ἀδελφός	sons of the same mother
ἀδέσποτος	without master
ἄδηλος	not seen or known, unknown, obscure
ἁδήποτε	
ᾅδης	
ᾍδης	Hades or Pluto
ἀδιάβλητος	not listening to slander
ἀδιαίρετος	
ἀδιάφθορος	uncorrupted
ἀδιάφορος	
ἀδιαχώριστος	
ἀδιέξοδος	unable to get out
ἀδικέω	to do wrong
ἀδίκημα	a wrong done, a wrong
ἀδικία	wrong-doing, injustice
ἀδίκιον	a wrong, wrong-dealing
ἄδικος	wrong-doing, unrighteous, unjust
ἀδικουσί	
ἀδιόριστος	
ἀδόκιμος	not standing the test, spurious
ἀδολεσχέω	to talk idly, prate
ἀδολέσχης	a garrulous fellow, idle talker
ἀδολεσχία	garrulity, idle talk
ἀδοξέω	to be held in no esteem, to stand in ill repute
ἀδοξία	ill-repute, disgrace
ἄδοξος	inglorious, disreputable
ἀδορυφόρητος	
ἀδουλία	
ἁδρός	thick
ἅδρυνσις	
ἀδυναμία	want of strength or power, inability, incapacity
ἀδυνατέω	to want strength
ἀδύνατονἡ	
ἀδύνατονὑπολαμβανοντα	
ἀδύνατος	unable
ἀδωροδόκητος	
αε	
ἀεί	always, for ever
ἀείδε	
ἀειδής	without form, incorporeal
ἀείδω	to sing
ἀεικέλιος	
ἀεικής	unseemly, shameful
ἀεικίζω	to treat unseemly, injure, abuse
ἀείτο	
ἀειφυγία	perpetual exile
ἀεκούσιος	against one's will, involuntary
ἀέκων	against one's will, unwilling
ἀελλόπος	storm-footed, storm-swift
ἄελπτος	unexpectedly
ἀέναος	ever-flowing
ἀέξω	to increase, enlarge, foster, strengthen
ἀέρινος	
ἀζήμιος	free from further payment: without loss, scot-free
ἄζυξ	unyoked, unpaired, unmarried
ἀηδέσκαι	
ἀηδής	unpleasant to the taste, distasteful
ἀηδία	unpleasantness, nauseousness
ἀήθης	unwonted, unusual
ἀήρ	the lower air, the air
ἀησσητος	
ἀήττητος	
ἀθανασία	immortality
ἀθανατίζω	to make immortal, to hold oneself immortal
ἀθάνατος	undying, immortal
ἀθέμιστος	lawless, without law
ἄθετος	set aside
Ἀθῆναι	the city of Athens
Ἀθήναια	
Αθηναῖοι	
Ἀθήναιον	the temple of Athena
Ἀθήναιος	
Ἀθηναῖος	Athenian, of or from Athens
Ἀθήνευς	
Ἀθήνη	Athena
Ἀθήνησιν	at Athens
ἀθλέω	having contended with
ἀθλητής	a prizefighter
ἀθλητικός	
ἄθλιος	gaining the prize
ἀθλοθέτης	one who awards the prize, the judge
ἆθλον	the prize of contest
ἆθλος	a contest for a prize
ἀθρέω	to look at, gaze at, observe, perceive
Ἀθριβίτη	
ἀθροίζω	to gather together, to muster
ἀθρόος	in crowds or masses, crowded together
ἀθυμέω	to be disheartened, lose heart
ἄθυμος	without heart, fainthearted
ἄθυρμα	a plaything, toy: a delight, joy
Ἄθως	mount Athos
αἰαῖ	ah!
Αἰακός	
Αἴας	Ajax
αἴγεος	a goat's skin
Αἰγεύς	
Αἴγινα	Aegina
αἰγίνη	
Αἰγινήτης	an Aeginetan
Αἰγίς	
Αἴγισθος	
Αἰγύπτιος	Egyptian
Αἴγυπτος	the river Nile
αἰδέομαι	to be ashamed to do
αἴδεσις	respect
ἀίδηλος	making unseen, annihilating, destroying
αἰδήμων	bashful, modest
ἀιδής	unseen, annihilated
ἀί̈διοντινα	
ἀίδιος	everlasting, eternal
ἀί̈διοσοὐσια	
αἰδώ	
αἰδώς	a sense of shame, shame, modesty, self-respect
αἰθήρ	ether, the brighter purer air, the sky
Αἰθιοπία	Ethiopia
Αἰθιόπιος	
αἰκία	injurious treatment, an affront, outrage
αἰκίζω	to treat injuriously, to plague, torment
αἷμα	blood
Αἷμος	
Αἵμων	
Αἰνεσίδημος	
αἰνετός	praiseworthy
αἰνέω	to tell or speak of
αἴνιγμα	a dark saying, riddle
αἰνιγματώδης	riddling, dark
αἰνίζω	
Αἴνιος	
αἰνίσσομαι	to speak in riddles
αἴξ	a goat
Αἰολεύς	an Aeolian
Αἰολίς	
αἱπερί	
αἵρεσις	a taking especially
αἱρετέος	to be taken, desirable
αἱρετής	
αἱρετός	that may be taken or conquered
αἰρετωτάτοις	
αἱρέω	to take with the hand, grasp
αἴρω	to take up, raise, lift up
αἰσθάνεσθαικαι	
αἰσθάνομαι	to perceive, apprehend by the senses, to see, hear, feel
αἰσθανομένωνἀν	
αἴσθημα	perception of a thing
αἴσθησις	perception by the senses
αἰσθητάκαι	
αἰσθητάπαντα	
αἰσθητήἐαν	
αἰσθητήριον	an organ of sense
αἰσθητής	
αἰσθητικός	of or for perception by the senses, perceptive
αἰσθητός	perceptible by the senses
αἰσθητῶνπαραδειγματα	
αἰσθητῶνὑπαρξει	
αἴσιος	boding well, auspicious
αἶσις	
ἀίσσω	to move with a quick shooting motion, to shoot, dart, glance
αἱστιγμαί	
αἰσυμνάω	to rule over
αἰσυμνητεία	an elective monarchy
αἰσυμνήτης	a regulator
Αἰσχίνης	
αἶσχος	shame, disgrace
αἰσχροκέρδεια	base covetousness
αἰσχροκερδής	sordidly greedy of gain
αἰσχρολογέω	
αἰσχρολογία	foul language, abuse
αἰσχροπραγέω	
αἰσχρός	causing shame, abusive
Αἰσχύλος	
αἰσχύνη	shame done one, disgrace, dishonour
αἰσχυντέον	
αἰσχυντέος	one must be ashamed
αἰσχυντηλός	bashful, modest
αἰσχύνω	to make ugly, disfigure, mar
Αἰσώπειος	
Αἴσωπος	
αἰτέω	to ask, beg
αἴτησις	a request, demand
αἰτητικός	fond of asking
αἰτία	a charge, accusation
αἰτίαγοῦν	
αἰτίαιδυο	
αἰτίανἐξ	
αἰτίαντοῖς	
αἰτιάομαι	to charge, accuse, censure, blame
αἰτίαοὐθενος	
