Field1	Field2
γῆρας	old age
γηρύω	to sing or say, speak, cry
για	
Γίγας	
γίγνομαι	to come into being
γιγνώσκω	to learn to know, to perceive, mark, learn
γλαυκός	gleaming, silvery
γλύκειος	
γλυκύδωρος	with sweet gifts
γλυκύς	sweet
γλῶσσα	the tongue
γνάμπτω	to bend
γνήσιος	of or belonging to the race
γνώμη	a means of knowing, a mark, token
γνῶσις	a judicial inquiry
γοί	
γοιμεν	
γόνος	that which is begotten, offspring, a child
γύαλον	a hollow
γύαλος	
γυιαλκής	
γυῖον	a limb
γυιόω	to lame
γυνή	a woman
Δαϊανείρᾳ	
Δαϊάνειραν	
δαιδάλεος	cunningly or curiously wrought
δαίζω	to cleave asunder, cleave
δαιμονάω	to be under the power of a δαίμων, to suffer by a divine visitation
δαιμόνιον	the Deity
δαιμόνιος	of or belonging to a δαίμων
δαίμων	a god, goddess
Δαϊπύλου	
δαίφρων	battle
δακρυόεις	tearful, much-weeping
δάκρυον	a tear
δακρύω	to weep, shed tears
Δαλογενής	
δαμάζω	to overpower
δάμαλις	a heifer
δαμασίμβροτος	taming mortals, man-slaying
δαμάσιππος	
δαμασίχθων	
Δάματρα	
δαν	
Δαναοί	the Danaans
Δαναός	
δάπεδον	any level surface: the floor of a chamber
δάπτω	to devour
Δαρδανίδης	a son or descendant of Dardanus
Δαρδανίς	a Trojan woman
δάσκιος	thick-shaded, bushy
δάω	to learn
δέ	but
δείδω	to fear
δείκνυμι	to bring to light, display, exhibit
δειλός	cowardly, craven
Δεινομένης	
δεινός	fearful, terrible, dread, dire
δεινόω	to make terrible: to exaggerate
δείρᾳ	
δέκατος	tenth
δελφίς	the dolphin
Δελφοί	the Delphians
δέμας	the frame
Δεξιθέη	
δεξίστρατος	
δέος	fear, alarm, affright
δέρκομαι	to see clearly, see
δέσποινα	the mistress, lady of the house
δεσω	
δεῦρο	hither
δεύτερος	second
δέχομαι	to take, accept, receive
δή	exactness
Δήλιος	Delian
δῆρις	a fight, battle, contest
δἰ	
διά	through c. gen. through, by means of c. acc.
διάγω	to carry over or across
διαδιδράσκω	to run off, get away, escape
διαίσσω	to rush or dart through or across
διακρίνω	to separate one from another
διατρέχω	to run across or over
δίδυμος	double, twofold, twain
δίδωμι	to give
διέπω	to manage
δίζημαι	to seek out, look for
Δίη	
δικαία	
δίκαιος	observant of custom and social rule, well-ordered, civilised
δικαιόω	to set right
δικεῖν	to throw, cast
Δίκη	
δίκη	custom, usage
δίνασεν	
δινήεις	whirling, eddying
δίνηντο	
διό	wherefore, on which account
Διόνυσος	Dionysus
δῖος	god-like, divine
δίς	twice, doubly
δισκόν	
διχόμηνις	
διχοστασία	a standing apart, dissension
διώξιππος	horse-driving
δν	
δνοφέος	
δνόφος	darkness, dusk, gloom
δοίαξε	
δοκεύς	
δοκέω	videor mihi, to think, suppose, imagine, expect
δόλιος	crafty, deceitful, treacherous
δολιχαύχην	
δολιχός	long
δολόεις	subtle, wily
δόλος	a bait
δόμος	a house
δόναξ	a reed
δονέω	to shake
δόξα	a notion
δορά	a skin, hide
δορεύς	
δόρυ	a stem, tree
δόσις	a giving
δουλοσύνη	slavery, slavish work
δουλόσύνη	
δράκων	a dragon
δράω	to do
δρόμος	a course, running, race
δυάω	to plunge in misery
δύη	woe, misery, anguish, pain
δύναμαι	to be able, capable, strong enough
δύναμις	power, might, strength
δύνασις	
δύο	two
δύσλοφος	hard for the neck, hard to bear
δυσμενέων	bearing ill-will, hostile
δυσμενής	full of ill-will, hostile
δύσμορος	ill-fated, ill-starred
δυσπαίπαλος	
δύστηνος	wretched, unhappy, unfortunate, disastrous
δύω	to strip off
δῶμα	a house
δων	
δῶρον	a gift, present
διτηψραμβς	
ἕ	sui.
ἐάν	if haply
ἔαρ	spring
ἐάω	to let, suffer, allow, permit
ἑβδομήκοντα	seventy
ἔγγονος	a grandson, granddaughter
ἐγγυάω	to give or hand over as a pledge
ἐγγύθεν	from nigh at hand
ἐγχέσπαλος	wielding the spear
ἐγχέω	to pour in
ἔγχος	a spear, lance
ἐγώ	ego
ἕδος	a sitting-place
ἔθειρα	hair
ἐθέλω	to will, wish, purpose
ἔθνος	a number of people accustomed to live together, a company, body of men
εἰ	whether.
εἰδοί	Idus
εἶδον	to see, perceive, behold
εἴδωλον	an image, a phantom
εἴκοσι	twenty
εἰλαπίνη	a feast or banquet
εἱμάρθαι	
εἶμι	to go
εἰμί	to be, to exist
εἴπερ	strengthd. for
εἶπον	to speak, say
εἶπος	
εἰρήνη	peace, time of peace
εἴρω	
εἰς	into, to c. acc.
εἷς	
εἰσ-ἀντάω	
εἰσ-εἶδον	
εἴτε	
ἐκ	from out of
ἕκαστος	every, every one, each, each one
fέκατι	
ἐκβάλλω	to throw or cast out of
ἔκγονος	born of, sprung from
ἐκεῖθεν	from that place, thence
ἐκεῖθι	
ἐκεῖνος	the person there, that person or thing
ἕκητι	by means of, by virtue of, by the aid of
ἑκκαιδέκατος	sixteenth
ἐκλήγω	to cease utterly
ἐκλύω	to loose, release, set free, from
ἐκ-νεάω	
ἐκπίμπλημι	to fill up
Ἑκτόρεος	
ἐκτός	outside
Ἕκτωρ	
ἕκτωρ	
ἑκών	willing, of free will, readily
ἐλαία	the olive-tree
ἔλαιον	olive-oil
ἔλαιος	the wild olive
ἐλαύνω	to drive, drive on, set in motion
ἐλαφρός	lightly, buoyantly
ἑλένη	
Ἑλένη	
ἐλεφαντόκωπος	ivory-hilted
ἑλικοστέφανος	
ἔλλαθι	
Ἑλλάς	Hellas
Ἕλλην	Hellen
ἐλπίς	hope, expectation
ἐλύω	to roll round
ἐμβάλλω	to throw in, put in
ἐμέω	to vomit, throw up
ἐμός	mine
ἔμπεδος	in the ground, firm-set, steadfast
ἐμπίπτω	to fall in or upon or into
ἔμπορος	one who goes on shipboard as a passenger
ἐμπρέπω	to be conspicuous in
ἐν	in, among. c. dat.
ἐναντίος	opposite
ἐναρίζω	to strip a slain foe of his arms
Ἐνδαί̈δα	
ἐνδείκνυμι	to mark, point out
ἐνδίδωμι	to give in
ἔνδοθεν	from within
ἐνδυκέως	thoughtfully, carefully, sedulously
ἕνεκα	on account of, for the sake of, because of, for
ἔνθ	
ἔνθα	there
ἔνθεν	on the one side
ἐννέα	nine
ἕννυμι	to put clothes on
ἕνος	belonging to the former of two periods, last year's
ἐνστάζω	to drop in or into
ἐντυγχάνω	to light upon, fall in with, meet with
ενυφαι	
ἕξ	six
ἐξάγω	to lead out
ἐξᾴδω	to sing out, sing one's last song
ἐξαιρέω	to take out of
ἐξαίσιος	beyond what is ordained
ἐξείλλω	to disentangle
ἐξεναρίζω	to strip or spoil
ἐξικνέομαι	to reach, arrive at
ἐξόπιν	
ἔξοχος	standing out
ἑορτή	a feast or festival, holiday
ἐπαίσσω	to rush at or upon
ἐπ'ἀνδήροις	
Ἔπαφος	
ἐπεί	after that, after (postquam), since, when (quum)
ἔπειμι	to be upon
ἔπειτα	thereupon
ἐπί	on, upon with gen., dat., and acc.
ἐπί-ἀθρέω	
ἐπιβαίνω	to go upon
ἐπιγίγνομαι	to be born after, come into being after
ἐπιδείκνυμι	to exhibit as a specimen
ἐπιδέχομαι	to admit besides or in addition
ἐπίζηλος	enviable, happy
ἐπί-ἱστάω	
ἐπικείρω	to cut off, cut down
ἐπικλώθω	to spin to
ἐπικουρέω	to act as an ally
ἐπικουρία	aid, succour
ἐπιλέγω	to choose, pick out, select
ἐπίμοιρος	
ἐπίμοχθος	
ἐπινίκιος	of victory, triumphal
ἐπισείω	to shake at or against
ἐπισκήπτω	to make to lean upon, make to fall upon
ἐπί-στάζω	
ἐπιτίθημι	to lay, put or place upon
ἐπίφρων	thoughtful, sage
ἐπιχθόνιος	upon the earth, earthly
ἐπιχώριος	in or of the country
ἐποιχνέω	
ἕπομαι	
ἑπτά	seven
ἑπτάπυλος	with seven gates
ἑπτάς	
ερ	
ἐραννός	lovely
ἐρατός	lovely, charming
ἐρατώνυμος	
ἔργμα	a work, deed, business
ἔργνυμι	to confine
ἔργον	work
ἔρδω	to do
ἐρείπω	
ἐρειψιπύλαν	
ἐρειψιτοί	
ἐρεμνός	black, swart, dark
ἐρέπτομαι	to feed on
ἐρεύθω	to make red, stain red
ἐρέφω	to cover with a roof
ἐρητύω	to keep back, restrain, check
Ἐρίβοια	
Ἐριβοίας	
ἐριβρύχης	
ἐρίζω	to strive, wrangle, quarrel
ἐρικυδής	very famous, glorious, splendid
ἐρισφάραγος	loud-roaring
ἔρνος	a young sprout, shoot, scion
ἐρύκω	to keep in, hold back, keep in check, curb, restrain
ἔρχομαι	to come or go
ἔρως	love
ἐρωτάω	to ask
ἐσθλός	good
εσσιν	
Ἐστία	
ἔσχατος	outermost
ἔσω	to the interior
ἑταίρα	a companion
ἕτερος	one of the
ἔτης	clansmen
ἔτι	yet, as yet, still
ἔτος	a year
ἔτυμος	true, real, actual
εὖ	well
εὐαίνετος	
εὔανδρος	abounding in good men
Εὔβοια	Euboea
εὔβουλος	well-advised, prudent
εὔγυιος	
εὐδαίδαλος	beautifully wrought
εὐδαιμονία	prosperity, good fortune, wealth, weal, happiness
εὐδαίμων	blessed with a good genius;
εὔδμητος	well-built
εὔδοξος	of good repute, honoured, famous, glorious
εὐεγχής	
εὐειδής	well-shaped, goodly, beautiful, beauteous
εὐεργεσία	well-doing
εὐθαλής	blooming, flourishing
εὐθηλής	well-nurtured, thriving, goodly
εὔθρονος	with beautiful throne
εὔθροος	loud-sounding
εὐθύδικος	righteous-judging
εὐθυμία	cheerfulness, tranquillity
εὔθυνος	a corrector, chastiser, judge
εὐθύνω	to guide straight, direct
εὐθύς	
εὐκλεής	of good report, famous, glorious
εὔκλεια	good repute, glory
εὐκλέϊξας	
εὐκλείου	
ἐυκτίμενος	well-built
ἐύκτιτος	
εὐμαρεῖν	
εὐμαρής	easy, convenient, without trouble
εὔμοιρος	blest with possessions
εὐναής	
εὐνή	a bed
εὐνομία	good order, order
Εὐνομίη	
Εὐξαντίδα	
Εὐξάντιον	
εὔπεπλος	beautifully robed
εὔπηκτος	well-built
εὐπλόκαμος	with goodly locks, fairhaired
εὐποίητος	well-made, well-wrought
εὐπύμνοις	
εὔπυργος	well-towered
εὐρέιος	
εὕρησις	
εὑρίσκω	to find
εὐρυάνακτος	
εὐρυβίας	
εὐρυδίνης	
εὐρυνεφής	
εὐρύς	wide, broad
εῦρυσθενεος	
εὐρύχορος	with broad places, spacious
Εὐρωπιάδας	
ἆ	ah!
α	
Ἀβαντιάδας	
Ἄβας	
ἁβροβάτης	softly or delicately stepping
ἁβρόβιος	living delicately, effeminate
ἁβροπνόων	
Ἀγαθοκλεαδᾶν	
ἀγακλεής	very glorious, famous
ἀγακλειτός	
ἀγάλλω	to make glorious, glorify, exalt
ἄγαλμα	a glory, delight, honour
Ἀγανορίδας	
ἀγαστός	deserving admiration
ἀγατός	
ἀγγελία	a message, tidings, news
ἄγγελος	a messenger, envoy
Ἀγέλαος	
ἀγέλη	a herd
ἀγέρωχος	high-minded, lordly
Ἀγκαῖος	
ἀγλαία	splendour, beauty, adornment
Ἀγλαία	
ἀγλαίζω	to make bright or splendid
ἀγλαόθρονος	
Ἀγλαός	
ἀγλαός	splendid, shining, bright, beautiful
ἄγναμπτος	unbending, inflexible
ἁγνός	full of religious awe
ἄγνυμι	to break, shiver
αγορ	
ἀγορά	an assembly of the people
ἀγρότερος	wild
ἀγυιά	a street, highway
ἀγχίαλος	near the sea
ἀγχίδομος	
ἄγω	to lead or carry, to convey, bring
ἀγών	a number of people brought together, a gathering, assembly
ἄγωνος	
ἀδεισιβόας	
ἀδελφή	a sister
ἀδελφός	sons of the same mother
ᾍδης	Hades or Pluto
ἀδίαντος	unwetted
ἄδικος	wrong-doing, unrighteous, unjust
ἄδματοι	
ἄδμητος	unbroken
Ἄδραστος	
ἄδραστος	not running away, not inclined to do so
ἀεθλάρχων	
ἀεί	always, for ever
ἀείδω	to sing
ἀεικέλιος	
ἀεικής	unseemly, shameful
ἀείρω	to lift, heave, raise up
ἀέκατι	
ἀέκων	against one's will, unwilling
ἀέλιος	
ἀελιου	
ἄελλα	a stormy wind, whirlwind, eddy
ἀελλοδρόμαν	
ἄελπτος	unexpectedly
ἀέξω	to increase, enlarge, foster, strengthen
ἀερσίμαχος	
ἀετός	an eagle
ἄζυγος	unwedded
ἄζυξ	unyoked, unpaired, unmarried
ἀηδών	the songstress
ἀήτη	
ἀήτης	a blast, gale
ἀθαμβής	fearless
Ἀθαναίων	
ἀθάνατος	undying, immortal
ἄθεος	without God, denying the gods
Ἀθῆναι	the city of Athens
Ἀθήναια	
Ἀθήναιον	the temple of Athena
Ἀθήναιος	
Ἀθηναῖος	Athenian, of or from Athens
ἈθηναίῳΔρομεῖ	
Ἀθήνη	Athena
ἀθλέω	having contended with
ἆθλον	the prize of contest
ἆθλος	a contest for a prize
ἄθυρμα	a plaything, toy: a delight, joy
ἄθυρσις	
αἴ	ha!
αἰαῖ	ah!
Αἰακίδης	son of Aeacus
Αἰακός	
Αἴας	Ajax
Αἴγινα	Aegina
αἰγίνη	
ἈιγινήτῃιΠαλαιστῇ	
ΑιγινήτῃΠαγκρατιαστῇΝεμεα	
αἴγινος	
αἴγλη	the light of the sun, radiance
Αἵδης	
ἀιδής	unseen, annihilated
αἰδοῖος	regarded with reverence, august, venerable
αἰθήρ	ether, the brighter purer air, the sky
αἰθος	
αἶθος	a burning heat, fire
Αἴθρη	
αἴθω	to light up, kindle
αἴθων	fiery, burning, blazing
αἷμα	blood
αἰνέω	to tell or speak of
αἰνός	dread, dire, grim
αἴξ	a goat
αἰολόπρυμνος	
αἰόλος	quick-moving
αἰπεινός	high, lofty
αἰπύς	high and steep, lofty
αἱρέω	to take with the hand, grasp
αἴρω	to take up, raise, lift up
Αἶσα	the goddess of destiny
ἀίσσω	to move with a quick shooting motion, to shoot, dart, glance
αἴτιος	to blame, blameworthy, culpable
Αἰτωλίς	
Αἰτωλοί	
Αἰτωλός	
αἰχμητής	a spearman
αἰχμοφόρος	one who trails a pike, a spearman
αἶψα	quick, with speed, on a sudden
αἰών	a period of existence
ἀκαμαντορόαν	
ἀκάματος	without sense of toil
ἀκίνητος	unmoved, motionless
ἀκοίτης	a bedfellow, spouse, husband.
ἄκοιτις	a spouse, wife
ἄκοιτος	
ἀκόλουθος	following, attending on
ἀκούω	to hear
Ἀκρίσιος	
ἄκριτος	undistinguishable, unarranged, disorderly
ἀκτέα	the elder-tree
ἀκτέον	
ἀκτή	a headland, foreland, promontory, shore
ἄκων	a javelin, dart
ἀλαμπής	out of the sun's light
ἄλαστος	not to be forgotten, insufferable, unceasing
ἄλγος	pain
Ἀλεξίδαμον	
Ἀλεχιδάμῳ	
ἀλήθεια	truth
ἀλήτης	a wanderer, stroller, rover, vagabond
ἀλθαία	
Ἀλθαίη	
ἀλιγκία	
ἁλιναιέτης	
Ἅλιος	
ἅλιος	
ἀλκή	strength
ἄλκιμος	strong, stout
Ἀλκμήνιος	
ἀλλά	otherwise, but
ἀλλάσσω	to make other than it is, to change, alter
ἀλλοδαμίαν	
ἀλλοῖος	of another sort or kind, different
ἄλλος	alius, another, one besides
ἀλλότριος	of or belonging to another
ἄλοχος	a bedfellow, spouse, wife
ἅλς	a lump of salt
ἄλσος	a glade or grove
Ἀλυάττης	
ἀλυκτάζω	to be in distress
Ἀλφειός	
Ἀλφεός	
ἅμα	at once, at the same time
ἀμαιμάκετος	irresistible
ἀμαλδύνω	to soften
ἁμαρτάνω	to miss, miss the mark
ἁμαρτέοιτε	
ἀμάρυγμα	a sparkle, twinkle
ἀμαυρόω	to make dim, faint
ἄμαχος	without battle
ἀμβρόσιος	immortal
ἄμβροτος	immortal, divine
ἀμείβω	to change, exchange
ἄμεμπτος	not to be blamed, blameless
ἀμεμφής	
ἀμέρδω	to deprive of, bereave of
ἀμετρόδικος	
ἄμετρος	without measure, immense, excessive, boundless
ἀμήχανος	without means
ἀμίαντος	undefiled
ἁμός	
ἄμπ	
ἀμπελοτρόφος	
ἀμύσσω	to scratch, tear, wound, lacerate, mangle
ἀμφήκης	two-edged
ἀμφί	on both sides
ἄμφι	
ἀμφιβάλλω	to throw or put round
ἀμφικτίονες	they that dwell round, next neighbours
ἀμφικύμων	
Ἀμφιτρίτη	
Ἀμφιτρύων	
Ἀμφιτρυωνιάδαν	
Ἀμφιτρυωνιάδας	
ἀμφότερος	each or both of two
ἀμώμητος	unblamed, blameless
αν	
ἄν	
ἀνά	up, upon
ἀνάγκη	force, constraint, necessity
ἀναδέω	to bind or tie up
ἀνάδημα	
ἀνά-ἐράω	
ἀναιδομάχας	
ἀνά-ἴσχω	
ἀνακαίω	to light up
ἀνακάμπτω	to bend back
ἀνά-καρύσσω	
ἀνακλαίω	to weep aloud, burst into tears
ἀνακομίζω	to carry up
ἀναμιμνήσκω	to remind
fάναξ	
ἄναξ	a lord, master
ἀναξίαλος	
ἀναξιβρόντας	
ἀναξίμολπος	
ἀναξίππου	
ἀναξιφόρμιγξ	ruled by the lyre
ἀναπάλλω	to swing to and fro
ἀνάπαυσις	repose, rest
ἀναπαύω	to make to cease, to stop or hinder from
ἀναπέμπω	to send up
ἀναπτύσσω	to unfold
ἀνατείνω	to stretch up, hold up
ἀνατέλλω	to make to rise up or to grow up
ἀναφαίνω	to make to give light, make to blaze up
ἀνδρίς	
ἀνδροκτόνος	man-slaying, murdering
ἀνδρόω	to rear up into manhood
ἀνδρων	
ἄνεμος	wind
ἀνήρ	a man
ἀνθεμόεις	flowery
ἀνθεμώδης	flowery, blooming
ἀνθέω	to blossom, bloom
ἄνθη	full bloom
ἄνθος	a blossom, flower
ἄνθρωπος	man
ἀνίκητος	unconquered, unconquerable
ἀντάω	to come opposite to, meet face to face, meet with
Ἀντηνορίδης	
ἀντήνωρ	instead of a man
Ἀντήνωρ	
ἀντί	over against, opposite. c. gen.
ἀντίθεος	equal to the gods, godlike
ἀοιδή	song, a singing
ἀολλίζω	to gather together
άοσιν	
ἀπαίτησις	a demanding back
ἀπάρχω	
ἅπας	quite all, the whole
ἄπειρος	
ἀπείρων	
ἀπενθής	free from grief
ἄπιστος	not to be trusted
ἄπλατος	unapproachable, terrible
ἀπό	from, away from. c. gen.
ἀπόκληρος	without lot or share of
ἀπόλλυμι	to destroy utterly, kill, slay
Ἀπόλλων	Apollo
ἀποπλέω	to sail away, sail off
ἀπόρθητος	not sacked, unravaged
ἀποσεύω	to chase away
ἀποτρέπω	to turn
ἀποφθίνω	to perish utterly, die away
ἅπτω	to fasten, bind fast
ἀπωθέω	to thrust away, push back
ἄρα	
ἀργαλέος	painful, troublous, grievous
Ἀργεῖος	of or from Argos, Argive
ἀργής	bright, glancing
ἀργηστής	
ἀργικέραυνος	wielder of bright lightning
Ἄργος	
ἀργυροδίνης	silver-eddying
ἄρειος	devoted to Ares, warlike, martial
ἀρείων	better, stouter, stronger, braver, more excellent
ἀρέταιχμος	
ἀρετάω	to be fit or proper, to thrive, prosper
ἀρετή	goodness, excellence
ἀρηίφιλος	dear to Ares, favoured of the god of war
Ἀρηίφιλος	
Ἄρης	Ares
ἀρίγνωτος	easy to be known
Ἄρις	
ἀρισταλκής	
ἀρίσταρχος	best-ruling
ἀριστόκαρπος	
Ἀριστομένειον	
ἄριστον	the morning meal, breakfast
ἀριστοπάτρα	
ἄριστος	best
Ἀριστοτελει	
Ἀριστοτέλης	
Ἀρκαδία	
Ἀρκαδίη	
ἅρμα	a chariot
ἁρμόζω	to fit together, join
ἄρον	
ἄρος	
ἀρόω	to plough
ἁρπαλέος	greedy
Ἄρτεμις	Artemis
ἀρχαῖος	from the beginning
Ἀρχέμορος	
ἀρχή	a beginning, origin, first cause
ἀρχηγέτης	a first leader, the founder
ἀρχηγός	beginning, originating
ἄρχω	to be first
ας	
ἄσπετος	unspeakable, unutterable, unspeakably great
αστ	
ἀστραπή	a flash of lightning, lightning
ἀστράπτω	to lighten, hurl lightnings
ἄστρον	the stars
ἄστυ	a city, town
ἀστύθεμιν	
ἀσφαλής	not liable to fall, immoveable, steadfast, firm
Ἀσωπός	
ἀτάρβακτος	
ἀταρβομάχας	
ἀτάσθαλος	presumptuous, reckless, arrogant
ἅτε	just as, so as
ἄτερ	without
ἄτη	bewilderment, infatuation, reckless impulse
Ἀτρείδης	
ἀτρέμας	without trembling, without motion
ἀτρόμητος	
ἄτρομος	intrepid, dauntless
ἄτρυτος	not worn away, untiring, unwearied
ἀτύζω	to be distraught from fear, mazed, bewildered
αὐγή	the light of the sun, sunlight
αὐδάζομαι	to cry out, speak
αὐδάω	to utter sounds, speak
αὐδήεις	speaking with human voice
αὐθιγενής	born on the spot, born in the country, native
αὖθις	back, back again
αὐλέω	to play on the flute
αὐλή	the court-yard
αὐλός	a flute
αὐξάνω	to make large, increase, augment
ἄυπνος	sleepless, wakeful
αὔρα	air in motion, a breeze
αὔριον	to-morrow
αὐτ	
αὖτε	again
αὐτίκα	forthwith, straightway, at once
Ἀυτομήδει	
Αὐτομήδει	
αὐτός	self
αὐτοῦ	at the very place, just here, just there
ΑὐτῷἹπποις	
ΑὐτῷΚελητι	
αὐχήν	the neck, throat
Ἀφάρητα	
ἄφατος	not uttered, nameless
ἀφικνέομαι	to come to
ἀφνειός	rich, wealthy
Ἀφροδίτη	Aphrodite
ἀφροσύνη	folly, thoughtlessness, senselessness
Ἀχαία	Achaia
ἀχαιά	
Ἀχαιός	Achaian
ἀχειρής	
ἀχεύω	grieving, sorrowing, mourning
ἀχέω	
Ἀχιλλεύς	Achilles
ἄχος	pain, distress
ἀχρεῖος	useless, unprofitable, good for nothing
ἀωτεύοντα	
β	
βαθυδείελος	
βαθύζωνος	deep-girded
βαθύξυλος	with deep wood
βαθυπλόκαμος	
βαθύπλουτος	exceeding rich
βαθύς	deep or high
βάλλω	to throw
βαρυαχής	heavy with woe
βαρύβρομος	loud-roaring, loud-sounding
βαρυηχής	deep-voiced
βαρυπενθής	causing grievous woe
βαρύς	heavy
βαρύτλατος	
βαρύφθογγος	loud-sounding, roaring
βάσανος	the touch-stone
βασιλεύς	a king, chief
βέλος	a missile
βία	bodily strength, force, power, might
βιάζω	to constrain
βιάω	to constrain
βίος	life
βιοτή	a living, sustenance
βλέπω	to see, have the power of sight
βλέφαρον	mostly in pl. the eyelids
βληχρός	weak, faint, slight
βλώσκω	to go or come
βόα	
βοάω	to cry aloud, to shout
βόειος	of an ox or oxen
βοή	a loud cry, shout
βοηθόος	hasting to the battle-shout, hasting to battle
Βοιωτός	a Boeotian
βορεάς	
Βορέας	the North wind
βόρειος	from the quarter of the North wind, northern
βούθυτος	of or belonging to sacrifices
βουκόλος	a cowherd, herdsman
βουλεύω	to take counsel, deliberate, concert measures
βουλή	will, determination
βοῦς	cow
βοῶπις	ox-eyed
βραχύς	short
βρέχωf	
βρίζω	to be sleepy, to slumber, nod
βρίθω	to be heavy or weighed down with
Βρισηί̈ς	
βροτᾶν	
βροτός	a mortal man
βροτωφελής	
βρύω	to be full to bursting
βωμός	any raised platform, a stand
γαῖα	a land, country
Γαῖα	
γαμβρός	any one connected by marriage
γάμος	a wedding, wedding-feast
γάρ	for
γάρυϊ	
γᾶρυν	
γε	at least, at any rate
γέγωνα	to call out so as to be heard
γελανώσας	
γέμω	to be full
γενεά	race, stock, family
γενέτης	the begetter, father, ancestor
γένος	race, stock, family
γεραίρω	to honour or reward with
γέρας	a gift of honour
γέρων	an old man
γέτας	
γεύω	to give a taste of
γῆ	earth
εὐσέβεια	reverence towards the gods, piety, religion
εὐσεβέω	to live or act piously and religiously
εὐσεβής	righteous
εύσων	
εὖτε	when, at the time when
εὔτυκος	ready
εὔυδρος	well-watered, abounding in water
εὐφεγγής	bright, brilliant
εὐφραίνω	to cheer, delight, gladden
εὐφροσύνη	mirth, merriment
εὐφρόσυνος	in good cheer
εὐχή	a prayer, vow
εὔχομαι	to pray, offer prayers, pay one's vows, make a vow
εὐώδης	sweet-smelling, fragrant
ἐφέζομαι	to sit upon
ἐφημέριος	on, for or during the day, the day through
ἐφήμερος	living but a day, short-lived
ἐφίημι	to send to
ἐφίστημι	to set or place upon
ἔχθιστος	most hated, most hateful
ἐχθρός	hated, hateful
ἔχιδνα	an adder, viper
Ἔχιδνα	
ἔχις	an adder, viper
ἔχω	to have or to hold
ζάθεος	very divine, sacred
ζεύγνυμι	to yoke, put to
Ζεύς	Zeus
Ζέφυρος	Zephyrus, the west wind
ζέω	to boil, seethe
ζωή	a living
ζωός	alive, living
ζώω	
ἦ	in truth, truly, verily, of a surety
ᾗ	which way, where, whither, in or at what place
ἤ	
ἡβάω	to be at man's estate, to be in the prime of youth
ἥβη	manhood, youthful prime, youth
ἠγάθεος	very divine, most holy
ἠδέ	and
ἤδη	by this time, before this, already
ἦδος	delight, enjoyment, pleasure
ἡδυεπής	sweet-speaking
ἡδύς	sweet
Ηίθεοι	
ἠίθεος	a youth just
ἧλιξ	of the same age
ἥλιος	the sun
ἧμαι	to be seated, sit
ἦμαρ	day
ἡμέρα	day
ἥμερος	tame, tamed, reclaimed
ἡμέτερος	our
ἠμί	I say
ἡμίθεος	a half-god, demigod
ἥμισυς	half
ἡμός	
ἤπειρος	terra-firma, the land
ἠπιόφρον	
ἤρα	acceptable gifts, kindnesses
Ἥρα	Hera
Ἡρακλέης	Heracles
ἥρως	warriors
Ἡσίοδος	
ἦτορ	the heart
ἠύ̈δενδρον	
ἠύτε	as, like as
ἠχέω	to sound, ring, peal
ἠχή	a sound or noise
ἠώς	the morning red, daybreak, dawn
θάλασσα	the sea
θάλεια	blooming, luxuriant, goodly, bounteous
θαλέω	
θαλία	abundance, plenty, good cheer
