Field1	Field2
ἆ	ah!
ἀάω	to hurt, damage
Ἀβαντιάς	
Ἄβας	
ἁβατάν	
ἄβροχος	unwetted, unmoistened
ἀγαθός	good
ἀγάλακτες	
ἄγαλμα	a glory, delight, honour
ἄγαμαι	to wonder, be astonished
Ἀγαμέμνων	the very steadfast
ἀγγελιώτης	
ἀγγελιῶτις	
ἄγε	come! come on! well!
Ἁγεσίλαι	
ἀγινέω	to lead, bring, carry
ἅγιος	devoted to the gods, sacred, holy
Ἀγκαῖος	
ἀγκάλη	the bent arm
ἁγνός	full of religious awe
ἄγνυμι	to break, shiver
Ἀγοράνακτος	
ἄγος	any matter of religious awe
ἄγρα	a catching, hunting
ἀγρευτήρ	
ἀγρευτής	a hunter
ἀγρεύω	to take by hunting or fishing, to catch, take
ἀγρέω	to capture, seize
ἄγριος	living in the fields
ἀγρόθι	
ἀγρυπνία	sleeplessness, waking, watching
ἀγρώσσω	to catch
ἀγυιά	a street, highway
ἀγχόθι	near
ἄγω	to lead or carry, to convey, bring
ἀγών	a number of people brought together, a gathering, assembly
ἀδελφή	a sister
ἀδελφός	sons of the same mother
ἄδηλος	not seen or known, unknown, obscure
ἅδην	to eat their fill
ᾍδης	Hades or Pluto
ἀδηφαγία	
ἀδιάφορος	
ἀδικέω	to do wrong
ἀδίκημα	a wrong done, a wrong
ἄδικος	wrong-doing, unrighteous, unjust
ἄδμητος	unbroken
Ἄδμητος	
άδος	
Ἀδράστεια	the Inevitable
ἀέθλιος	
ἀεί	always, for ever
ἀείδει'	
ἀείδω	to sing
ἀειζώων	ever-living
ἀείρω	to lift, heave, raise up
ἄεισμα	
ἀέκων	against one's will, unwilling
ἀέλιος	
ἄεμμα	
ἀέναος	ever-flowing
ἀενάων	
ἀέξω	to increase, enlarge, foster, strengthen
ἀεργός	not-working, idle
Ἀζήνια	
Ἄζιλιν	
ἀηδονίς	a nightingale
ἀηδών	the songstress
ἄημα	a blast, gale
ἄημι	to breathe hard, blow
ἀήρ	the lower air, the air
ἀήτη	
ἀήτης	a blast, gale
ἀθάνατος	undying, immortal
Ἀθήναια	
Ἀθήναιον	the temple of Athena
Ἀθηναῖος	Athenian, of or from Athens
Ἀθήναιος	
Ἀθήνη	Athena
ἄθικτος	untouched
ἀθλέω	having contended with
ἄθλιος	gaining the prize
ἆθλον	the prize of contest
ἆθλος	a contest for a prize
ἀθλοφόρος	bearing away the prize, victorious
ἀθρέω	to look at, gaze at, observe, perceive
αι	
αἶα	
Αἰγαῖος	Aegaean
αἴγειρος	the poplar
Αἰγιαλός	
αἰγιαλός	the sea-shore, beach, strand
Αἰγίνηθεν	
Αἰγύπτιος	Egyptian
αἰδέομαι	to be ashamed to do
Ἀίδηι'	
Αἵδης	
ἄιδι	
Αἰετίωνος	
αἰζηός	strong, lusty, vigorous
αἴθε	would that
αἰθήρ	ether, the brighter purer air, the sky
Αἰθιοπῆος	
αἰθός	
αἴθυια	a gull or diver
αἴθω	to light up, kindle
αἴθων	fiery, burning, blazing
αἴλινον	
αἴλινος	a plaintive dirge
αἴλουρος	a cat
αἷμα	blood
Αἷμος	
αἰνέω	to tell or speak of
Αἴνιος	
αἰνογένειος	
αἰνός	dread, dire, grim
αἴξ	a goat
Αἰολεύς	an Aeolian
Αἰολίς	
αἰόλος	quick-moving
αἰπόλος	a goatherd
αἱρέω	to take with the hand, grasp
αἴρω	to take up, raise, lift up
αις	
ἄισατε	
αἰσθάνομαι	to perceive, apprehend by the senses, to see, hear, feel
ἄισθετο	
αἴσιος	boding well, auspicious
αἶσις	
Αἴσχρην	
Αἰσχυλίς	
αἰτέω	to ask, beg
αἰτίζω	to ask, beg
αἴτιος	to blame, blameworthy, culpable
Αἰτναῖος	of or belonging to Etna
Αἴτνη	
αἰφνίδιος	unforeseen, sudden
αἰχμάζω	to throw the spear
αἰχμή	the point of a spear
αἶψα	quick, with speed, on a sudden
ἀίω	
αἰώνιος	lasting for an age
ἀκακήσιος	
Ἀκακήσιος	
Ἀκάνθιος	
Ἀκέσων	
ἀκηδής	uncared for, unburied
ἀκήριος	unharmed by the Κῆρες, unharmed
ἀκλαυτεί	
ἀκλεής	without fame, inglorious, unsung
ἀκμάζω	to be in full bloom, be at one's prime or perfection
ἀκμή	a point, edge
ἄκμων	a thunderbolt
ἀκοή	a hearing, the sound heard
ἄκολος	a bit, morsel
ἀκουάζομαι	to hearken
ἀκουή	
ἄκουσις	
ἀκούω	to hear
ἄκρα	a headland, foreland, cape
Ακρητος	
Ἀκρίσιος	
ἄκρον	the highest or furthest point
ἄκρος	at the furthest point
ἄκρων	
ἀκρώρεια	a mountain-ridge
Ἀκταίονα	
Ἀκτορίων	
ἄκυθος	
ἀκωκή	a point
ἄκων	a javelin, dart
ἀλάβαστρον	a box or casket of alabaster
ἀλάομαι	to wander, stray or roam about
ἀλαός	not seeing, blind
ἀλαπάζω	to empty, drain, exhaust
Ἀλάς	
ἀλαστέω	to be full of wrath
ἄλαστος	not to be forgotten, insufferable, unceasing
ἀλγέω	to feel bodily pain, suffer
ἄλγος	pain
ἀλεγεινός	hard
ἀλέγω	to trouble oneself, have a care
ἀλεείνω	to avoid, shun
Ἀλείοιο	
ἀλέκτρινον	
ἀλέκτωρ	a cock
ἀλέομαι	to avoid, shun
ἀλετρίς	a female slave who grinds corn
ἀλέω	to grind, bruise, pound
Ἅλη	
ἄλη	
ἁλή	
ἀληθής	unconcealed, true
ἀληθινός	agreeable to truth
ἁλία	an assembly of the people
Ἁλίαρτος	
ἁλιεύς	one who has to do with the sea
ἁλίζω	
ἁλίη	
'Αλικαρνησεῦ	
ἅλιος	
ἁλίπληκτος	sea-beaten
ἁλίπλοος	covered with water
ἁλίς	
ἅλις	in heaps, crowds, swarms, in abundance, in plenty
ἀλιταίνω	to sin or offend against
ἀλιτήμων	
ἀλιτήριος	sinning or offending against
ἀλιτρός	sinful, sinning
Ἀλκείδης	
ἀλκυονίς	
ἀλ́λα	
ἀλλά	otherwise, but
ἀλλαιχ'	
ἄλληκτος	unceasing, ceaseless
ἀλλήλων	of one another, to one another, one another
ἅλλομαι	to spring, leap, bound
'ἄλλος	
ἄλλος	alius, another, one besides
ἄλλοτε	at another time, at other times
ἀλλότριος	of or belonging to another
ἄλλως	in another way or manner
ἄλοχος	a bedfellow, spouse, wife
ἅλς	a lump of salt
ἄλσις	
ἄλσος	a glade or grove
ἀλυσθμαίνουσα	
ἀλώπηξ	a fox
ἀμ	
ἅμα	at once, at the same time
ἅμαζαι	
Ἀμαζονίδες	
Ἀμαζονίς	
ἀμαθής	unlearned, ignorant, stupid, boorish
Ἀμαλθεία	
ἄμαξα	a wagon, wain
ἀμάρα	a trench, conduit, channel
ἀμάσηι	
ἀμάω	
ἀμβολαδίς	
Ἀμβρυσσῷ	
ἀμείβω	to change, exchange
ἀμέλγω	to milk
ἁμές	
ἀμηχανία	want of means, helplessness, impotence
ἀμι	
ἀμιθρέω	
ἄμιτρος	
Ἀμνισιάδες	
Ἀμνισίδας	
ἀμογητί	without toil or effort
ἀμοιβή'	
ἀμορβός	
ἁμός	
ἀμπλάκημα	an error, fault, offence
ἀμπλακία	
ἄμπωτις	a being sucked back, the ebb-tide
Ἀμυμώνη	
ἀμύνω	to keep off, ward off
ἀμφήριστος	contested on both sides
ἀμφί	on both sides
