Field1	Field2
ἀγαθός	good
ἀγαπάω	to treat with affection, to caress, love, be fond of
ἀγνοέω	not to perceive or know
ἀγνωμοσύνη	want of sense, folly
ἀγός	a leader, chief
ἄγω	to lead or carry, to convey, bring
ἀγωγή	a carrying away, carriage
ἀγών	a number of people brought together, a gathering, assembly
ἄγωνος	
ἀδικέω	to do wrong
ἀδίκημα	a wrong done, a wrong
ἄδικος	wrong-doing, unrighteous, unjust
ἀεί	always, for ever
ἀθανασία	immortality
Ἀθήναια	
Ἀθήναιον	the temple of Athena
Ἀθήναιος	
Ἀθηναῖος	Athenian, of or from Athens
ἆθλον	the prize of contest
ἆθλος	a contest for a prize
αἷμα	blood
αἴρω	to take up, raise, lift up
αἰσχύνη	shame done one, disgrace, dishonour
αἰτία	a charge, accusation
αἴτιος	to blame, blameworthy, culpable
αἰχμάλωτος	taken by the spear, captive to one's spear, taken prisoner
ἀκμάζω	to be in full bloom, be at one's prime or perfection
ἀκμή	a point, edge
ἀκολουθέω	to follow
ἀκονάω	to sharpen, whet
ἀκούω	to hear
ἄκρατος	unmixed, sheer
ἀκριβής	exact, accurate, precise, made or done to a nicety
ἀκριβόω	to make exact or accurate
ἀκριβῶς	
ἄκριτος	undistinguishable, unarranged, disorderly
ἀλείφω	to anoint with oil, oil
Ἀλέξανδρος	
ἀλέξανδρος	defending men
ἀλήθεια	truth
ἀλλά	otherwise, but
ἄλλος	alius, another, one besides
ἄλλως	in another way or manner
ἀμέτρητος	unmeasured, immeasurable, immense
ἀμετρητος	
ἄν	
ἀνά	up, upon
ἀναβιβάζω	to make go up, cause to mount
ἀναγκάζω	to force, compel
ἀναιρέω	to take up, raise
ἀναλίσκω	to use up, to spend, lavish or squander
ἀναμιμνήσκω	to remind
ἀναπλάσσω	to form anew, remodel
ἀνδρίς	
ἄνεσις	a loosening, relaxing
ἄνευ	without
ἀνήρ	a man
ἀνθρωπάριον	a manikin
ἄνθρωπος	man
ἀνταναιρέω	to take away from the opposite sides of an account, to cancel
ἀντί	over against, opposite. c. gen.
ἀντίδικος	an opponent in a suit, defendant
ἀντιτάσσω	to set opposite to, range in battle against
ἀνύω	to effect, achieve, accomplish, complete
ἄνω	
ἀνώμοτος	unsworn, not bound by oath
ἀξία	the worth or value
ἄξιος	weighing as much, of like value, worth as much as
ἀξιόω	to think or deem worthy of
ἀόρατος	unseen, not to be seen, invisible
ἀπαμβλύνω	to blunt the edge of
ἀπείρατος	
ἀπείρητος	without making trial of
ἀπέρχομαι	to go away, depart from
ἄπιστος	not to be trusted
ἀπό	from, away from. c. gen.
ἀπό-γεννάω	
ἀποθνήσκω	to die off, die
ἀποκείρω	to clip or cut off
ἀπολαμβάνω	to take or receive from
ἀπολογία	a speech in defence, defence
ἀπολύω	to loose from
ἀπορία	difficulty of passing
ἄπρακτος	doing nothing, ineffectual, unprofitable
ἅπτω	to fasten, bind fast
ἀπώλεια	destruction
ἄρειος	devoted to Ares, warlike, martial
Ἄρειος	
ἀρετάω	to be fit or proper, to thrive, prosper
ἀρετή	goodness, excellence
ἀρνέομαι	to deny, disown
ἄροτρον	a plough
ἄρσην	male
ἀρχιτέκτων	a chief-artificer, master-builder, director of works, architect, engineer
ἀσθένεια	want of strength, weakness, feebleness, sickliness
ἀσθενής	without strength, weak, feeble, weakly
ἄστυ	a city, town
ἀσφάλεια	security against stumbling or falling
Ἀττικός	Attic, Athenian
αὐξάνω	to make large, increase, augment
αὖξις	
αὐτόθεν	from the very spot
αὐτός	self
αὐτόχειρ	with one's own hand
αὐτοχειρί	
ἀφαιρέω	to take from, take away from
ἀφιδρύω	to remove to another settlement
ἀφορμή	a starting-point
βάρβαρος	barbarous
βασιλεύς	a king, chief
βῆμα	a step, pace, stride
βία	bodily strength, force, power, might
βιάω	to constrain
βίος	life
βιόω	to live, pass one's life
βόα	
βοάω	to cry aloud, to shout
βόειος	of an ox or oxen
βοή	a loud cry, shout
βοήθεια	help, aid, rescue, support
βοηθέω	to come to aid, to succour, assist, aid
Βοιωτία	Boeotia
Βοιώτιος	Boeotian
Βοιωτός	a Boeotian
βόσκημα	that which is fed or fatted
βουλεύς	
βούλευσις	deliberation
βουλή	will, determination
βούλησις	a willing
βούλομαι	to will, wish, be willing
βοῦς	cow
βραχύς	short
βωμός	any raised platform, a stand
γάρ	for
γειτνιάω	to be a neighbour, to border on
γεωργέω	to be a husbandman, farmer
γεωργός	tilling the ground
γίγνομαι	to come into being
γιγνώσκω	to learn to know, to perceive, mark, learn
γλῶσσα	the tongue
γνόφος	
γνώμη	a means of knowing, a mark, token
γράμμα	that which is drawn
γράφω	to scratch, scrape, graze
γυμνός	naked, unclad
δακρύω	to weep, shed tears
δέ	but
δεῖ	it is binding on
δείδω	to fear
δείλαιος	wretched, sorry, paltry
δεινός	fearful, terrible, dread, dire
δεινότης	terribleness
δεξιός	on the right hand or side
δέον	that which is binding, needful, right, proper
δεσμός	anything for binding, a band, bond
δέω	
δή	exactness
δημαγωγός	a popular leader
Δημάδης	
Δημέου	
δημιουργός	one who works for the people, a skilled workman, handicraftsman
δῆμος	a country-district, country, land
Δημοσθένης	
δημόσιος	belonging to the people or state
διά	through c. gen. through, by means of c. acc.
διαβάλλω	to throw over or across, to carry over or across
διαβιβάζω	to carry over or across, to transport
διαβολή	false accusation, slander, calumny
διακρίνω	to separate one from another
διακωλύω	to hinder, prevent
διαλέγω	to pick out one from another, to pick out
διαλλάσσω	to change one with another, interchange
διάνοια	a thought, intention, purpose
διά-ὁρίζω	
διαπεράω	to go over or across
διαστρέφω	to turn different ways, to twist about, distort
διαφέρω	to carry over or across
διά-ὡρίζω	
δίδωμι	to give
δικάζω	to judge, to give judgment on
δικαία	
δικαιολογία	
δίκαιος	observant of custom and social rule, well-ordered, civilised
δικαιόω	to set right
δικαστήριον	a court of justice
δικαστής	a judge
δίκη	custom, usage
διό	wherefore, on which account
διορθόω	to make quite straight, set right, amend
δισχίλιοι	two thousand
διώκω	to pursue
δίωξις	chase, pursuit
δοκεύς	
δοκέω	videor mihi, to think, suppose, imagine, expect
δοκόν	
δοκός	a bearing-beam
δοκώ	
δόξα	a notion
δόξις	
δόσις	a giving
δύναμαι	to be able, capable, strong enough
δύναμις	power, might, strength
δυσμένεια	ill-will, enmity
δυσμή	setting
δύσχρηστος	hard to use, nearly useless
δωδεκαετία	
δωροδοκία	a taking of bribes, openness to bribery
ἕ	sui.
ἐάν	if haply
ἑαυτοῦ	itself, absolutely
ἐάω	to let, suffer, allow, permit
ἐγκαλέω	to call in
ἐγώ	ego
ἐγώγε	
ἔδαφος	the bottom, foundation, base
ἔδω	to eat
εἰ	whether.
εἶδον	to see, perceive, behold
εἰμί	to be, to exist
εἶπον	to speak, say
εἰρήνη	peace, time of peace
εἷς	
εἰς	into, to c. acc.
εἰσάγω	to lead in or into, to introduce
εἰσηγέομαι	to bring in, introduce
ἐκ	from out of
ἕκαστος	every, every one, each, each one
ἐκεῖνος	the person there, that person or thing
ἐκκλησία	an assembly of the citizens regularly summoned, the legislative assembly
ἐκκλίνω	to bend out of the regular line
ἐκλείπω	to leave out, omit, pass over
ἐκφέρω	to carry out of
ἑκών	willing, of free will, readily
ἐλάσσων	smaller, less
ἐλάχιστος	the smallest, least
ἔλεγχος	a cross-examining, testing
ἐλέγχω	to disgrace, put to shame
ἐλευθερία	freedom, liberty
ἐλέφας	the elephant
ἑλλά	
Ἑλλάς	Hellas
ἐλπίς	hope, expectation
ἐμέω	to vomit, throw up
ἐμός	mine
ἔμπειρος	experienced or practised in
ἐμπίπτω	to fall in or upon or into
ἐμποδίζω	to put the feet in bonds, to fetter
ἐμποδών	at the feet, in the way, in one's path
ἐν	in, among. c. dat.
ἐναντίος	opposite
ἔνορκος	bound by oath
ἔνοχος	held in
ἐνταῦθα	here, there
ἐξάγω	to lead out
ἐξαιρέω	to take out of
ἐξεγείρω	to awaken
ἐξοστρακίζω	to banish by ostracism
ἐξουσία	power or authority
ἔξωθεν	from without
ἐπαγγελία	a public denunciation
ἐπάγω	to bring on
Ἐπαμινώνδης	
ἔπανδρος	
ἐπαρτάω	to hang on or over
ἔπαυλις	a fold
ἐπεί	after that, after (postquam), since, when (quum)
ἐπειδάν	whenever.
ἔπειμι	to be upon
ἔπειτα	thereupon
ἐπέρχομαι	to come upon, come near, come suddenly upon
ἐπί	on, upon with gen., dat., and acc.
ἐπιβαίνω	to go upon
ἐπιβάτης	one who mounts or embarks;
ἐπιδορατίς	
ἐπιθυμία	desire, yearning, longing
ἐπιθυμιάω	to offer incense
ἐπικλύζω	to overflow
ἐπιλαμβάνω	to lay hold of, seize, attack
ἐπιλήθω	to cause to forget
ἐπίνοια	a thinking on or of
ἐπιστολή	a message, command, commission
ἐπισφαλής	prone to fall, unstable, precarious
ἐπιτιμάω	to lay a value upon
ἐπιτίμιον	the value, price
ἐπιτίμιος	
ἐπιτρέπω	to turn towards
ἐπιχειρέω	to put one's hand on
ἐργασία	work, daily labour, business
ἔργνυμι	to confine
ἔργον	work
ἐρεθίζω	to rouse to anger, rouse to fight, irritate
ἐρευνάω	to seek or search for, search after, track
Ἐρεχθεύς	the render
ἔρχομαι	to come or go
ἐσθίω	to eat
ἕτερος	one of the
ἑτερόφθαλμος	one-eyed
ἔτι	yet, as yet, still
ἑτοῖμος	at hand, ready, prepared
εὐγενής	well-born, of noble race, of high descent
εὐθέως	
εὐθής	
εὔθυνα	a setting straight, correction, chastisement
εὐθύνω	to guide straight, direct
εὐθύς	
εὐκίνητος	easily moved
εὐλαβέομαι	to behave like the
εὐλαβής	taking hold well, holding fast: —
εὔνοια	good-will, favour, kindness
εὐπρεπής	well-looking, goodly, comely
εὑρίσκω	to find
Εὐρώπη	Europa, Europe
Εὐρώπης	
Εὐρώτης	
εὐσεβής	righteous
ἐφίστημι	to set or place upon
ἐφόδιον	travelling-allowance
ἐφόδιος	
ἔχθρα	
ἔχθρη	hatred, enmity
ἐχθρός	hated, hateful
ἔχις	an adder, viper
ἔχω	to have or to hold
ζάω	to live
ζέω	to boil, seethe
ζητέω	to seek, seek for
ἤ	
ἡγεμονία	a leading the way, going first
ἡγέομαι	to go before, lead the way
ἤδη	by this time, before this, already
ἡδονά	
ἡδονή	delight, enjoyment, pleasure
ἦδος	delight, enjoyment, pleasure
