Field1	Field2
ἀλλοτριόω	to estrange from
ἄλλου	
ἀλλόφυλος	of another tribe, foreign
ἄλλως	in another way or manner
ἀλογία	want of respect or regard
ἀλόγιστος	unreasoning, inconsiderate, thoughtless, heedless
ἄλογος	without λόγος
Ἁλόννησον	
Ἁλοννήσου	
Ἀλόπη	
ἅλς	a lump of salt
ἄλυπον	
ἄλυπος	without pain
ἅλυσις	a chain
ἀλυσιτελής	unprofitable
ἄλφιτον	peeled or pearl-barley
ἁλώιος	
ἁλώνης	
Ἀλωπεκῆθεν	
Ἀλωπεκόννησον	
Ἀλωπεκοννήσῳ	
ἅλως	a threshing-floor
ἅλωσις	a taking, capture, conquest, destruction
ἅμα	at once, at the same time
Ἀμάδοκος	
Ἀμαζών	the Amazons
ἀμαθής	unlearned, ignorant, stupid, boorish
ἀμαθία	ignorance
ἄμαξα	a wagon, wain
ἁμαξιαῖος	large enough to load a wagon
ἁμαρτάνω	to miss, miss the mark
ἁμάρτημα	a failure, fault, sin
ἁμαρτία	a failure, fault, sin
ἀμάρτυρος	without witness, unattested
ἀμαυρόω	to make dim, faint
ἄμαχος	without battle
Ἀμβρακίη	
ἀμείβω	to change, exchange
ἄμεικτος	
Ἀμεινίης	
ἀμείνων	better, abler, stronger, braver
ἀμέλει	never mind
ἀμέλεια	indifference, negligence
ἀμελέω	to have no care for, be neglectful of
ἀμελής	careless, heedless, negligent
ἀμελία	
ἄμεμπτος	not to be blamed, blameless
ἄμη	a shovel or mattock
ἀμήχανος	without means
ἅμιλλα	a contest for superiority, a conflict
ἀμίς	a chamber-pot
ἀμισθί	without reward
ἄμισθος	without hire or pay, unhired
ἀμίσθωτος	bringing in no rent
ἄμμιγα	
ἀμμορία	what is not one's fate, bad fortune
ἀμνημονέω	to be unmindful
ἄμοιρος	without share in
ἁμός	
ἄμπ	
ἄμπελος	a vine
ἀμυδρός	indistinct, dim, obscure
Ἀμυθέων	
ἀμύθητος	unspeakable, unspeakably many or great
ἀμύντης	
Ἀμύντης	
ἀμύνω	to keep off, ward off
ἀμυχή	a scratch, skin-wound
ἀμφί-ἀμφισβητέω	
ἀμφίας	
ἀμφικτίονες	they that dwell round, next neighbours
Ἀμφικτύονες	the Amphictyons
ἀμφικτυονία	
Ἀμφικτυονικός	Amphictyonic, of the Amphictyons
Ἀμφικτύων	
Ἀμφίλοχος	
ἀμφιπολέω	to attend constantly, to attend on, watch, guard
Ἀμφίπολις	
ἀμφίπολις	encompassing a city
Ἀμφιπόλιτος	
Ἀμφιπολιτῶν	
ἀμφίς	on or at both sides
ἀμφισβητέω	to stand apart
ἀμφισβητήσιμος	disputed, disputable
ἀμφισβήτησις	a dispute, controversy, debate
Ἄμφισσα	
Ἀμφισσεῖς	
Ἀμφισσεῦσι	
ἀμφιτίθημι	to put round
Ἄμφιων	
ἀμφορεύς	an amphora, jar, urn
ἀμφορίσκος	
ἀμφοτερόπλοος	sailing both ways
ἀμφότερος	each or both of two
ἀμφοτέρωθεν	from or on both sides, utrinque
ἄμφω	
ἄν	
ἀνά	up, upon
ἀνά-ἀποληρέω	
ἀναβαίνω	to go up, mount, to go up to
ἀναβάλλω	to throw or toss up
ἀναβιβάζω	to make go up, cause to mount
ἀναβολάς	
ἀναβολή	that which is thrown up, a mound
ἀναγγέλλω	to carry back tidings of, report
ἀναγιγνώσκω	to know well, know certainly
ἀναγκάζω	to force, compel
ἀναγκαίη	
ἀναγκαῖον	a place of constraint, a prison
ἀναγκαῖος	with or by force
ἀνάγκη	force, constraint, necessity
ἀνάγνωσις	recognition
ἀναγόρευσις	a public proclamation
ἀναγορεύω	to proclaim publicly
ἀναγράφω	to engrave and set up
Ἀναγυράσιος	
ἀνάγω	to lead up
ἀναγωγή	a leading up
ἀναδασμός	re-distribution or partition
ἀναδείκνυμι	to lift up and shew
ἀναδενδράς	
ἀναδέχομαι	to take up, catch, receive
ἀναδέω	to bind or tie up
ἀνάδικος	tried over again
ἀναδύνω	to come to the top of water
ἀνά-ἐρῶ	
ἀνά-ἐχυράζω	
ἀνάθημα	a votive offering set up
ἀναίδεια	shamelessness, impudence, effrontery
ἀναιδής	shameless
Α	
α	
Ἀβδηρίτης	a man of Abdera
ἀβέβαιος	uncertain, unsteady
ἀβελτερία	silliness, stupidity, fatuity
ἀβέλτερος	good for nothing, silly, stupid, fatuous
ἀβίωτος	not to be lived, insupportable
ἀβουλέω	to be unwilling
Ἅβρων	
Ἁβρώνιχος	
Ἅβρωνος	
Ἀβυδηνός	
Ἄβυδος	Abydos
Ἀγάθαρχος	
ἀγαθίς	
Ἀγάθοκλεης	
ἀγαθός	good
Ἀγάθων	
ἀγάλλω	to make glorious, glorify, exalt
ἄγαμαι	to wonder, be astonished
ἄγαμος	unmarried, unwedded, single
ἄγαν	very, much, very much
ἀγανακτέω	to feel irritation
ἀγανάκτησις	irritation
ἀγαπάζω	to treat with affection, shew affection to
Ἀγαπαῖος	
ἀγαπάω	to treat with affection, to caress, love, be fond of
ἀγάπη	love
ἀγαπητός	beloved
ἀγαστός	deserving admiration
ἀγατός	
ἀγαυός	illustrious, noble
Ἀγαυός	
ἀγγεῖον	
ἀγγέλλω	to bear a message
ἄγγελος	a messenger, envoy
ἄγε	come! come on! well!
ἀγείρω	to bring together, gather together
ἀγεννής	of no family, low-born
ἄγη	wonder, awe, amazement
ἀγήραος	not waxing old, undecaying
ἁγής	
ἀγησίλαος	leader of people, conductor of men
Ἅγιος	
ἅγιος	devoted to the gods, sacred, holy
ἁγιστεύω	to perform sacred rites
ἄγκυρα	anchor
ἀγκών	the bend of the arm, the elbow
Ἄγλαυρος	
ἄγλαυρος	
ἁγνεύω	to consider as part of purity, make it a point of religion
Ἁγνίης	
ἀγνοέω	not to perceive or know
ἄγνοια	want of perception, ignorance
ἁγνός	full of religious awe
Ἁγνούσιος	
Ἁγνουσίῳ	
Ἁγνόφιλον	
Ἁγνόφιλος	
ἄγνυμι	to break, shiver
ἀγνωμονέω	to act without right feeling, act unfairly
ἀγνωμοσύνη	want of sense, folly
ἀγνώμων	ill-judging, senseless
ἀγνώς	unknown
ἀγνωσία	ignorance
ἄγνωστος	unknown
ἄγνωτος	
ἀγορά	an assembly of the people
ἀγοράζω	to be in the ἀγορά
ἀγορανόμος	a clerk of the market
ἀγοράομαι	to meet in assembly, sit in debate
ἀγόρασμα	that which is bought
ἀγορεύω	to speak in the assembly, harangue, speak
Ἀγορή	
ἀγός	a leader, chief
ἄγος	any matter of religious awe
ἄγρα	a catching, hunting
ἀγράφιος	
ἄγραφος	unwritten
ἀγρέω	to capture, seize
ἄγριος	living in the fields
ἀγριότης	wildness, savageness
ἀγρός	fields, lands
ἄγρυπνος	hunting after sleep
ἀγυιά	a street, highway
ἀγυιεύς	
Ἀγύρριος	
ἀγχιστεία	nearness of kin
ἄγχω	to compress, press tight
ἄγω	to lead or carry, to convey, bring
ἀγώγιμος	easy to be led or carried
ἀγών	a number of people brought together, a gathering, assembly
ἀγωνία	a contest, struggle for victory
ἀγωνιάω	to contend eagerly, struggle
ἀγωνίζομαι	to contend for a prize
ἀγώνισμα	a contest
ἀγωνιστέον	
ἀγωνιστέος	one must contend
ἀγωνιστής	a rival
ἀγωνοθετέω	to direct the games, exhibit them
ἀγωνοθέτης	judge of the contests, director of the games
ἄγωνος	
ἀδεής	without fear, fearless
ἄδεια	freedom from fear
ἀδείμαντος	fearless, dauntless
Ἀδείμαντος	
ἀδελφή	a sister
ἀδελφιδέος	a brother's or sister's son, a nephew
ἀδελφιδῆ	a brother's or sister's daughter, a niece
ἀδελφός	sons of the same mother
ἄδετος	unbound, free
ἄδηλος	not seen or known, unknown, obscure
ἀδημονέω	to be sorely troubled
ᾍδης	Hades or Pluto
ἀδιάλλακτος	
ἀδιάφθορος	uncorrupted
ἀδίδακτος	untaught, ignorant
ἀδιήγητος	indescribable
ἀδικέω	to do wrong
ἀδίκημα	a wrong done, a wrong
ἀδικία	wrong-doing, injustice
ἄδικος	wrong-doing, unrighteous, unjust
ἀδιοίκητος	
ἀδιόρθωτος	not corrected, not set right
ἀδόκιμος	not standing the test, spurious
ἀδολεσχέω	to talk idly, prate
ἄδολος	without fraud, guileless
