Field1	Field2
ἀγαθός	good
Ἄγις	
ἀγνοέω	not to perceive or know
ἀγνώς	unknown
ἀγορά	an assembly of the people
ἀγοράζω	to be in the ἀγορά
ἀγοράομαι	to meet in assembly, sit in debate
ἀγός	a leader, chief
ἄγω	to lead or carry, to convey, bring
ἀγών	a number of people brought together, a gathering, assembly
ἀγωνίζομαι	to contend for a prize
ἄγωνος	
ἀδελφός	sons of the same mother
ἀδικέω	to do wrong
ἀδίκημα	a wrong done, a wrong
ἀδικία	wrong-doing, injustice
ἀδικίανἀκυρον	
ἄδικος	wrong-doing, unrighteous, unjust
ἀδόκιμος	not standing the test, spurious
ἀδοξία	ill-repute, disgrace
ἄδοξος	inglorious, disreputable
ἀδύνατος	unable
ἀδωροδόκητος	
ἀεί	always, for ever
Ἀθῆναι	the city of Athens
Ἀθήναια	
Ἀθήναιον	the temple of Athena
Ἀθηναῖος	Athenian, of or from Athens
Ἀθήναιος	
Ἀθήνευς	
Ἀθήνη	Athena
ἀθρόος	in crowds or masses, crowded together
αἱρέω	to take with the hand, grasp
αἴρω	to take up, raise, lift up
αἰσθάνομαι	to perceive, apprehend by the senses, to see, hear, feel
αἰσχροκέρδεια	base covetousness
αἰσχροκερδής	sordidly greedy of gain
αἰσχρός	causing shame, abusive
αἰσχύνη	shame done one, disgrace, dishonour
αἰσχύνω	to make ugly, disfigure, mar
αἰτέω	to ask, beg
αἰτία	a charge, accusation
αἴτιος	to blame, blameworthy, culpable
ἀκολουθέω	to follow
ἀκόλουθος	following, attending on
ἀκούω	to hear
ἀκριβής	exact, accurate, precise, made or done to a nicety
ἀκριβόω	to make exact or accurate
ἀκριβῶς	
ἀκρόπολις	the upper city
ἀκτή	a headland, foreland, promontory, shore
ἄκυρον	
ἄκυρος	without authority
ἀκυρόω	
ἀλέξανδρος	defending men
Ἀλέξανδρος	
ἀλήθεια	truth
ἀληθής	unconcealed, true
ἀληθινός	agreeable to truth
Ἁλιρρόθιος	
ἁλιρρόθιος	dashed over by the sea
ἁλίσκομαι	to be taken, conquered
ἀλιτήριος	sinning or offending against
ἀλλά	otherwise, but
ἀλλήλων	of one another, to one another, one another
ἄλλοθι	elsewhere, in another place, in a strange
ἄλλος	alius, another, one besides
ἀλλότριος	of or belonging to another
ἄλλου	
ἀλόγιστος	unreasoning, inconsiderate, thoughtless, heedless
ἀλυσιτελής	unprofitable
ἁμάρτημα	a failure, fault, sin
ἁμαρτία	a failure, fault, sin
ἀμελέω	to have no care for, be neglectful of
ἁμιλλάομαι	to compete, vie, contend with
ἁμός	
ἁμοῦ	somewhere or other
ἀμύνω	to keep off, ward off
ἀμφισβητέω	to stand apart
Ἄμφισσα	
ἀμφότερος	each or both of two
ἄν	
ἀνά	up, upon
