Field1	Field2
ἀκριβής	exact, accurate, precise, made or done to a nicety
ἀκριβολογέομαι	to be exact or precise
ἀκριβόω	to make exact or accurate
ἀκριβῶς	
ἄκριτος	undistinguishable, unarranged, disorderly
ἀκροάομαι	to hearken to, listen to
ἀκρόασις	a hearing or listening
ἀκροβόλισις	a skirmishing
ἄκρον	the highest or furthest point
ἀκρόπολις	the upper city
ἄκρος	at the furthest point
ἄκρων	
ἀκρώρεια	a mountain-ridge
ἀκρωτηριάζω	to cut off the extremities, mutilate
ἀκρωτήριον	any prominent part
ἀκτέα	the elder-tree
ἀκτή	a headland, foreland, promontory, shore
Ἀκτή	
ἀκτίς	a ray, beam
Ἀκύλλιος	
ἄκυρον	
ἄκυρος	without authority
ἀκυρόω	
ἀκώλυτος	unhindered
Ἁλαίσα	
Ἀλαίσης	
Ἁλαισῖνοι	
ἀλαλαγή	a shouting
ἀλαλαγμός	
ἀλαλάζω	to raise the war-cry
ἀλάομαι	to wander, stray or roam about
Ἄλβας	
Ἀλβῖνον	
ἀλγέω	to feel bodily pain, suffer
ἀλγηδών	a sense of pain, pain, suffering
Ἄλγιδος	
ἀλείφω	to anoint with oil, oil
Ἀλεξανδρεία	
Ἀλέξανδρονἐν	
ἀλέξανδρος	defending men
Ἀλέξανδρος	
Ἀλέξανδροσἀκουσας	
Ἀλεξίης	
Ἀλευάδαι	
ἀλήθεια	truth
ἀληθής	unconcealed, true
ἀληθινός	agreeable to truth
Ἁλίαρτος	
ἁλιεύς	one who has to do with the sea
ἁλιευτικός	of or for fishing
ἁλίζω	
Ἁλικαρνασσεύς	a Halicarnassian
Ἁλικαρνασσός	
Ἁλικύαι	
Ἁλικυαῖοι	
Ἁλικυαίων	
ἅλιος	
Ἅλιος	
ἁλίσκομαι	to be taken, conquered
Ἀλκάδα	
ἀλκαῖον	
ἀλκαῖος	strong, mighty
Ἀλκαῖος	
Ἀλκέτης	
Ἄλκετος	
ἀλκή	strength
Ἀλκιβιάδης	
Ἀλκίδης	
ἄλκιμος	strong, stout
Ἀλκισθένης	
ἀλλά	otherwise, but
ἀλλαγή	a change
ἀλλάσσω	to make other than it is, to change, alter
ἄλλῃ	in another place, elsewhere
f	
Ἄβαι	
Ἀβακαίνη	
Ἀβακαινίνης	
Ἄβας	
ἄβατον	
ἄβατος	untrodden, impassable, inaccessible
Ἀβδήμονα	
Ἄβδηρα	
Ἀβδηρίτης	a man of Abdera
ἀβεβαιότης	
ἀβοήθητος	helpless
Ἀβουλεύτης	
ἀβούλευτος	
ἀβουλέω	to be unwilling
ἀβουλία	want of counsel, thoughtlessness
ἄβουλος	inconsiderate, ill-advised
Ἀβρίτας	
Ἀβυδηνός	
Ἄβυδος	Abydos
Ἀγάθαρχος	
Ἀγάθοκλεης	
ἀγαθός	good
Ἀγάθων	
ἀγαθώτατοι	
Ἀγαλασσεῖς	
ἄγαλμα	a glory, delight, honour
ἀγαλματοποιός	a maker of statues, a sculptor, statuary
Ἀγαμεμνονίδης	Agamemnon's son
Ἀγαμέμνων	the very steadfast
ἄγαν	very, much, very much
ἀγανακτέω	to feel irritation
ἀγαπάζω	to treat with affection, shew affection to
ἀγαπάω	to treat with affection, to caress, love, be fond of
ἀγαπητός	beloved
ἀγγελία	a message, tidings, news
ἀγγέλλω	to bear a message
ἄγγελος	a messenger, envoy
ἄγε	come! come on! well!
ἀγείρω	to bring together, gather together
ἀγέλη	a herd
ἀγεληδόν	in herds or companies
ἀγενής	
ἀγένητος	unborn, uncreated, unoriginated
ἀγεννής	of no family, low-born
ἄγευστος	without taste of, fasting from
ἄγη	wonder, awe, amazement
ἀγησίλαος	leader of people, conductor of men
Ἀγησίλαος	
Ἀγησίου	
Ἀγησίπολις	
ἅγιος	devoted to the gods, sacred, holy
Ἄγις	
ἄγκυρα	anchor
ἀγκύρια	
ἀγκύριον	a small anchor
ἁγνεία	purity, chastity
ἁγνεύω	to consider as part of purity, make it a point of religion
ἀγνοέω	not to perceive or know
ἀγνόημα	a fault of ignorance, error
ἄγνοια	want of perception, ignorance
ἁγνός	full of religious awe
ἄγνυμι	to break, shiver
ἀγνώμων	ill-judging, senseless
Ἅγνων	
ἄγνωστος	unknown
αγομένου	
ἀγορά	an assembly of the people
ἀγοράζω	to be in the ἀγορά
ἀγοραῖος	in, of, or belonging to the ἀγορά
ἀγοράομαι	to meet in assembly, sit in debate
ἀγορεύω	to speak in the assembly, harangue, speak
ἄγος	any matter of religious awe
ἀγός	a leader, chief
ἄγρα	a catching, hunting
ἀγράμματος	without learning
ἀγραυλία	
ἄγραφος	unwritten
ἀγρέω	to capture, seize
ἀγρία	
Ἀγριάν	
ἀγρίδιον	
ἄγριος	living in the fields
Ἀγρίππαν	
ἀγρογείτων	a country neighbour
ἀγρός	fields, lands
Ἀγυλλαίων	
Ἀγύλλη	
Ἀγυρηναῖον	
Ἀγυριναίαν	
Ἀγυριναίους	
Ἀγυριναίων	
Ἀγύριον	
ἄγυρις	a gathering, crowd
ἀγχίνοια	readiness of mind, ready wit, sagacity
ἀγχιστεύς	closely akin
ἄγχιστος	nearest
ἄγω	to lead or carry, to convey, bring
ἀγωγεύς	one that draws or drags
ἀγωγή	a carrying away, carriage
ἀγώγιμος	easy to be led or carried
ἀγών	a number of people brought together, a gathering, assembly
ἀγωνία	a contest, struggle for victory
ἀγωνιάω	to contend eagerly, struggle
ἀγωνίζομαι	to contend for a prize
ἄγωνος	
Ἄδα	
ἀδάκρυτος	without tears
ἀδάμας	
Ἄδαν	
ἀδάπανος	without expense, costing nothing
ἀδεής	without fear, fearless
Ἀδείμαντος	
ἀδείμαντος	fearless, dauntless
ἀδελφή	a sister
ἀδελφιδέος	a brother's or sister's son, a nephew
ἀδελφομιξία	
ἀδελφός	sons of the same mother
ἄδηλος	not seen or known, unknown, obscure
ἀδημονέω	to be sorely troubled
ἀδήριτος	without strife or battle
ᾍδης	Hades or Pluto
ᾅδης	
ἀδιάβατος	not to be passed
ἀδιαίρετος	
ἀδιάλειπτος	unintermitting, incessant
ἀδιάλυτος	undissolved, indissoluble
ἀδιάφθορος	uncorrupted
ἀδικέω	to do wrong
ἀδίκημα	a wrong done, a wrong
ἀδικία	wrong-doing, injustice
ἄδικος	wrong-doing, unrighteous, unjust
ἄδμητος	unbroken
Ἄδμητος	
ἀδοξέω	to be held in no esteem, to stand in ill repute
ἀδοξία	ill-repute, disgrace
ἄδοξος	inglorious, disreputable
Ἀδραμύτιον	
Ἀδρανίτας	
Ἄδρανον	
Ἀδρανοῦ	
ἄδραστος	not running away, not inclined to do so
Ἄδραστος	
Ἀδρεστῶν	
Ἀδρίας	the Adriatic
ἁδρόομαι	to come to one's strength
ἁδρός	thick
ἀδυνατέω	to want strength
ἀδύνατος	unable
ἄδυτον	the innermost sanctuary
ἄδυτος	not to be entered
ἀεί	always, for ever
ἀείδω	to sing
Ἀείμηνστον	
Ἀείμνηστος	
ἀείμνηστος	ever to be remembered
ἀείρω	to lift, heave, raise up
ἀεκούσιος	against one's will, involuntary
ἀέκων	against one's will, unwilling
ἀέναος	ever-flowing
ἀενάων	
ἀέριος	in the mist or thick air of morning
Ἀέροπος	
ἀετός	an eagle
ἀήρ	the lower air, the air
ἀησσητος	
ἀήττητος	
Ἀθαμᾶνας	
Ἀθαμᾶνες	
ἀθανασία	immortality
ἀθανατισμός	
ἀθάνατος	undying, immortal
ἄθαπτος	unburied
ἄθεος	without God, denying the gods
ἄθετος	set aside
Ἀθῆναι	the city of Athens
Ἀθήναια	
Ἀθηναί̈δα	
Ἀθήναιον	the temple of Athena
Ἀθήναιος	
Ἀθηναῖος	Athenian, of or from Athens
Ἀθήνευς	
Ἀθήνη	Athena
Ἀθήνησιν	at Athens
ἄθικτος	untouched
ἄθλημα	a contest
ἄθλησις	a contest, struggle
ἀθλητής	a prizefighter
ἆθλον	the prize of contest
ἆθλος	a contest for a prize
ἀθρέω	to look at, gaze at, observe, perceive
ἀθροίζω	to gather together, to muster
ἄθροισμα	a gathering
ἀθροισμός	
ἀθρόος	in crowds or masses, crowded together
ἀθυμέω	to be disheartened, lose heart
ἀθυμία	want of heart, faintheartedness
ἄθυμος	without heart, fainthearted
ἀθῷος	unpunished, scot-free
Ἄθως	mount Athos
αἶα	
Αἰακίδης	son of Aeacus
Αἴας	Ajax
Αἰβούτιος	
Αἰγαί	
αἴγεος	a goat's skin
Αἴγεστα	
Αἰγεσταῖοι	
Αἰγεσταίοις	
Αἰγεσταίων	
αἰγιαλός	the sea-shore, beach, strand
Αἴγινα	Aegina
Αἰγινήτης	an Aeginetan
Αἰγύπτιος	Egyptian
Αἰγυπτίουσφανερῶς	
Αἴγυπτος	the river Nile
αἰδέομαι	to be ashamed to do
αἰδοῖος	regarded with reverence, august, venerable
ἀιδρείη	want of knowledge, ignorance
αἰδώ	
αἰδώς	a sense of shame, shame, modesty, self-respect
Αἰθάλειαν	
αἰθήρ	ether, the brighter purer air, the sky
Αἰθιοπία	Ethiopia
Αἰθιόπιος	
Αἰθίοψ	burnt-face
αἰθρία	in clear weather
αἰθριάω	to be clear
ἀικής	
αἰκία	injurious treatment, an affront, outrage
αἰκίζω	to treat injuriously, to plague, torment
Αἰκίκλους	
Αἰκίκλων	
Αἴκλων	
Αἰκολανός	
Αἰκουλανῶν	
Αἴκους	
Αἰκούσους	
αἷμα	blood
αἱματοειδής	
αἱματόω	to make bloody, stain with blood
Αἰμιλιανός	
Αἰμίλιος	
Αἰνιάν	
αἰνιγματώδης	riddling, dark
Αἶνος	
αἴξ	a goat
Αἰολεύς	an Aeolian
αἰολέω	
Αἰολίδης	
Αἰολικός	of or like the Aeolians
Αἰολίς	
αἰόλος	quick-moving
αἵρεσις	a taking especially
αἱρετός	that may be taken or conquered
αἰρετώτερον	
αἱρέω	to take with the hand, grasp
αἴρω	to take up, raise, lift up
αἰσθάνομαι	to perceive, apprehend by the senses, to see, hear, feel
αἴσιος	boding well, auspicious
αἶσις	
Αἰσχίνης	
αἰσχροκέρδεια	base covetousness
αἰσχρός	causing shame, abusive
Αἰσχύλος	
αἰσχύνη	shame done one, disgrace, dishonour
αἰσχύνω	to make ugly, disfigure, mar
Αἴσωπος	
αἰτέω	to ask, beg
αἴτησις	a request, demand
αἰτία	a charge, accusation
αἰτιάομαι	to charge, accuse, censure, blame
αἴτιος	to blame, blameworthy, culpable
Αἴτνη	
Αἰτωλία	
Αἰτωλίη	
Αἰτώλιος	
Αἰτωλοί	
Αἰτωλός	
αἰφνίδιος	unforeseen, sudden
αἰχμαλωσία	captivity: a body of captives
αἰχμαλωτίζειν	
αἰχμαλωτιζομένας	
αἰχμαλωτίς	
αἰχμαλωτισάμενοι	
αἰχμαλωτισθέντες	
αἰχμάλωτος	taken by the spear, captive to one's spear, taken prisoner
αἰών	a period of existence
αἰώνιος	lasting for an age
αἰωρέω	to lift up, raise
Ἀκαδήμεια	the Academy
ἀκαιρέω	
ἄκαιρος	ill-timed, unseasonable, inopportune
ἄκακος	unknowing of ill, guileless
ἀκάνθιον	
ἀκανθίων	
Ἄκανθος	
ἄκανθος	
Ἀκαρνάν	
Ἀκαρνανίη	
ἄκαρπος	without fruit, barren
ἀκαταγώνιστος	
ἀκατάλλακτος	irreconcileable
ἀκατάπαυστος	that cannot cease from τινός
ἀκατάπληκτος	
ἀκατάσχετος	not to be checked
ἀκατηγόρητος	
ἄκατος	a light vessel
ἀκέομαι	to heal, cure
ἀκέραιος	unmixed, pure in blood
Ἀκεσίνης	
Ἀκεστορίδης	
Ἄκης	
Ἀκίλιος	
ἀκίνδυνος	without danger, free from danger
ἀκίνητος	unmoved, motionless
ἀκλεής	without fame, inglorious, unsung
ἀκλεῶς	
ἀκλήρημα	
ἀκληρία	
ἀκληροῦντας	
ἀκληρούντων	
ἄκλυστος	unwashed by waves
ἀκμάζω	to be in full bloom, be at one's prime or perfection
ἀκμή	a point, edge
ἄκμων	a thunderbolt
ἀκοή	a hearing, the sound heard
ἀκολασία	licentiousness, intemperance
ἀκολουθέω	to follow
ἀκόλουθος	following, attending on
ἀκονιτί	without the dust of the arena
ἀκοντίζω	to hurl a javelin
ἀκοντιστής	a darter, javelin-man
Ἄκορις	
ἄκος	a cure, relief, remedy for
ἀκούσιος	
ἄκουσις	
ἀκουστής	
ἀκουστός	heard, audible
ἀκούω	to hear
ἄκρα	a headland, foreland, cape
Ἀκραγαντίνη	
Ἀκραγαντῖνος	
Ἀκράγας	
ἀκρατής	powerless, impotent
ἄκρατος	unmixed, sheer
ἀκρίβεια	exactness, minute accuracy, precision
ἀλλήλων	of one another, to one another, one another
ἀλλοεθνής	
ἄλλοιδ'	
ἄλλοισΠερικλεης	
ἅλλομαι	to spring, leap, bound
ἄλλος	alius, another, one besides
ἀλλότριος	of or belonging to another
ἀλλοτριότης	alienation, estrangement
ἀλλοτριοφρονοῦντας	
ἀλλοτριόω	to estrange from
ἄλλου	
ἀλλόφυλος	of another tribe, foreign
ἄλλως	in another way or manner
ἀλόγιστος	unreasoning, inconsiderate, thoughtless, heedless
ἄλογος	without λόγος
Ἀλόπη	
Ἄλπις	
Ἅλυκος	
Ἅλυς	
ἅλυσις	a chain
Ἀλφειός	
ἄλφιτον	peeled or pearl-barley
ἅλων	
ἁλώνης	
ἀλώπηξ	a fox
Ἀλωρίτης	
ἅλως	a threshing-floor
̔́αλωσις	
ἅλωσις	a taking, capture, conquest, destruction
ἅμα	at once, at the same time
Ἀμαζονίδες	
Ἀμαζονίς	
Ἀμαζών	the Amazons
ἀμαθής	unlearned, ignorant, stupid, boorish
ἀμαθία	ignorance
Ἀμαθούσιοι	
Ἄμανος	
ἄμαξα	a wagon, wain
ἁμαξιαῖος	large enough to load a wagon
ἁμάξιτος	traversed by wagons
Ἁμάξιτος	
ἁμαρτάνω	to miss, miss the mark
ἁμάρτημα	a failure, fault, sin
ἁμαρτία	a failure, fault, sin
Ἄμασις	
ἀμαυρόω	to make dim, faint
ἀμαύρωσις	
ἀμβλύνω	to blunt, take the edge off
ἀμβλύς	blunt, dulled, with the edge taken off
Ἀμβρακιώτης	
ἀμείβω	to change, exchange
Ἀμεινίης	
