Field1	Field2
α	
Α	
ΑΒ	
ΑΒΓ	
ΑΒΓΔ	
ΑΒΓΔΕ	
ΑΒΓΔΕΖ	
ΑΒΓΔΕΜ	
ΑΒΓΔΛ	
ΑΒΓΔΜ	
ΑΒΓΗ	
ΑΒΓΜ	
ΑΒΔ	
ΑΒΔΓ	
ΑΒΕ	
ΑΒΕΔ	
ΑΒΖ	
ΑΒΖΥ	
ΑΒΗ	
ΑΒΗΔ	
ΑΒΘ	
ΑΒΚ	
ΑΒΜ	
ΑΒΝ	
ΑΓ	
ΑΓΒ	
ΑΓΒΛ	
ΑΓΔ	
ΑΓΔΒ	
ΑΓΔΜ	
ΑΓΕ	
ΑΓΖ	
ΑΓΗ	
ΑΓΘ	
ΑΓΚ	
ΑΓΛ	
ἄγνυμι	to break, shiver
ἄγω	to lead or carry, to convey, bring
ΑΔ	
ΑΔΒ	
ΑΔΓ	
ΑΔΓΒ	
ΑΔΕ	
ΑΔΕΒ	
ΑΔΕΜ	
ΑΔΗ	
ἀδύνατος	unable
ΑΕ	
ΑΕΒ	
ΑΕΒΖ	
ΑΕΒΖΓ	
ΑΕΒΖΓΗΔΘ	
ΑΕΓ	
ΑΕΔ	
ΑΕΔΗ	
ΑΕΖ	
ΑΕΖΓ	
ΑΕΖΔ	
ΑΕΖΦ	
ΑΕΗ	
ΑΕΗΘ	
ΑΕΘ	
ἀεί	always, for ever
ΑΕΚ	
ΑΖ	
ΑΖΒ	
ΑΖΓ	
ΑΖΔ	
ΑΖΕ	
ΑΖΗ	
ΑΖΚ	
ΑΗ	
ΑΗΒ	
ΑΗΔ	
ΑΗΕ	
ΑΗΖ	
ΑΗΘ	
ΑΗΚ	
ΑΘ	
ΑΘΒ	
ΑΘΓ	
ΑΘΕ	
ΑΘΖ	
ΑΘΗ	
ΑΘΚ	
ΑΙ	
αἰτέω	to ask, beg
ΑΚ	
ΑΚΒ	
ΑΚΘ	
ΑΚΝ	
ἀκόλουθος	following, attending on
ἄκρα	a headland, foreland, cape
ἄκρον	the highest or furthest point
ἄκρος	at the furthest point
ἄκρων	
ΑΛ	
ΑΛΒ	
ΑΛΓ	
ἀλλά	otherwise, but
ἀλλήλων	of one another, to one another, one another
ἄλλος	alius, another, one besides
ἄλλου	
ἄλλως	in another way or manner
ἄλογος	without λόγος
ΑΜ	
ἅμα	at once, at the same time
ΑΜΒ	
ΑΜΒΚ	
ἀμβλυγώνιος	
ἀμβλύς	blunt, dulled, with the edge taken off
