Field1	Field2
ἆ	ah!
ἄατος	insatiate
ἀάω	to hurt, damage
ἀβάκχευτος	uninitiated in the Bacchic orgies
Ἀβαντίδης	
Ἀβαντίς	
ἄβατον	
ἄβατος	untrodden, impassable, inaccessible
ἀβίοτος	
ἀβίωτος	not to be lived, insupportable
ἀβουλία	want of counsel, thoughtlessness
ἄβουλος	inconsiderate, ill-advised
ἀβριθής	of no weight
ἁβροκόμης	with delicate or luxuriant leaves
ἁβρόπλουτος	richly luxuriant
ἁβρός	delicate, graceful, beauteous, pretty
ἁβροσύνη	
ἁβρότης	delicacy, luxury
ἄβροχος	unwetted, unmoistened
ἁβρύνω	to make delicate, treat delicately
ἀβρωσία	
ἄβυσσος	with no bottom, bottomless, unfathomed
ἀγαθίς	
ἀγαθός	good
ἀγάλλω	to make glorious, glorify, exalt
ἄγαλμα	a glory, delight, honour
ἄγαμαι	to wonder, be astonished
Ἀγαμεμνόνεος	of or having to do with Agamemnon
Ἀγαμεμνόνιος	
Ἀγαμέμνων	the very steadfast
ἀγάμετος	
ἄγαμος	unmarried, unwedded, single
ἄγαν	very, much, very much
ἀγανός	mild, gentle, kindly
ἀγαπάζω	to treat with affection, shew affection to
ἀγαπάω	to treat with affection, to caress, love, be fond of
ἀγαστός	deserving admiration
ἀγατός	
Ἀγαύη	
ἀγγελία	a message, tidings, news
ἀγγέλλω	to bear a message
ἄγγελμα	a message, tidings, news
ἄγγελος	a messenger, envoy
ἄγγος	a vessel
ἄγε	come! come on! well!
ἀγείρω	to bring together, gather together
ἀγείτων	without neighbour, neighbourless
ἀγελαῖος	belonging to a herd, feeding at large
ἀγέλη	a herd
ἀγεννής	of no family, low-born
ἀγέραστος	without a gift of honour, unrecompensed, unrewarded
ἀγή	a fragment, piece, splinter
ἄγη	wonder, awe, amazement
Ἀγηνοριδᾶν	
ἀγήνωρ	manly, courageous, heroic
Ἀγήνωρ	
ἀγήραος	not waxing old, undecaying
ἀγήρατον	
ἀγήρατος	
ἁγήτωρ	
ἁγιστεύω	to perform sacred rites
ἀγκάλη	the bent arm
ἄγκος	a bend
ἀγκύλη	a loop or noose
ἀγκυλητός	
ἀγκύλος	crooked, curved
ἄγκυρα	anchor
ἀγκών	the bend of the arm, the elbow
ἀγλαία	splendour, beauty, adornment
ἀγλάισμα	an ornament, honour
ἀγλαός	splendid, shining, bright, beautiful
Ἀγλαυρίσι	
ἄγλαυρος	
Ἄγλαυρος	
ἀγμός	a broken cliff, crag
ἅγνευμα	chastity
ἁγνεύω	to consider as part of purity, make it a point of religion
ἁγνίζω	to cleanse away
ἁγνιστέος	to be purified
ἀγνοέω	not to perceive or know
ἁγνός	full of religious awe
ἄγνος	a willow-like tree
ἄγνυμι	to break, shiver
ἀγνωμοσύνη	want of sense, folly
ἀγνώς	unknown
ἀγνωσία	ignorance
ἄγνωστος	unknown
ἄγονον	
ἄγονος	unborn
ἀγορά	an assembly of the people
ἀγοράζω	to be in the ἀγορά
ἀγοραῖος	in, of, or belonging to the ἀγορά
ἀγορεύω	to speak in the assembly, harangue, speak
Ἀγορή	
ἄγορος	
ἀγός	a leader, chief
ἄγος	any matter of religious awe
ἄγρα	a catching, hunting
ἄγραυλος	dwelling in the field
ἄγρευμα	that which is taken in hunting, booty, prey, spoil
ἀγρεύς	a hunter
ἀγρεύω	to take by hunting or fishing, to catch, take
ἀγρέω	to capture, seize
ἀγρία	
ἄγριος	living in the fields
ἀγριόω	to make wild or savage
ἀγριωπός	wild-looking
ἀγροβάτα	
ἀγρόθεν	from the country
ἀγρός	fields, lands
ἀγρότερος	wild
ἀγροτήρ	rustic
ἀγρότης	a country-man, rustic
ἄγρυπνος	hunting after sleep
ἀγρώστης	
ἀγρώτης	wild
ἀγυιά	a street, highway
ἀγυιᾶτις	of Apollo Agyieus
Ἀγυιεύς	guardian of the streets
ἀγυιεύς	
ἀγύμναστος	unexercised, untrained
ἄγυρις	a gathering, crowd
ἀγύρτης	a collector
ἀγχίαλος	near the sea
ἀγχίπλοος	near by sea
ἀγχιστεύω	to be next or near
ἄγχιστος	nearest
ἀγχιτέρμων	near the borders, neighbouring
ἀγχόνη	a throttling, strangling, hanging
ἀγχόνιος	fit for strangling
ἄγω	to lead or carry, to convey, bring
ἀγώγιμος	easy to be led or carried
ἀγωγός	leading
ἀγών	a number of people brought together, a gathering, assembly
ἀγωνία	a contest, struggle for victory
ἀγωνιάω	to contend eagerly, struggle
ἀγωνίζομαι	to contend for a prize
ἀγώνισμα	a contest
ἀγωνιστής	a rival
ἄγωνος	
ἀδάκρυτος	without tears
ἀδάμας	
Ἀδάμας	
ἀδάματος	unconquered
ἀδάπανος	without expense, costing nothing
ἀδείμαντος	fearless, dauntless
ἀδελφή	a sister
