Field1	Field2
ἆ	ah!
α	
Ἀαρών	
Ἀαρῶνα	
Ἀαρῶνι	
Ἀαρῶνος	
ἀάω	to hurt, damage
Ἀβαίζ	
ἀβαί̈θ	
ἀβαρής	without weight: not burdensome
Ἀβαρός	
ἀβασάνιστος	not examined by torture, untortured
ἀβασίλευτος	not ruled by a king
ἀβάσκανος	
ἄβατον	
ἄβατος	untrodden, impassable, inaccessible
Ἄββαρος	
Ἀβδαγάσῃ	
Ἀβδαγάσου	
Ἀβδαίου	
Ἀβδάσταρτος	
Ἀβδεῆλος	
Ἀβδεναγώ	
Ἀβδηλίμου	
Ἀβδήμονα	
Ἀβδήμονος	
Ἀβδήμουνον	
Ἀβδήμουνος	
Ἀβδηρίτης	a man of Abdera
Ἀβδών	
ἀβέβαιος	uncertain, unsteady
ἀβέβηλος	not profane, inviolable
Ἄβελα	
Ἀβελάνην	
Ἀβέλας	
Ἀβέλης	
Ἀβελίου	
Ἀβέλλᾳ	
Ἄβελον	
Ἄβελος	
Ἀβέλου	
Ἀβελωχέᾳ	
Ἀβενῆρον	
Ἀβενήρου	
Ἀβενήρῳ	
Ἀβεννήριγον	
Ἀβεννήριγος	
Ἀβεννῆρον	
Ἀβεννῆρος	
Ἀβεννήρου	
Ἀβεννήρῳ	
Ἀβεσσαῖον	
Ἀβεσσαῖος	
Ἀβεσσαίου	
Ἀβεσσαίῳ	
Ἀβεσσάρου	
Ἀβεσσάρῳ	
Ἀβήναρον	
Ἀβηνάρου	
Ἀβιάθαρον	
Ἀβιάθαρος	
Ἀβιαθάρου	
Ἀβιβάλου	
Ἀβιγαία	
Ἀβιγαίαν	
Ἀβιγαίας	
Ἀβιδᾶς	
Ἀβιεζέρης	
Ἀβίη	
Ἄβιλα	
Ἄβιλαν	
Ἀβίλη	
Ἀβιλμαθαδάχος	
Ἀβιλμαθαδάχου	
Ἀβιμάηλος	
Ἀβιμέλεχον	
Ἀβιμέλεχος	
Ἀβιμελέχου	
Ἀβιμελέχῳ	
Ἀβινάδαβος	
Ἀβιοῦς	
Ἀβίραμον	
Ἀβιράμου	
Ἀβισαῖον	
Ἀβισάκη	
Ἀβισάκην	
Ἀβισάκης	
Ἀβισάρου	
Ἀβιτάλης	
Ἀβίτω	
ἀβλαβής	without harm
ἀβουλέω	to be unwilling
ἀβούλητος	
ἀβουλία	want of counsel, thoughtlessness
Ἀβουμᾶς	
Ἁβραάμ	
Ἁβράμης	
Ἅβραμον	
Ἄβραμον	
Ἅβραμος	
Ἁβράμου	
Ἀβράμου	
Ἁβράμῳ	
ἁβροδίαιτος	living delicately
ἁβρότης	delicacy, luxury
ἀβροχία	
ἄβρωτος	
Ἄγαβα	
Ἄγαγος	
Ἀγαθαρχίδης	
Ἀγάθοκλεης	
ἀγαθός	good
ἀγαθώτατον	
