Field1	Field2
ἄατος	insatiate
ἀάω	to hurt, damage
Ἄβαι	
Ἄβαρις	
Ἄβας	
ἄβατον	
ἄβατος	untrodden, impassable, inaccessible
Ἄβδηρα	
Ἀβδηρίτης	a man of Abdera
Ἄβδηρος	
ἀβουλία	want of counsel, thoughtlessness
ἄβουλος	inconsiderate, ill-advised
Ἀβροκόμης	
ἁβρός	delicate, graceful, beauteous, pretty
Ἀβρώνιχος	
Ἀβυδηνός	
Ἄβυδος	Abydos
ἄβυσσος	with no bottom, bottomless, unfathomed
ἀγαθοεργέω	to do good
ἀγαθοεργία	a good deed, service rendered
ἀγαθοεργός	doing good
ἀγαθός	good
Ἀγαθύρσοι	
Ἀγάθυρσος	
ἀγαίομαι	to be indignant at
Ἄγαιος	
ἀγαῖος	
ἀγάλλω	to make glorious, glorify, exalt
ἄγαλμα	a glory, delight, honour
ἀγαλματοποιός	a maker of statues, a sculptor, statuary
ἄγαμαι	to wonder, be astonished
Ἀγαμεμνονίδης	Agamemnon's son
Ἀγαμέμνων	the very steadfast
ἄγαν	very, much, very much
ἀγάομαι	admiring
Ἀγαρίστη	
Ἀγασικλέης	
ἀγαυρός	stately, proud
Ἄγβαλος	
Ἀγβάτανα	
Ἀγβατάνοισι	
Ἀγβατάνων	
ἀγγαρήιον	
ἀγγαρήιος	
ἀγγεῖον	
ἀγγελία	a message, tidings, news
ἀγγελιαφόρος	a messenger
ἀγγέλλω	to bear a message
ἄγγελος	a messenger, envoy
Ἀγγίτης	
ἄγγος	a vessel
Ἄγγρος	
ἄγε	come! come on! well!
ἀγείρω	to bring together, gather together
ἀγελαῖος	belonging to a herd, feeding at large
ἀγεληδόν	in herds or companies
ἀγεννής	of no family, low-born
ἄγερσις	a gathering, mustering
ἄγη	wonder, awe, amazement
ἁγηλατέω	to drive out a curse
Ἀγήνωρ	
ἀγήνωρ	manly, courageous, heroic
ἀγησίλαος	leader of people, conductor of men
Ἄγητος	
ἀγινέω	to lead, bring, carry
ἅγιος	devoted to the gods, sacred, holy
Ἄγις	
ἀγκάλη	the bent arm
ἄγκιστρον	a fish-hook
ἄγκος	a bend
ἄγκυρα	anchor
ἀγκών	the bend of the arm, the elbow
ἀγλαός	splendid, shining, bright, beautiful
ἄγλαυρος	
Ἄγλαυρος	
Ἀγλώμαχος	
ἁγνεύω	to consider as part of purity, make it a point of religion
ἀγνοέω	not to perceive or know
ἄγνυμι	to break, shiver
ἀγνωμοσύνη	want of sense, folly
ἀγνώμων	ill-judging, senseless
ἀγορά	an assembly of the people
ἀγοράζω	to be in the ἀγορά
ἀγοραῖος	in, of, or belonging to the ἀγορά
ἀγοράομαι	to meet in assembly, sit in debate
ἀγορεύω	to speak in the assembly, harangue, speak
Ἀγορή	
ἄγος	any matter of religious awe
ἄγρα	a catching, hunting
ἀγρεύω	to take by hunting or fishing, to catch, take
ἀγρέω	to capture, seize
ἀγρία	
Ἀγριάν	
Ἀγριάνης	
ἄγριος	living in the fields
ἀγριόω	to make wild or savage
ἀγρός	fields, lands
ἀγρυπνία	sleeplessness, waking, watching
Ἄγρων	
