Field1	Field2
ἄαπτος	not to be touched, resistless, invincible
ἄατος	insatiate
ἀάω	to hurt, damage
ἀβούτης	without oxen
ἀγαθός	good
ἀγαίομαι	to be indignant at
ἀγακλειτός	
ἀγακλυτός	
ἀγάλλω	to make glorious, glorify, exalt
ἄγαμαι	to wonder, be astonished
ἄγανος	
ἀγανός	mild, gentle, kindly
ἀγάομαι	admiring
Ἀγαυή	
ἀγαυός	illustrious, noble
ἀγαυρός	stately, proud
ἀγγελία	a message, tidings, news
ἄγγελος	a messenger, envoy
ἄγγος	a vessel
ἄγε	come! come on! well!
ἀγείρω	to bring together, gather together
ἀγελείη	driver of spoil, forager
ἀγέλη	a herd
ἀγέραστος	without a gift of honour, unrecompensed, unrewarded
ἀγέστρατος	host-leading
ἀγήνωρ	manly, courageous, heroic
ἀγήραος	not waxing old, undecaying
ἀγινέω	to lead, bring, carry
ἀγκή	
ἄγκος	a bend
ἀγκυλομήτης	crooked of counsel, wily
ἀγκυλοχείλης	with hooked beak
Ἀγλαία	
ἀγλαία	splendour, beauty, adornment
ἀγλαός	splendid, shining, bright, beautiful
ἀγνοέω	not to perceive or know
ἁγνός	full of religious awe
ἄγνυμι	to break, shiver
ἀγορά	an assembly of the people
ἀγοράζω	to be in the ἀγορά
ἀγοράομαι	to meet in assembly, sit in debate
ἀγόρευσις	
ἀγορεύω	to speak in the assembly, harangue, speak
ἀγορῆφι	in the Assembly
ἄγρα	a catching, hunting
ἄγραυλος	dwelling in the field
ἀγρέω	to capture, seize
ἄγριος	living in the fields
Ἄγριος	
ἀγροιώτης	a countryman
ἀγρότερος	wild
ἀγχέμαχος	fighting hand to hand
ἄγχι	near, nigh, close by
ἀγχίμολος	coming near
Ἀγχίσης	
ἄγχω	to compress, press tight
ἄγω	to lead or carry, to convey, bring
ἀγών	a number of people brought together, a gathering, assembly
ἀδάητος	unknown
ἀδάμας	
ἄδηκτος	unbitten, not gnawed or worm eaten
ἄδηλος	not seen or known, unknown, obscure
ᾍδης	Hades or Pluto
ἄδικος	wrong-doing, unrighteous, unjust
Ἀδμήτη	
ἄδμητος	unbroken
ἅδος	satiety, loathing
ἁδροσύνη	
ἀδώτης	one who gives nothing
ἀεί	always, for ever
ἀειγενέτης	everlasting, immortal
ἀείδω	to sing
ἀεικής	unseemly, shameful
ἀείναος	
ἀείρω	to lift, heave, raise up
ἀέκητι	against one's will
ἀέκων	against one's will, unwilling
ἄελλα	a stormy wind, whirlwind, eddy
ἀελλός	
Ἀελλώ	storm
ἀέναος	ever-flowing
ἀέξω	to increase, enlarge, foster, strengthen
ἀεργία	a not working, idleness
ἀεργός	not-working, idle
ἀερσιπότης	high-soaring
ἀερσιπότητος	
ἀεσιφροσύνη	silliness, folly
ἀεσίφρων	damaged in mind, witless, silly
ἀετός	an eagle
ἀζαλέος	dry, parched
ἅζομαι	to stand in awe of, dread
ἄζω	to dry up, parch
ἄζωστος	ungirt
ἀηδών	the songstress
ἄημι	to breathe hard, blow
