Field1	Field2
ἀκήρατος	unmixed, uncontaminated, undefiled
ἀκήριος	unharmed by the Κῆρες, unharmed
ἀκιδνός	weak, feeble, faint
ἄκικυς	powerless, feeble
ἀκίχητος	not to be reached, unattainable
ἄκλαυστος	unlamented
ἀκλεής	without fame, inglorious, unsung
ἀκλειής	
ἄκληρος	without lot or portion, poor, needy
ἀκμάζω	to be in full bloom, be at one's prime or perfection
ἀκμή	a point, edge
ἄκμηνος	fasting
ἀκμηνός	full-grown
ἀκμής	untiring, unwearied
ἀκμόθετον	the anvil-block, smithy
ἄκμων	a thunderbolt
ἄκνηστις	the spine or backbone
ἀκοή	a hearing, the sound heard
ἀκοίτης	a bedfellow, spouse, husband.
ἄκοιτις	a spouse, wife
ἄκολος	a bit, morsel
ἀκομιστία	want of tending or care
ἀκοντίζω	to hurl a javelin
ἀκοντιστής	a darter, javelin-man
ἀκοντιστύς	the game of throwing the javelin
ἀκόρητος	insatiate, unsated in or with
ἄκος	a cure, relief, remedy for
ἄκοσμος	without order, disorderly
ἀκοστάω	corn-fed
ἀκουάζομαι	to hearken
ἀκουή	
ἄκουρος	without male heir
ἄκουσις	
ἀκούω	to hear
ἄκρα	a headland, foreland, cape
ἀκράαντος	unfulfilled, fruitless
ἀκραής	blowing strongly, fresh-blowing
ἄκρατος	unmixed, sheer
ἀκρίς	a locust
ἄκρις	a hill-top
Ἀκρισιώνη	
ἀκριτόμυθος	recklessly or confusedly babbling
ἄκριτος	undistinguishable, unarranged, disorderly
ἀκριτόφυλλος	of undistinguishable
ἀκροκελαινιάω	growing black on the surface
ἀκρόκομος	with hair on the crown
ἄκρον	the highest or furthest point
Ἀκρόνεως	
ἀκρόπολις	the upper city
ἀκροπόλοι	
ἀκροπόλος	high-ranging, lofty
ἀκροπόρος	piercing with the point
ἄκρος	at the furthest point
ἄκρων	
Ἀκταίη	
ἀκταῖος	on the coast
ἀκτέα	the elder-tree
ἀκτή	a headland, foreland, promontory, shore
ἀκτήμων	without property, poor
ἀκτίς	a ray, beam
Ἀκτορίδης	
Ἀκτορίς	
Ἀκτορίων	
Ἄκτωρ	
ἄκτωρ	a leader
ἄκυλος	an acorn
ἀκωκή	a point
ἄκων	a javelin, dart
ἅλαδε	to or into the sea
ἀλάλημαι	to wander
ἀλαλητός	the shout of victory
ἄλαλκε	to ward
Ἀλαλκομενηίς	the Protectress
ἀλαλύκτημαι	to be sore distressed
ἀλάομαι	to wander, stray or roam about
ἀλαός	not seeing, blind
ἀλαοσκοπιά	a blind
ἀλαόω	to blind
ἀλαπαδνός	exhausted, powerless, feeble
ἀλαπάζω	to empty, drain, exhaust
ἀλαστέω	to be full of wrath
Ἀλαστορίδης	
ἀλάστορος	under the influence of an ἀλάστωρ: suffering cruelly
ἄλαστος	not to be forgotten, insufferable, unceasing
Ἀλάστωρ	
ἀλάστωρ	the avenging deity, destroying angel
ἀλαωτύς	a blinding
ἀλγέω	to feel bodily pain, suffer
ἄλγιστος	
ἀλγίων	more or most painful, grievous or distressing
ἄλγος	pain
ἀλδαίνω	to make to grow
ἀλδήσκω	to grow, wax
ἀλέα	an escape
ἀλεγεινός	hard
Ἀλεγηνορίδης	
ἀλεγίζω	to trouble oneself about
ἀλεγύνω	to care for, furnish
ἀλέγω	to trouble oneself, have a care
ἀλεείνω	to avoid, shun
ἀλείατα	wheaten flour
ἄλεισον	a cup, goblet
ἀλείτης	one who flees from punishment, a culprit, a sinner
ἄλειφαρ	anointing-oil, unguent, oil
ἀλείφω	to anoint with oil, oil
ἄλειψις	an anointing
Ἀλεκτρυών	
ἀλεκτρυών	a cock
ἀλέκτωρ	a cock
Ἀλέκτωρ	
ἀλέξανδρος	defending men
Ἀλέξανδρος	
ἀλεξάνεμος	keeping off the wind
ἀλέξησις	a keeping off, defence
ἀλεξητήρ	one who keeps off
ἀλεξίκακος	keeping off evil or mischief
ἀλέξω	to ward or keep off, turn away or aside
ἀλέομαι	to avoid, shun
ἀλετρεύω	to grind
ἀλετρίς	a female slave who grinds corn
ἀλέω	to grind, bruise, pound
ἀλεωρή	avoidance, escape
ἄλη	
ἀλήθεια	truth
ἀληθής	unconcealed, true
ἀλήθω	
Ἀλήιον	
ἀλήιος	poor in lands
Ἀλήιος	of wandering
ἄληκτος	
ἀλήμων	a wanderer, rover
ἀλήσιον	
Ἀλήσιος	
ἀλητεύω	to wander, roam about
ἀλήτης	a wanderer, stroller, rover, vagabond
ἀλθαία	
Ἀλθαίη	
ἄλθομαι	to become whole and sound
ἁλία	an assembly of the people
ἁλιαής	blowing seaward
Ἁλίαρτος	
ἀλίαστος	unshrinking, unabating
ἀλίγκιος	resembling, like
ἁλιεύς	one who has to do with the sea
ἁλίζω	
Ἁλιζών	
ἁλίζωνος	sea-girt
Ἁλίη	
ἁλίη	
Ἁλιθέρσης	
