Field1	Field2
ἀάω	to hurt, damage
ἀβλάβεια	freedom from harm
ἀβλαβής	without harm
ἀβλαβία	
ἀγαθός	good
ἀγακλειτός	
ἀγακλυτός	
ἀγαλλίς	the iris or flag
ἀγάλλω	to make glorious, glorify, exalt
ἄγαλμα	a glory, delight, honour
ἄγαμαι	to wonder, be astonished
Ἀγαμήδη	
Ἀγαμήδης	
ἀγάννιφος	much snowed on, snow-capt
ἀγανός	mild, gentle, kindly
ἀγάρροος	strong-flowing, swift-flowing
ἀγάστονος	much groaning, howling
ἀγαυός	illustrious, noble
ἀγγελία	a message, tidings, news
ἀγγελιώτης	
ἀγγέλλω	to bear a message
ἄγγελος	a messenger, envoy
ἄγγος	a vessel
ἄγε	come! come on! well!
ἀγείρω	to bring together, gather together
ἀγέλαστος	not laughing, grave, gloomy, sullen
ἀγέλη	a herd
ἄγη	wonder, awe, amazement
ἀγή	a fragment, piece, splinter
ἀγήνωρ	manly, courageous, heroic
ἀγήραος	not waxing old, undecaying
ἀγητός	admirable, wondrous
ἀγινέω	to lead, bring, carry
ἄγκαλος	an armful, bundle
ἀγκή	
ἄγκοινα	
ἀγκοίνη	the bent arm
ἄγκος	a bend
ἀγκυλομήτης	crooked of counsel, wily
ἀγλαέθειρος	bright-haired
ἀγλαία	splendour, beauty, adornment
ἀγλαόδωρος	giving splendid gifts
ἀγλαόκαρπος	bearing beautiful or goodly fruit
ἀγλαός	splendid, shining, bright, beautiful
ἀγνοέω	not to perceive or know
ἄγνος	a willow-like tree
ἁγνός	full of religious awe
ἄγνυμι	to break, shiver
ἀγορά	an assembly of the people
ἀγορεύω	to speak in the assembly, harangue, speak
ἀγός	a leader, chief
ἄγρα	a catching, hunting
ἄγραυλος	dwelling in the field
ἀγρέω	to capture, seize
ἄγριος	living in the fields
ἀγρός	fields, lands
ἄγχι	near, nigh, close by
ἀγχίαλος	near the sea
ἀγχίθεος	near the gods
Ἀγχίσης	
ἀγχοτάτω	nearest, next
ἀγχοῦ	near, nigh
ἄγχω	to compress, press tight
ἄγω	to lead or carry, to convey, bring
ἀγών	a number of people brought together, a gathering, assembly
ἀδέω	to be sated
ᾍδης	Hades or Pluto
ἀδικέω	to do wrong
ἄδικος	wrong-doing, unrighteous, unjust
ἀδινός	close-packed
ἀδμής	untamed
Ἀδμήτη	
ἄδμητος	unbroken
ἅδος	satiety, loathing
ἄδοτος	without gifts
ἄδυτον	the innermost sanctuary
ἄδυτος	not to be entered
ἀδώρητος	
ἀεί	always, for ever
ἀειγενέτης	everlasting, immortal
ἀείδω	to sing
ἀεικέλιος	
ἀεικής	unseemly, shameful
ἀείρω	to lift, heave, raise up
ἀεκαζόμενος	against one's will, unwilling
ἀέκων	against one's will, unwilling
ἄελλα	a stormy wind, whirlwind, eddy
ἀελλόπος	storm-footed, storm-swift
ἄελπτος	unexpectedly
ἀέξω	to increase, enlarge, foster, strengthen
ἀετός	an eagle
Ἀζαντίδα	
ἀζάνω	to dry, parch up
ἀζηχής	unceasing, excessive
ἅζομαι	to stand in awe of, dread
ἄημι	to breathe hard, blow
ἀήρ	the lower air, the air
ἀθάνατος	undying, immortal
ἀθέσφατος	beyond even a god's power to express: ineffable, aweful
Ἀθῆναι	the city of Athens
Ἀθηναῖος	Athenian, of or from Athens
Ἀθήνευς	
Ἀθήνη	Athena
ἆθλος	a contest for a prize
ἀθρέω	to look at, gaze at, observe, perceive
ἀθρόος	in crowds or masses, crowded together
ἄθυρμα	a plaything, toy: a delight, joy
ἀθυρομένη	
ἄθυρος	without door
ἀθύρω	to play, sport
Ἄθως	mount Athos
αἴ	ha!
αἶα	
Αἰγαί	
αἰγίλιψ	destitute even of goats
αἰγίνη	
αἰγίοχος	Aegis-bearing
αἰγιπόδης	goat-footed
αἴγλη	the light of the sun, radiance
αἰγλήεις	dazzling, radiant, lustrous
Αἴγυπτος	the river Nile
αἰδέομαι	to be ashamed to do
Αἵδης	
ἀίδιος	everlasting, eternal
αἰδοῖος	regarded with reverence, august, venerable
Ἀιδωνευς	
αἰδώς	a sense of shame, shame, modesty, self-respect
αἰειγενέτης	
αἰζηός	strong, lusty, vigorous
αἰθήρ	ether, the brighter purer air, the sky
αἴθουσα	the corridor
αἴθριος	clear, bright, fair
αἴθω	to light up, kindle
αἴθων	fiery, burning, blazing
αἷμα	blood
αἱμύλιος	
αἱμυλομήτης	of winning wiles
αἱμύλος	flattering, wheedling, wily
Αἰνείας	
αἰνέω	to tell or speak of
αἰνόμορος	doomed to a sad end
αἰνός	dread, dire, grim
αἴνυμαι	to take, take off, take hold of
Αἰολίωνος	
αἰολόπωλος	with quick-moving steeds
αἰόλος	quick-moving
αἰπεινός	high, lofty
Αἶπυ	
