Field1	Field2
f	
ἀβέλτερος	good for nothing, silly, stupid, fatuous
ἀγαθός	good
ἄγαλμα	a glory, delight, honour
ἄγαμος	unmarried, unwedded, single
ἀγανακτέω	to feel irritation
ἀγαπητός	beloved
Ἀγασικλέης	
ἄγε	come! come on! well!
ἀγήραος	not waxing old, undecaying
ἀγήρατον	
ἀγήρατος	
ἀγνοέω	not to perceive or know
ἄγνοια	want of perception, ignorance
Ἁγνούσιον	
ἄγνυμι	to break, shiver
Ἁγνωνίδου	
ἀγορά	an assembly of the people
ἀγοράζω	to be in the ἀγορά
ἀγοραῖος	in, of, or belonging to the ἀγορά
ἀγοράομαι	to meet in assembly, sit in debate
Ἀγρυλῆθεν	
ἄγω	to lead or carry, to convey, bring
ἀγών	a number of people brought together, a gathering, assembly
ἀγωνίζομαι	to contend for a prize
ἄγωνος	
ἄδεια	freedom from fear
ἀδελφή	a sister
ἀδελφός	sons of the same mother
ἄδηλος	not seen or known, unknown, obscure
ᾍδης	Hades or Pluto
ἀδικέω	to do wrong
ἀδίκημα	a wrong done, a wrong
ἀδικία	wrong-doing, injustice
ἄδικος	wrong-doing, unrighteous, unjust
ἀδίκωστατοχρυφησι	
αδσθέντα	
ἀδύνατος	unable
ἀεί	always, for ever
ἀείδω	to sing
ἀέκων	against one's will, unwilling
Ἁζηνιέα	
ἀθάνατος	undying, immortal
Ἀθήναια	
Ἀθήναιον	the temple of Athena
Ἀθηναῖος	Athenian, of or from Athens
Ἀθήναιος	
Ἀθήνευς	
Ἀθήνησιν	at Athens
Ἀθηνογένει	
Ἀθηνόγενες	
Ἀθηνογένην	
Ἀθηνογένης	
Ἀθηνογένους	
ἀθροίζω	to gather together, to muster
ἀθρόος	in crowds or masses, crowded together
Αἰγηίδος	
Αἰγύπτιος	Egyptian
αἱρέω	to take with the hand, grasp
αἴρω	to take up, raise, lift up
αἰσθάνομαι	to perceive, apprehend by the senses, to see, hear, feel
αἴσθησις	perception by the senses
ἀίσθω	to breathe out
αἰσχρός	causing shame, abusive
αἰσχύνη	shame done one, disgrace, dishonour
αἰσχυννειχρυσίονγαρ	
αἰσχύνω	to make ugly, disfigure, mar
αἰτέω	to ask, beg
αἰτία	a charge, accusation
αἰτιάομαι	to charge, accuse, censure, blame
αἴτιος	to blame, blameworthy, culpable
Αἰτωλοί	
Αἰτωλός	
αἰῶνιγεγενηοὐτε	
αἰώνιος	lasting for an age
Ἀκαδήμεια	the Academy
Ἀκαμαντίς	
ἀκέομαι	to heal, cure
ἀκίνδυνος	without danger, free from danger
ἀκολουθέω	to follow
ἀκόλουθος	following, attending on
ἀκούω	to hear
ἄκρα	a headland, foreland, cape
ἀκρατής	powerless, impotent
ἀκρατοκώθων	
ἄκρατος	unmixed, sheer
ἀκριβής	exact, accurate, precise, made or done to a nicety
ἀκριβόω	to make exact or accurate
ἀκριβῶς	
ἀκρόπολις	the upper city
ἄκρος	at the furthest point
ἄκυρος	without authority
ἀκυρόω	
ἄκων	a javelin, dart
αλ	
ἀλάβαστρον	a box or casket of alabaster
Ἀλεξάνδρον	
ἀλέξανδρος	defending men
Ἀλέξανδρος	
Ἀλεξάνοδρῳ	
ἀλήθεια	truth
ἀληθής	unconcealed, true
Ἁλιμουσίους	
ἁλίσκομαι	to be taken, conquered
ἀλλά	otherwise, but
ἄλλῃ	in another place, elsewhere
ἀλλήλων	of one another, to one another, one another
ἄλλοθι	elsewhere, in another place, in a strange
ἄλλοισταῦτα	
ἄλλος	alius, another, one besides
ἀλλότριος	of or belonging to another
ἀλλοτριόω	to estrange from
ἄλλου	
ἄλλως	in another way or manner
ἀλόγιστος	unreasoning, inconsiderate, thoughtless, heedless
ἁλώνης	
ἅμα	at once, at the same time
ἁμαρτάνω	to miss, miss the mark
ἀμείνων	better, abler, stronger, braver
ἀμελής	careless, heedless, negligent
ἁμός	
ἀμύνω	to keep off, ward off
Ἀμφιάραος	Amphiaraus
ἀμφορεύς	an amphora, jar, urn
ἀμφότερος	each or both of two
αν	
ἄν	
ἀνά	up, upon
ἀνά-ἀίω	
ἀναβαίνω	to go up, mount, to go up to
ἀναβάλλω	to throw or toss up
ἀναβιβάζω	to make go up, cause to mount
ἀναβιόω	to come to life again, return to life
ἀναγιγνώσκω	to know well, know certainly
ἀναγκάζω	to force, compel
ἀναγκαῖον	a place of constraint, a prison
ἀναγκαῖος	with or by force
ἀνάγκη	force, constraint, necessity
ἀνάγω	to lead up
ἀναγωγή	a leading up
ἀναδείκνυμι	to lift up and shew
ἀναδεκτέον	
ἀναδεκτέος	
ἀναδέχομαι	to take up, catch, receive
ἀναίδεια	shamelessness, impudence, effrontery
ἀναιρέω	to take up, raise
ἀναισθησία	want of feeling or perception; insensibility
ἀναλαμβάνω	to take up, take into one's hands
ἀναλίσκω	to use up, to spend, lavish or squander
ἀναλογίζομαι	to reckon up, sum up
ἀνάλωμα	expenditure, cost
ἀνάξιος	unworthy, not deemed or held worthy of
ἀναπίμπλημι	to fill up
ἀναπόγραφος	
ἀνάπτω	to make fast on or to
ἀνάστατος	made to rise up and depart, driven from one's home
Ἀνασχέτου	
ἀνατίθημι	to lay upon
ἀνατρέπω	to turn up or over, overturn, upset
ἀναφέρω	to bring or carry up
ἀνδραγαθία	bravery, manly virtue, the character of a brave honest man
ἀνδραποδιστής	a slave-dealer, kidnapper
ἀνδράποδον	one taken in war and sold as a slave, a captive
ἀνδρεία	manliness, manhood, manly spirit
ἀνδρεῖος	of or for a man
ἀνδρόω	to rear up into manhood
ἀνέκδοτος	not given in marriage
ἀνενεχθῆναιεἰς	
ἀνέχω	to hold up
ἀνήρ	a man
ἀνθρώπινος	of, from or belonging to man, human
ἀνθρωπν	
ἄνθρωπος	man
ἀνιαρός	grievous, troublesome, annoying
ἀνιερόω	to dedicate, devote
ἀνίκητος	unconquered, unconquerable
ἀνίστημι	to make to stand up, raise up
ἄνοος	without understanding, foolish, silly
ἀντί	over against, opposite. c. gen.
ἀντιβολέω	to meet by chance
Ἀντιγόνανεμαρτυρ	
Ἀντιγόνη	
ἀντιγραφεύς	a check-clerk, controller
ἀντιγραφή	a reply in writing
ἀντίγραφος	copied
Ἀντίδωρος	
ἀντιλέγω	to speak against, gainsay, contradict
ἀντίπαλος	wrestling against
Ἀντίπατρος	
ἀντιπράσσω	to act against, seek to counteract
ἀντιτάσσω	to set opposite to, range in battle against
ἀνυπέρβλητος	not to be surpassed or outdone
ἄνω	
ἀξία	the worth or value
ἀξιόπιστος	trustworthy
ἄξιος	weighing as much, of like value, worth as much as
ἀξιόω	to think or deem worthy of
ἀξίωσις	a thinking worthy
ἀοιδή	song, a singing
ἄοκνος	without hesitation, untiring
ἀπαγγέλλω	to bring tidings, report, announce
ἀπαγορεύω	to forbid
ἀπάγω	to lead away, carry off
ἀπαγωγή	a leading away
