Field1	Field2
ἀφικνέομαι	to come to
ἀφιλότιμος	without due ambition
ἀφίστημι	to put away, remove
ἀφοράω	to look away from
ἀφορμή	a starting-point
ἀφοσιόω	to purify from guilt or pollution
Ἀφροδίτη	Aphrodite
ἄφρων	without sense
Ἀχαρνεύς	an inhabitant of Acharnae
ἄχρηστος	useless, unprofitable, unserviceable
βαδίζω	to go slowly, to walk
βαλανεῖον	bathing-room
βάρβαρος	barbarous
βασανίζω	to rub
βάσανος	the touch-stone
βδελυρία	brutal conduct, want of shame and decency, brutality
βέβαιος	firm, steady, steadfast, sure, certain
βεβαιόω	to make firm, confirm, establish, secure, warrant, make good
βεβαίωσις	confirmation
βελτίων	better
βῆμα	a step, pace, stride
Βήσαζε	
Βησαιεύς	
βία	bodily strength, force, power, might
βιάζω	to constrain
βίαιος	forcible, violent
βιάω	to constrain
βίος	life
βιόω	to live, pass one's life
βλάβη	hurt, harm, damage
βλάβος	
βλάπτω	to disable, hinder, stop
βλασφημέω	to drop evil or profane words, speak lightly or amiss of sacred things
βοηθέω	to come to aid, to succour, assist, aid
βουλεύω	to take counsel, deliberate, concert measures
βουλή	will, determination
βούλησις	a willing
βούλομαι	to will, wish, be willing
βραβεύς	the judge who assigned the prizes at the games
βραβευτής	
βράχεα	shallows
βραχύς	short
βωμός	any raised platform, a stand
Γαῖα	
γαμετή	a married woman, wife
γαμέω	to marry
γαμήλιος	belonging to a wedding, bridal
γάμος	a wedding, wedding-feast
γάρ	for
γε	at least, at any rate
γείτων	one of the same land, a neighbour
γενέτης	the begetter, father, ancestor
γενή	
γεννάω	to beget, engender
γεννῆται	
γεννητής	a parent
γεννητός	begotten
γένος	race, stock, family
γεωργέω	to be a husbandman, farmer
γῆ	earth
γῆρας	old age
γηροτροφέω	
γίγνομαι	to come into being
γιγνώσκω	to learn to know, to perceive, mark, learn
Γλαῦκος	
Γλαύκων	
γλαύξ	the owl
γνήσιος	of or belonging to the race
γνώμη	a means of knowing, a mark, token
γνωρίζω	to make known, point out, explain
γνώριμος	well-known, familiar
γονεύς	a begetter, father
γόνος	that which is begotten, offspring, a child
γοῦν	at least then, at any rate, any way
γράμμα	that which is drawn
γραμματεῖον	that on which one writes, tablets
γραφή	representation by means of lines
γραφής	
γράφος	
γράφω	to scratch, scrape, graze
γρύζω	to say γρῦ, to grunt, grumble, mutter
γυμνασιαρχέω	to be gymnasiarch
γυνή	a woman
δαιμονάω	to be under the power of a δαίμων, to suffer by a divine visitation
δαίμων	a god, goddess
δανείζω	to put out money at usury, to lend
δάνεισμα	a loan
δαπανάω	to spend
δαπάνη	outgoing, cost, expense, expenditure
δαπάνημα	money spent
δάπτω	to devour
δέ	but
δέησις	an entreating, asking: a prayer, entreaty
δεῖ	it is binding on
δείδω	to fear
δείκνυμι	to bring to light, display, exhibit
Δεινίᾳ	
Δεινίαν	
Δεινίας	
Δεινίου	
δεινός	fearful, terrible, dread, dire
δεινόω	to make terrible: to exaggerate
δεῖπνον	the principal meal
δεῖσα	
δέκα	ten
δεκάκις	ten-times
δεκάτη	
δέκατος	tenth
Δελφίνιον	a temple of Apollo
Δελφίνιος	
δεσμωτήριον	a prison
δεῦρο	hither
δευτεραῖος	on the second day
δεύτερος	second
δέω	
δή	exactness
δῆλος	visible, conspicuous
δηλόω	to make visible or manifest, to show, exhibit
δήλωσις	a pointing out, manifestation, explaining, shewing
Δημάρατος	
δημαρχέω	to be demarch
δημιουργός	one who works for the people, a skilled workman, handicraftsman
Δημοκλέης	
Δημοκράτης	
δῆμος	a country-district, country, land
Δημοσθένης	
δημοσίᾳ	
δημόσιος	belonging to the people or state
δημότης	one of the people, a commoner, plebeian
Δημοχάρει	
Δημοχάρην	
Δημοχάρης	
ἀγαθός	good
ἄγαλμα	a glory, delight, honour
ἄγαμος	unmarried, unwedded, single
ἀγανακτέω	to feel irritation
ἀγαπάζω	to treat with affection, shew affection to
ἀγαπάω	to treat with affection, to caress, love, be fond of
ἀγγέλλω	to bear a message
Ἁγνίης	
ἀγνοέω	not to perceive or know
Ἁγνόθεος	
Ἁγνοθέου	
Ἅγνων	
ἀγοράζω	to be in the ἀγορά
ἀγός	a leader, chief
ἀγρέω	to capture, seize
ἀγρός	fields, lands
ἀγχιστεία	nearness of kin
ἀγχιστεύω	to be next or near
ἄγω	to lead or carry, to convey, bring
ἀγών	a number of people brought together, a gathering, assembly
ἀγωνίζομαι	to contend for a prize
ἀδεής	without fear, fearless
ἀδελφή	a sister
ἀδελφιδέος	a brother's or sister's son, a nephew
ἀδελφιδῆ	a brother's or sister's daughter, a niece
ἀδελφός	sons of the same mother
ἄδηλος	not seen or known, unknown, obscure
ᾍδης	Hades or Pluto
ἀδικέω	to do wrong
ἀδίκημα	a wrong done, a wrong
ἀδικία	wrong-doing, injustice
ἄδικος	wrong-doing, unrighteous, unjust
ἀδύνατος	unable
ἀεί	always, for ever
ἀέκων	against one's will, unwilling
ἀηδής	unpleasant to the taste, distasteful
ἀήθης	unwonted, unusual
Ἀθήναζε	to Athens
Ἀθήναια	
Ἀθήναιον	the temple of Athena
Ἀθηναῖος	Athenian, of or from Athens
Ἀθήναιος	
Ἀθήνευς	
Ἀθήνη	Athena
ἄθλιος	gaining the prize
Ἀθμονοῖ	
ἀθυμέω	to be disheartened, lose heart
Αἰγύπτιος	Egyptian
Αἰθαλίδην	
αἰκίζω	to treat injuriously, to plague, torment
αἴξ	a goat
αἰπόλος	a goatherd
αἴπολος	
αἱρέω	to take with the hand, grasp
αἴρω	to take up, raise, lift up
αἰσθάνομαι	to perceive, apprehend by the senses, to see, hear, feel
ἀίσθω	to breathe out
ἀίσσω	to move with a quick shooting motion, to shoot, dart, glance
Αἰσχίνης	
αἰσχροκέρδεια	base covetousness
αἰσχρός	causing shame, abusive
αἰσχύνη	shame done one, disgrace, dishonour
αἰσχύνω	to make ugly, disfigure, mar
αἰτέω	to ask, beg
αἰτία	a charge, accusation
