Field1	Field2
ἀναίρεσις	a taking up
ἀναιρέω	to take up, raise
ἀναισθησία	want of feeling or perception; insensibility
ἀναίσθητος	insensate, unfeeling
ἀναισχυντέω	to be shameless, behave impudently
ἀναισχυντία	shamelessness
ἀναίσχυντος	shameless, impudent
ἀνακαινίζω	
ἀνάκειμαι	to be laid up
ἀνακοινόω	to communicate
ἀνάκρισις	examination of parties concerned in a suit, a preparation
ἀναλαμβάνω	to take up, take into one's hands
ἀναλίσκω	to use up, to spend, lavish or squander
ἀναλογίζομαι	to reckon up, sum up
ἀνάλωμα	expenditure, cost
ἀνάλωτος	not to be taken, invincible, impregnable
ἀναμάρτητος	without missing, unfailing, unerring
ἀναμιμνήσκω	to remind
ἀναμφισβήτητος	undisputed, indisputable
ἀνανδρία	want of manhood
ἄνανδρος	husbandless
ἀνανεόομαι	to renew
ἄναξ	a lord, master
Ἀναξαγόρης	
ἀνάξιος	unworthy, not deemed or held worthy of
ἄναξις	
ἀνά-ὀχλέω	
ἀναπαύω	to make to cease, to stop or hinder from
ἀναπέμπω	to send up
ἀναπεπταμένος	
ἀναπετάννυμι	to spread out, unfold, unfurl
ἀναπλέω	to sail up, to go up stream
ἀναπλόω	to unfold, open
ἀνάπτω	to make fast on or to
ἀναριθμέομαι	to enumerate
ἀναρίθμητος	not to be counted, countless
ἀναρχία	lack of a leader
ἄνασσα	a queen, lady, mistress
ἀνάστασις	a raising up
ἀναστατήρ	a destroyer
ἀναστάτης	
ἀνάστατος	made to rise up and depart, driven from one's home
ἀναστέλλω	to raise up
ἀναστρεπτέος	
ἀναστρέφω	to turn upside down, upset
ἀνατίθημι	to lay upon
ἀναφέρω	to bring or carry up
ἀνά-φύω	
ἀναχώννυμι	to heap up into a mound
ἀναχωρέω	to go back
ἀναχώρησις	a drawing back, retiring, retreating
ἀνδραγαθία	bravery, manly virtue, the character of a brave honest man
ἀνδραποδίζω	to reduce to slavery, enslave
ἀνδραποδισμός	a selling free men into slavery, enslaving
ἀνδραποδιστής	a slave-dealer, kidnapper
ἀνδρεία	manliness, manhood, manly spirit
ἀνδρεῖος	of or for a man
ἀνδρικός	of or for a man, masculine, manly
ἀνδρίον	a manikin
ἀνδρίς	
ἀνδροφόνος	man-slaying
ἀνδρόω	to rear up into manhood
ἀνδρώδης	like a man, manly
ἀνεγκλητεί	
ἀνέγκλητος	not accused, without reproach, void of offence
ἀνεγκωμίαστος	
ἀνείλω	
ἀνειμένως	
ἀνειπεῖν	to say aloud, announce, proclaim
ἀνεκτός	bearable, sufferable, tolerable
ἀνέλπιστος	unhoped for, unlooked for
ἀνεξάλειπτος	indelible
ἀνεξέταστος	not inquired into or examined
ἀνεπιτήδειος	unserviceable, unfit
ἀνεπιτίμητος	not to be censured
ἀνεπίφθονος	without reproach
ἄνευ	without
ἀνέχω	to hold up
ἀνεψιά	
ἀνεψιός	a first-cousin, cousin
ἀνήκεστος	not to be healed, incurable, irreparable, fatal
ἀνήρ	a man
ἀνθέω	to blossom, bloom
ἀνθηρός	flowering, blooming
ἀνθρώπινος	of, from or belonging to man, human
ἄνθρωπος	man
ἀνιερόω	to dedicate, devote
ἀνίημι	to send up or forth
ἀνίστημι	to make to stand up, raise up
ἀνόητος	not thought on, unheard of
ἄνοια	want of understanding, folly
ἀνοίγνυμι	to open
ἀνομαλόω	
ἀνομία	lawlessness
ἀνόμοιος	unlike, dissimilar
ἀνομοιότης	dissimilarity
ἀνομοιόω	to make unlike or dissimilar
