Field1	Field2
ἀγαθός	good
ἀγανακτέω	to feel irritation
ἀγαπάζω	to treat with affection, shew affection to
ἀγαπάω	to treat with affection, to caress, love, be fond of
ἀγάπη	love
ἀγγέλλω	to bear a message
ἀγλαός	splendid, shining, bright, beautiful
ἀγνοέω	not to perceive or know
ἄγνυμι	to break, shiver
ἀγνώμων	ill-judging, senseless
ἀγνώς	unknown
ἀγορά	an assembly of the people
ἀγοράζω	to be in the ἀγορά
ἀγός	a leader, chief
ἄγρα	a catching, hunting
ἄγραυλος	dwelling in the field
Ἄγραυλος	
ἀγρέω	to capture, seize
ἀγρία	
ἄγριος	living in the fields
ἀγρός	fields, lands
ἄγω	to lead or carry, to convey, bring
ἀγών	a number of people brought together, a gathering, assembly
ἀγωνίζομαι	to contend for a prize
ἄγωνος	
ἄδεια	freedom from fear
ἀδείμαντος	fearless, dauntless
Ἀδείμαντος	
ἀδελφή	a sister
ἀδελφός	sons of the same mother
ἄδηλος	not seen or known, unknown, obscure
ἀδικέω	to do wrong
ἀδίκημα	a wrong done, a wrong
ἀδικία	wrong-doing, injustice
ἄδικος	wrong-doing, unrighteous, unjust
ἀδοξέω	to be held in no esteem, to stand in ill repute
ἄδοξος	inglorious, disreputable
ἀδύνατος	unable
ἀεί	always, for ever
ἀεικής	unseemly, shameful
ἀείμνηστος	ever to be remembered
Ἀθήναζε	to Athens
Ἀθῆναι	the city of Athens
Ἀθήναια	
Ἀθήναιον	the temple of Athena
Ἀθήναιος	
Ἀθηναῖος	Athenian, of or from Athens
Ἀθήνευς	
Ἀθήνη	Athena
Ἀθήνηθεν	from Athens
ἀθλητής	a prizefighter
ἆθλον	the prize of contest
ἆθλος	a contest for a prize
ἀθῷος	unpunished, scot-free
Αἰγινήτης	an Aeginetan
αἰδέομαι	to be ashamed to do
ἀίδιος	everlasting, eternal
αἰδοῖον	the genitals, pudenda
αἰδοῖος	regarded with reverence, august, venerable
αἰδώς	a sense of shame, shame, modesty, self-respect
αἰκίζω	to treat injuriously, to plague, torment
αἱματόεις	blood-red or of blood
αἱρέω	to take with the hand, grasp
αἴρω	to take up, raise, lift up
αἰσθάνομαι	to perceive, apprehend by the senses, to see, hear, feel
αἴσθησις	perception by the senses
αἰσχρός	causing shame, abusive
αἰσχύνη	shame done one, disgrace, dishonour
