Field1	Field2
Α	
ἄατος	insatiate
ἀβίωτος	not to be lived, insupportable
ἀγαθός	good
ἄγαλμα	a glory, delight, honour
ἄγαμαι	to wonder, be astonished
ἀγανακτέω	to feel irritation
ἀγαπάζω	to treat with affection, shew affection to
ἀγαπάω	to treat with affection, to caress, love, be fond of
ἀγάπη	love
ἀγαπητός	beloved
ἀγγεῖον	
ἀγένειος	beardless
ἀγήραος	not waxing old, undecaying
ἀγήρατος	
ἀγησίλαος	leader of people, conductor of men
Ἀγησίλαος	
ἁγνεύω	to consider as part of purity, make it a point of religion
Ἁγνόδωρος	
ἀγνοέω	not to perceive or know
ἄγνοια	want of perception, ignorance
ἄγνυμι	to break, shiver
ἀγνώς	unknown
ἀγορά	an assembly of the people
ἀγοράζω	to be in the ἀγορά
ἀγορανόμος	a clerk of the market
ἀγοράομαι	to meet in assembly, sit in debate
Ἀγόρατος	
ἀγορεύω	to speak in the assembly, harangue, speak
ἀγός	a leader, chief
ἄγρα	a catching, hunting
ἄγραφος	unwritten
ἀγρέω	to capture, seize
ἄγριος	living in the fields
ἀγριόω	to make wild or savage
ἀγρός	fields, lands
ἄγω	to lead or carry, to convey, bring
ἀγών	a number of people brought together, a gathering, assembly
ἀγωνίζομαι	to contend for a prize
ἀγώνισμα	a contest
ἄγωνος	
ἀδεής	without fear, fearless
ἄδεια	freedom from fear
Ἀδείμαντος	
ἀδείμαντος	fearless, dauntless
ἀδελφή	a sister
ἀδελφιδέος	a brother's or sister's son, a nephew
ἀδελφιδῆ	a brother's or sister's daughter, a niece
ἀδελφός	sons of the same mother
ἀδέλφου	
ἄδηλος	not seen or known, unknown, obscure
ἀδικέω	to do wrong
ἀδίκημα	a wrong done, a wrong
ἀδικία	wrong-doing, injustice
ἄδικος	wrong-doing, unrighteous, unjust
ἀδοκίμαστος	untried, unproved
ἄδραστος	not running away, not inclined to do so
Ἄδραστος	
Ἀδρίας	the Adriatic
ἀδυναμία	want of strength or power, inability, incapacity
ἀδύνατος	unable
ἀεί	always, for ever
ἀείμνηστος	ever to be remembered
ἀέκων	against one's will, unwilling
ἄερκτος	
ἀζήμιος	free from further payment: without loss, scot-free
ἀηδής	unpleasant to the taste, distasteful
ἀησσητος	
ἀήττητος	
ἀθάνατος	undying, immortal
ἄθεος	without God, denying the gods
Ἀθῆναι	the city of Athens
Ἀθήναια	
Ἀθήναιον	the temple of Athena
Ἀθήναιος	
Ἀθηναῖος	Athenian, of or from Athens
Ἀθήνη	Athena
Ἀθήνηθεν	from Athens
Αθήνησι	
ἀθλητής	a prizefighter
ἄθλιος	gaining the prize
ἆθλον	the prize of contest
ἆθλος	a contest for a prize
ἀθυμέω	to be disheartened, lose heart
ἀθυμία	want of heart, faintheartedness
ἄθυτος	not offered
ἀθῷος	unpunished, scot-free
Ἄθως	mount Athos
Αἴγινα	Aegina
αἰγίνη	
Αἰγινήτης	an Aeginetan
Αἴγυπτος	the river Nile
αἰδέομαι	to be ashamed to do
αἰκίζω	to treat injuriously, to plague, torment
αἴκισμα	an outrage, torture
αἱρέω	to take with the hand, grasp
αἴρω	to take up, raise, lift up
αἰσθάνομαι	to perceive, apprehend by the senses, to see, hear, feel
ἀίσθω	to breathe out
Αἴσιμος	
αἰσιμόω	
αἰσχροκέρδεια	base covetousness
αἰσχρός	causing shame, abusive
Αἰσχυλίδης	
αἰσχύνη	shame done one, disgrace, dishonour
αἰσχύνω	to make ugly, disfigure, mar
αἰτέω	to ask, beg
αἰτία	a charge, accusation
αἰτιάομαι	to charge, accuse, censure, blame
αἴτιος	to blame, blameworthy, culpable
αἰχμάλωτος	taken by the spear, captive to one's spear, taken prisoner
Ἀκαδήμεια	the Academy
ἀκίνδυνος	without danger, free from danger
ἀκλεής	without fame, inglorious, unsung
ἀκληρωτί	
ἀκολασία	licentiousness, intemperance
ἀκολουθέω	to follow
ἀκόλουθος	following, attending on
ἀκοσμέω	to be disorderly, to offend
ἄκοσμος	without order, disorderly
ἄκουσις	
ἀκούω	to hear
ἀκρίβεια	exactness, minute accuracy, precision
ἀκριβής	exact, accurate, precise, made or done to a nicety
ἀκριβόω	to make exact or accurate
ἀκριβῶς	
ἄκριτος	undistinguishable, unarranged, disorderly
ἀκροάομαι	to hearken to, listen to
ἀκρόασις	a hearing or listening
ἀκρόπολις	the upper city
ἀκρωτήριον	any prominent part
ἀκτέα	the elder-tree
ἀκτή	a headland, foreland, promontory, shore
ἄκυρον	
ἄκυρος	without authority
ἀκυρόω	
ἄκων	a javelin, dart
ἀλάομαι	to wander, stray or roam about
ἄλγιστος	
ἀλγίων	more or most painful, grievous or distressing
Ἀλεξίης	
ἀλέξιον	
Ἄλεξις	
ἀλήθεια	truth
ἀληθής	unconcealed, true
Ἁλίαρτος	
Ἁλικαρνασσεύς	a Halicarnassian
Ἁλικαρνασσός	
ἁλίσκομαι	to be taken, conquered
ἀλιτήριος	sinning or offending against
Ἀλκιβιάδης	
Ἀλκίης	
ἀλλά	otherwise, but
ἄλλῃ	in another place, elsewhere
ἀλλήλων	of one another, to one another, one another
ἄλλοθεν	from another place
ἄλλος	alius, another, one besides
ἀλλότριος	of or belonging to another
ἀλλοτριόω	to estrange from
ἄλλου	
ἄλλως	in another way or manner
ἀλόγιστος	unreasoning, inconsiderate, thoughtless, heedless
ἄλογος	without λόγος
ἄλυπος	without pain
ἁλώνης	
Ἀλωπεκῆθεν	
ἅμα	at once, at the same time
Ἀμαζών	the Amazons
ἀμαθής	unlearned, ignorant, stupid, boorish
ἀμαθία	ignorance
ἁμαρτάνω	to miss, miss the mark
ἁμάρτημα	a failure, fault, sin
ἁμαρτία	a failure, fault, sin
ἀμείνων	better, abler, stronger, braver
ἀμελέω	to have no care for, be neglectful of
ἁμιλλάομαι	to compete, vie, contend with
ἀμνημονέω	to be unmindful
ἁμός	
ἁμοῦ	somewhere or other
ἄμπελος	a vine
ἀμπέχω	to surround, cover
ἀμύητος	uninitiated
ἀμύνω	to keep off, ward off
ἀμφί-ἀμφιέννυμι	
ἀμφί-ἀμφισβητέω	
ἀμφίθυρος	with double entrance
ἀμφισβητέω	to stand apart
ἀμφισβήτησις	a dispute, controversy, debate
Ἀμφιτροπαιεύς	
ἀμφότερος	each or both of two
ἀμφοτέρωθεν	from or on both sides, utrinque
ἀμῶς	in some way or other
ἄν	
ἀνά	up, upon
ἀναβαίνω	to go up, mount, to go up to
ἀναβιβάζω	to make go up, cause to mount
ἀναγιγνώσκω	to know well, know certainly
ἀναγκάζω	to force, compel
ἀναγκαῖον	a place of constraint, a prison
ἀναγκαῖος	with or by force
ἀναγκαιότης	
ἀνάγκη	force, constraint, necessity
ἀναγραφεύς	a registrar
ἀναγραφή	a registering
ἀναγράφω	to engrave and set up
Ἀναγυράσιος	
ἀνάγω	to lead up
ἀναδύνω	to come to the top of water
ἀνάθεσις	
ἀνάθημα	a votive offering set up
ἀναίρεσις	a taking up
ἀναιρέω	to take up, raise
ἀναισχυντία	shamelessness
ἀνακαλέω	to call up the dead
ἀνάκειμαι	to be laid up
ἀναλίσκω	to use up, to spend, lavish or squander
ἀναλογίζομαι	to reckon up, sum up
ἀνάλωμα	expenditure, cost
ἀναμένω	to wait for, await
ἀναμιμνήσκω	to remind
ἀνάμνησις	a calling to mind, recollection
ἀναμφισβήτητος	undisputed, indisputable
ἀνάξιος	unworthy, not deemed or held worthy of
ἄναξις	
ἀνά-ὀχλέω	
ἀναπαύω	to make to cease, to stop or hinder from
ἀναπείθω	to bring over, convince
ἀναπέμπω	to send up
ἀνάπηρος	much maimed, crippled
ἀναπράσσω	to exact, levy
ἀνάπτω	to make fast on or to
ἀναρπάζω	to snatch up
ἀνασείω	to shake back, swing to and fro, move up and down
ἀνάστατος	made to rise up and depart, driven from one's home
ἀνασῴζω	
ἀνατίθημι	to lay upon
ἀναφαίνω	to make to give light, make to blaze up
ἀναφέρω	to bring or carry up
ἀναχωρέω	to go back
Ἀνδοκίδης	
ἀνδραποδίζω	to reduce to slavery, enslave
ἀνδραποδιστής	a slave-dealer, kidnapper
ἀνδράποδον	one taken in war and sold as a slave, a captive
ἀνδρικός	of or for a man, masculine, manly
ἀνδρίς	
ἀνδροφόνος	man-slaying
ἀνδρόω	to rear up into manhood
ἀνδρών	the men's apartment
ἀνδρωνῖτις	
ἀνέκδοτος	not given in marriage
ἀνεκτός	bearable, sufferable, tolerable
ἀνελεύθερος	not fit for a free man
ἀνέλπιστος	unhoped for, unlooked for
ἀνεπιτήδειος	unserviceable, unfit
ἄνευ	without
ἀνέχω	to hold up
ἀνεψιός	a first-cousin, cousin
ἄνηβος	not yet come to man's estate, beardless
ἀνήκεστος	not to be healed, incurable, irreparable, fatal
ἀνήρ	a man
ἀνθρώπινος	of, from or belonging to man, human
ἄνθρωπος	man
ἀνιάζω	to grieve, distress
ἀνιάομαι	to cure again, repair
ἀνιαρός	grievous, troublesome, annoying
ἀνιάω	to grieve, distress
ἀνίημι	to send up or forth
ἄνισος	unequal, uneven
ἀνίστημι	to make to stand up, raise up
ἀνόητος	not thought on, unheard of
ἄνοια	want of understanding, folly
ἀνοίγνυμι	to open
ἄνοισις	
ἀνόμοιος	unlike, dissimilar
ἄνομος	without law, lawless
ἄνοος	without understanding, foolish, silly
ἀνόσιος	unholy, profane
ἀνταποδίδωμι	to give back, repay, tender in repayment or requital
ἀντεῖπον	to speak against or in answer, gainsay
ἀντέχω	to hold against
ἀντί	over against, opposite. c. gen.
ἀντί-ἀντιβολέω	
ἀντιβολέω	to meet by chance
ἀντιβόλησις	
ἀντιβολία	entreaty, prayer
ἀντιγραφεύς	a check-clerk, controller
ἀντιγραφή	a reply in writing
ἀντίγραφος	copied
ἀντιγράφω	to write against or in answer, write back
ἀντιδίδωμι	to give in return, repay
ἀντιδικέω	to dispute, go to law
ἀντίδικος	an opponent in a suit, defendant
ἀντίδοσις	a giving in return, exchange
ἀντικατηγορέω	to accuse in turn, recriminate upon
Ἀντικλέης	
ἄντικρυς	straight on, right on
ἀντιλαμβάνω	to receive instead of
ἀντιλέγω	to speak against, gainsay, contradict
ἀντίπαλος	wrestling against
ἀντιπράσσω	to act against, seek to counteract
Ἀντισθένης	
ἀντιτάσσω	to set opposite to, range in battle against
Ἀντιφάνης	
Ἀντιφών	
ἀντωμοσία	an oath or affidavit made one against the other
ἀντωνέομαι	to buy instead
ἀνυπόδητος	unshod, barefoot
Ἄνυτος	
ἀνύω	to effect, achieve, accomplish, complete
ἄνω	
ἀνώνυμος	without name, nameless
ἀξία	the worth or value
ἄξιος	weighing as much, of like value, worth as much as
ἀξιόω	to think or deem worthy of
ἀξίωσις	a thinking worthy
ἀοιδή	song, a singing
ἀπαγγέλλω	to bring tidings, report, announce
ἀπαγορεύω	to forbid
ἀπάγω	to lead away, carry off
ἀπαγωγή	a leading away
ἀπαθής	not suffering or having suffered, without experience of
ἄπαις	childless
ἀπαιτέω	to demand back, demand
ἀπαλάομαι	to go astray, wander
ἀπαλλαγή	deliverance, release, relief from
ἀπαλλακτέον	
ἀπαλλακτέος	one must release from
ἀπαλλάσσω	to set free, release, deliver
ἀπαντάω	to move from
ἅπαξ	once, once only, once for all
ἀπαραίτητος	not to be moved by prayer, inexorable
ἀπαράσημος	
ἀπαράσκευος	without preparation, unprepared
ἅπας	quite all, the whole
ἀπειλέω	
ἄπειμι	
ἀπεῖπον	to speak out, tell out, declare
ἀπειρία	infinity
ἄπειρος	
ἀπελαύνω	to drive away, expel from
ἀπελέγχω	to refute thoroughly
ἀπελεύθερος	an emancipated slave, a freedman
ἀπέρχομαι	to go away, depart from
ἀπεχθάνομαι	to be hated, incur hatred, be roused to hatred
ἀπέχω	to keep off or away from
ἀπίλλω	to bar the way
ἀπιστέω	to be ἄπιστος
ἄπιστος	not to be trusted
ἀπληστία	insatiate desire, greediness
ἁπλόος	single
ἀπό	from, away from. c. gen.
ἀποβαίνω	to step off from
ἀποβάλλω	to throw off
ἀποβλέπω	to look away from
ἀπογιγνώσκω	depart from a judgment, give up a design or intention
ἀπογραφεύς	
ἀπογραφή	a writing off: a register, list
ἀπογράφω	to write off, copy: to enter in a list, register
ἀποδείκνυμι	to point away from
ἀπόδειξις	a shewing forth, exhibiting
ἀποδέρω	to flay or skin completely
ἀποδέχομαι	to accept from
ἀποδημέω	to be away from home, be abroad or on one's travels
