Field1	Field2
Α	
Ἀαρών	
Ἀβαδδών	
ἀβαρής	without weight: not burdensome
Ἀββά	
Ἀβειληνῆς	
Ἅβελ	
Ἀβιά	
Ἀβιάθαρ	
Ἀβιούδ	
Ἀβρααμ	
Ἀβραάμ	
ἄβυσσος	with no bottom, bottomless, unfathomed
Ἄγαβος	
ἀγαθοεργέω	to do good
ἀγαθοεργός	doing good
αγαθόν	
ἀγαθοποιέω	to do good
ἀγαθοποιία	well doing
ἀγαθοποιός	doing good, beneficent
ἀγαθός	good
ἀγαθωσύνη	goodness, kindness
ἀγαλλίασις	great joy, exultation
ἀγαλλιάω	to rejoice exceedingly
ἄγαμαι	to wonder, be astonished
ἄγαμος	unmarried, unwedded, single
ἀγανακτέω	to feel irritation
ἀγανάκτησις	irritation
ἀγαπάζω	to treat with affection, shew affection to
ἀγαπάω	to treat with affection, to caress, love, be fond of
ἀγαπη	
ἀγάπη	love
ἀγάπησις	
αΓαπητοί	
ἀγαπητός	beloved
Ἅγαρ	
ἀγγαρεύω	to press
ἀγγεῖον	
ἀγγελία	a message, tidings, news
ἀγγέλλω	to bear a message
ἄγγελος	a messenger, envoy
αγγέλους	
ἄγγος	a vessel
ἄγε	come! come on! well!
ἀγείρω	to bring together, gather together
ἀγέλη	a herd
ἀγενεαλόγητος	of unrecorded descent
ἀγενής	
ἁγής	
ἁγιάζει	
ἁγιάζεται	
ἁγιαζόμενοι	
ἁγιαζομένους	
ἁγιάζον	
ἁγιάζω	
ἁγιάζων	
ἁγιάσαι	
ἁγιάσας	
ἁγιάσατε	
ἁγιάσῃ	
ἁγιασθήτω	
Ἁγιασθήτω	
ἁγιασμός	consecration, sanctification
ἁγίασον	
Ἅγιος	
ἅγιος	devoted to the gods, sacred, holy
ἁγιότης	
ἁγιωσύνη	holiness, sanctity
ἀγκάλη	the bent arm
ἄγκιστρον	a fish-hook
ἄγκυρα	anchor
ἄγναφος	uncarded
ἁγνίᾳ	
ἁγνίζω	to cleanse away
ἁγνισμός	
ἀγνοέω	not to perceive or know
ἀγνόημα	a fault of ignorance, error
ἄγνοια	want of perception, ignorance
ἁγνός	full of religious awe
ἁγνότης	purity, chastity
ἄγνυμι	to break, shiver
ἀγνωσία	ignorance
ΑΓΝΩΣΤΩ	
ἀγοπάσωσιν	
ἀγορά	an assembly of the people
ἀγοράζω	to be in the ἀγορά
ἀγοραῖος	in, of, or belonging to the ἀγορά
ἀγοράομαι	to meet in assembly, sit in debate
ἄγος	any matter of religious awe
ἀγός	a leader, chief
ἄγρα	a catching, hunting
ἀγράμματος	without learning
ἀγραυλέω	to dwell in the field
ἀγρεύω	to take by hunting or fishing, to catch, take
ἀγρέω	to capture, seize
ἀγριέλαιος	of a wild olive
ἄγριος	living in the fields
Ἀγρίππα	
Ἀγρίππας	
ἀγρός	fields, lands
ἀγρυπνέω	to lie awake, be wakeful
ἀγρυπνία	sleeplessness, waking, watching
ἄγω	to lead or carry, to convey, bring
ἀγωγεύς	one that draws or drags
ἀγωγή	a carrying away, carriage
ἀγών	a number of people brought together, a gathering, assembly
ἀγωνία	a contest, struggle for victory
ἀγωνίζομαι	to contend for a prize
Ἀδάμ	
ἀδάπανος	without expense, costing nothing
Ἀδδεί	
ἀδελ	
ἀδέλγεια	
ἀδελφή	a sister
αδελφοί	
ἀδελφός	sons of the same mother
ἀδελφότης	the brotherhood
αδελφῶν	
ἄδηλος	not seen or known, unknown, obscure
ἀδηλότης	
ἀδημονέω	to be sorely troubled
ᾅδης	
ἀδιάκριτος	undecided
ἀδιάλειπτος	unintermitting, incessant
ἀδικέω	to do wrong
ἀδίκημα	a wrong done, a wrong
ἀδικία	wrong-doing, injustice
ἄδικος	wrong-doing, unrighteous, unjust
Ἀδμείν	
ἀδόκιμος	not standing the test, spurious
ἄδολος	without fraud, guileless
ἅδος	satiety, loathing
Ἁδραμυντηνῷ	
Ἁδρίᾳ	
ἁδροτής	strength
ἀδυνατέω	to want strength
ἀδύνατος	unable
ἀεί	always, for ever
ἀείδω	to sing
ἀείρω	to lift, heave, raise up
ἀέκων	against one's will, unwilling
ἀετός	an eagle
ἄζυμος	unleavened
Ἀζώρ	
Ἄζωτος	
ἄζωτος	
ἀήρ	the lower air, the air
ἀθα	
ἀθανασία	immortality
ἀθέμιστος	lawless, without law
ἀθέμιτος	
ἄθεος	without God, denying the gods
ἄθεσμος	
ἀθετέω	to set aside
ἀθέτησις	
Ἀθῆναι	the city of Athens
Ἀθηναῖος	Athenian, of or from Athens
Ἀθήνη	Athena
ἀθλέω	having contended with
ἄθλησις	a contest, struggle
ἀθροίζω	to gather together, to muster
ἀθυμέω	to be disheartened, lose heart
ἀθῷος	unpunished, scot-free
Ἀθῷος	
αἰάζω	to cry αἰαῖ, to wail
αἰγιαλός	the sea-shore, beach, strand
αἰγίοις	
Αἰγύπτιος	Egyptian
Αἴγυπτος	the river Nile
Ἀἰγύπτῳ	
ἀίδιος	everlasting, eternal
αἰδώ	
αἰδώς	a sense of shame, shame, modesty, self-respect
Αἰθίοψ	burnt-face
αἷμα	blood
αἱμα	
αἵματ	
αἱματεκχυσία	shedding of blood
αἱματόω	to make bloody, stain with blood
αἱμορροέω	to have a αἱμόρροια
Αἰνείας	
αἴνεσις	praise
αἰνέω	to tell or speak of
αἴνη	praise, fame
αἴνιγμα	a dark saying, riddle
αἶνος	a tale, story
αἰνός	dread, dire, grim
Αἰνών	
αἵρεσις	a taking especially
αἱρετίζω	to choose, select
αἱρετικός	able to choose
αἱρέω	to take with the hand, grasp
αἴρω	to take up, raise, lift up
αις	
αἰσθάνομαι	to perceive, apprehend by the senses, to see, hear, feel
αἴσθησις	perception by the senses
αἰσθητήριον	an organ of sense
αἰσχροκερδής	sordidly greedy of gain
αἰσχρολογία	foul language, abuse
αἰσχρός	causing shame, abusive
αἰσχρότης	ugliness, deformity
αἰσχύνη	shame done one, disgrace, dishonour
αἰσχύνω	to make ugly, disfigure, mar
αἰτέω	to ask, beg
αἰτή	
αἴτημα	a request, demand
αἴτησις	a request, demand
αἰτία	a charge, accusation
αἴτιος	to blame, blameworthy, culpable
αἰτίωμα	
αἰτόν	
αἰτῷ	
αἰφνίδιος	unforeseen, sudden
αἰχμαλωσία	captivity: a body of captives
αἰχμαλωτεύω	to take prisoner
αἰχμαλωτίζοντα	
αἰχμαλωτίζοντες	
αἰχμαλωτισθήσονται	
