Field1	Field2
ἀγαθός	good
ἄγος	any matter of religious awe
ἄγω	to lead or carry, to convey, bring
ἀδεής	without fear, fearless
ἀδικέω	to do wrong
ἀδίκημα	a wrong done, a wrong
ἀδικία	wrong-doing, injustice
ἄδικος	wrong-doing, unrighteous, unjust
ἀδύνατος	unable
ἀεί	always, for ever
ἀείδω	to sing
ἀήθης	unwonted, unusual
Ἀθήναζε	to Athens
Ἀθήναια	
Ἀθήναιον	the temple of Athena
Ἀθήναιος	
Ἀθηναῖος	Athenian, of or from Athens
Ἀθήνευς	
Ἀθήνησιν	at Athens
ἀθροίζω	to gather together, to muster
ἀθρόος	in crowds or masses, crowded together
Αἴγυπτος	the river Nile
αἱρέω	to take with the hand, grasp
αἴρω	to take up, raise, lift up
αἰσχρός	causing shame, abusive
αἰτία	a charge, accusation
αἰτιάομαι	to charge, accuse, censure, blame
αἴτιος	to blame, blameworthy, culpable
ἀκολασία	licentiousness, intemperance
ἀκόλουθος	following, attending on
ἀκούω	to hear
ἀκρίβεια	exactness, minute accuracy, precision
ἀκτή	a headland, foreland, promontory, shore
ἀληθής	unconcealed, true
ἀλλά	otherwise, but
ἄλλῃ	in another place, elsewhere
ἄλλοθι	elsewhere, in another place, in a strange
ἄλλος	alius, another, one besides
ἄλλοτε	at another time, at other times
ἄλλως	in another way or manner
ἅμα	at once, at the same time
ἀμαθία	ignorance
ἁμαρτάνω	to miss, miss the mark
ἀμείνων	better, abler, stronger, braver
ἄν	
ἀνά	up, upon
ἀναβαίνω	to go up, mount, to go up to
ἀναγκάζω	to force, compel
ἀνάγκη	force, constraint, necessity
ἀνατίθημι	to lay upon
ἀνδράποδον	one taken in war and sold as a slave, a captive
ἄνευ	without
ἀνήρ	a man
ἄνθρωπος	man
ἀνίστημι	to make to stand up, raise up
ἀνοίγνυμι	to open
ἀντί	over against, opposite. c. gen.
ἀντιβολέω	to meet by chance
ἀντιλογίζομαι	to count up or calculate on the other hand
ἀντίπαλος	wrestling against
ἀντιπράσσω	to act against, seek to counteract
ἄνω	
ἀξιόω	to think or deem worthy of
ἄξυλος	with no timber, timberless
ἀπαιδευσία	want of education
ἀπαλλάσσω	to set free, release, deliver
ἅπας	quite all, the whole
ἀπελεύθερος	an emancipated slave, a freedman
ἀπέρχομαι	to go away, depart from
ἀπό	from, away from. c. gen.
ἀποβαίνω	to step off from
ἀποδείκνυμι	to point away from
ἀποδυτήριον	an undressing room
ἀποκτείνω	to kill, slay
ἀπολαύω	to have enjoyment of
ἀπόλλυμι	to destroy utterly, kill, slay
ἀπολούω	to wash off
ἀπολύω	to loose from
ἀποπέμπω	to send off or away, to dismiss
ἀποπλέω	to sail away, sail off
ἀπορέω	to be without means or resource
ἀπορρέω	to flow or run off, stream forth
ἀποφορά	payment of what is due, tax, tribute
ἄρα	
ἆρα	particle introducing a question
ἀργύριον	a piece of silver, a silver coin
ἀρέσκω	to make good, make up
ἀρετή	goodness, excellence
ἄριστον	the morning meal, breakfast
ἄριστος	best
ἀρκεόντως	enough, abundantly
ἀρκέω	to ward off, keep off
ἀρνέομαι	to deny, disown
ἄρον	
ἄρος	
ἄρτι	just, exactly
ἀρχή	a beginning, origin, first cause
ἀρχήν	
ἀρχός	a leader, chief, commander
ἄρχω	to be first
ἄρχων	a ruler, commander, chief, captain
ἀσεβέω	to be impious, to act profanely, sin against the gods
ἀστός	a townsman, citizen
ἀταξία	want of discipline, disorderliness
ἅτε	just as, so as
ἀτιμάω	to dishonour, treat lightly
ἄτιμος	unhonoured, dishonoured
ἀτιμόω	to dishonour
Ἀττικός	Attic, Athenian
αὖ	
αὐξάνω	to make large, increase, augment
αὐτόθι	on the spot
αὐτός	self
ἀφαιρέω	to take from, take away from
ἀφίημι	to send forth, discharge
ἀφικνέομαι	to come to
ἀφίστημι	to put away, remove
ἀφοράω	to look away from
ἄχθομαι	to be loaded
βαρβαρόομαι	to become barbarous
βάρβαρος	barbarous
βέλτιστος	best
βελτίων	better
βίος	life
Βοιωτός	a Boeotian
βουλεύς	
βουλεύω	to take counsel, deliberate, concert measures
βουλή	will, determination
βούλομαι	to will, wish, be willing
βραδύς	slow
Γαῖα	
γάρ	for
γε	at least, at any rate
γενναῖος	suitable to one's birth or descent
γεωργέω	to be a husbandman, farmer
γῆ	earth
γίγνομαι	to come into being
γιγνώσκω	to learn to know, to perceive, mark, learn
γνώμη	a means of knowing, a mark, token
γοῦν	at least then, at any rate, any way
γραφή	representation by means of lines
γραφής	
γυμνάζω	to train naked, train in gymnastic exercise
γυμνασιαρχέω	to be gymnasiarch
γυμνασιαρχία	the office of a gymnasiarch
γυμνάσιον	bodily exercises
δέ	but
δεῖ	it is binding on
δείδω	to fear
δείκνυμι	to bring to light, display, exhibit
δεινός	fearful, terrible, dread, dire
δεξιός	on the right hand or side
δέος	fear, alarm, affright
δεσμώτης	a prisoner, captive
δέχομαι	to take, accept, receive
δέω	
δή	exactness
δημοκρατέομαι	to have a democratical constitution, live in a democracy
δημοκρατία	democracy, popular government
δῆμος	a country-district, country, land
δημοσίᾳ	
δημόσιος	belonging to the people or state
δημότης	one of the people, a commoner, plebeian
δημοτικός	of or for the people, in common use, common
διά	through c. gen. through, by means of c. acc.
διαδικάζω	to give judgment in a case
δίαιτα	a way of living, mode of life
διαιτάω	to feed in a certain way, to diet
διαίτημα	rules of life, a mode or course of life
διαλαγχάνω	to divide or part by lot
διαλανθάνω	to escape notice
διαπράσσω	to pass over
διασκευάζω	to get quite ready, equip
διασῴζω	
διατίθημι	to place separately, arrange
διαφθείρω	to destroy utterly
δίδωμι	to give
δικάζω	to judge, to give judgment on
δίκαιος	observant of custom and social rule, well-ordered, civilised
δικαιόω	to set right
δικαστήριον	a court of justice
δικαστής	a judge
δίκη	custom, usage
διό	wherefore, on which account
διοικέω	to manage a house
Διονύσια	the feast of Dionysus or Bacchus
Διονύσιον	
Διονύσιος	
διότι	for the reason that, since
διπλάσιος	twofold, double, twice as much as, twice as many as, as long as
δοκεύς	
δοκέω	videor mihi, to think, suppose, imagine, expect
δοκιμάζω	to assay or test
δοκώ	
δόξα	a notion
δουλεία	servitude, slavery, bondage
δούλειος	slavish, servile
δουλεύω	to be a slave
δοῦλος	a born bondman or slave
δουλόω	to make a slave of, enslave
δύναμαι	to be able, capable, strong enough
δύναμις	power, might, strength
δυνατός	strong, mighty, able
δύο	two
ἕ	sui.
ἐάν	if haply
ἑαυτοῦ	itself, absolutely
ἐάω	to let, suffer, allow, permit
ἐγώ	ego
εἰ	whether.
εἰδοί	Idus
εἶδος	that which is seen, form, shape, figure
εἶεν	well!
εἰκότως	in all likelihood, suitably, fairly, reasonably, naturally
εἰμί	to be, to exist
εἶμι	to go
εἶπον	to speak, say
εἶπος	
εἴρω	
εἰς	into, to c. acc.
εἷς	
εἰσάγω	to lead in or into, to introduce
εἰσβαίνω	to go into
εἴσειμι	to go into
εἰσφέρω	to carry into or to
εἶτα	then, next
ἐκ	from out of
ἕκαστος	every, every one, each, each one
ἑκατοστός	the hundredth
ἐκδικάζω	to decide finally, settle
ἐκεῖνος	the person there, that person or thing
ἐκκλησιάζω	to hold an assembly, debate therein
ἐκλέγω	to pick or single out
ἐκπέλει	'tis permitted
ἐκπλέω	to sail out, sail away, weigh anchor
ἔκπλοος	a sailing out, leaving port
ἐλασσόω	to make less or smaller, to lessen, diminish, lower
ἐλάσσων	smaller, less
ἐλαύνω	to drive, drive on, set in motion
ἔλεγος	a song of mourning, a lament
ἐλεέω	to have pity on, shew mercy upon
ἐλεύθερος	free
ἐλευθερόω	to free, set free
Ἕλλην	Hellen
Ἑλληνίς	a Grecian woman
ἐλπίς	hope, expectation
ἐμμένω	to abide in
ἐμός	mine
ἐμπεδόω	to fix in the earth
ἐμπειρία	experience
ἐμπίμπρημι	to kindle, burn, set on fire
ἐμπρήθω	to blow up, inflate
ἐν	in, among. c. dat.
ἐναντίον	
ἐναντίος	opposite
ἐνδεής	in need of
ἔνδεια	want, need, lack
ἐνδέω	
ἔνειμι	to be in
ἕνεκα	on account of, for the sake of, because of, for
ἐνθυμέομαι	to lay to heart, consider well, reflect on, ponder
ἐνιαυτός	any long period of time, a cycle, period
ἔνιοι	some
ἐνίοτε	sometimes
ἕνος	belonging to the former of two periods, last year's
ἐνταῦθα	here, there
ἐντεῦθεν	hence or thence
ἐντός	within, inside
ἐξάγω	to lead out
ἐξαπίναιος	sudden, unexpected.
ἐξελαύνω	to drive out from
ἔξεστι	it is allowed, it is in one's power, is possible
ἐξευρίσκω	to find out, discover
ἑξῆς	one after another, in order, in a row
ἐξίημι	to send out, let
ἔοικα	to be like
ἐοικότως	similarly, like
ἑορτάζω	to keep festival or holiday
ἑορτή	a feast or festival, holiday
ἐπάγνυμι	to break
ἐπάγω	to bring on
ἐπαινέω	to approve, applaud, commend
ἐπεί	after that, after (postquam), since, when (quum)
ἐπεισπίπτω	to fall in upon
ἔπειτα	thereupon
ἐπί	on, upon with gen., dat., and acc.
ἐπιβουλεύω	to plan or contrive against
ἐπιδείκνυμι	to exhibit as a specimen
ἐπιδημία	a stay in a place
ἐπιλαμβάνω	to lay hold of, seize, attack
ἐπιμελέομαι	to take care of, have charge of, have the management of
ἐπιμίσγω	
ἐπισκευάζω	to get ready, to equip, fit out
ἐπιτήδειος	made for an end or purpose, fit or adapted for it, suitable, convenient
ἐπιτηδεύω	to pursue or practise
ἐπιτίθημι	to lay, put or place upon
ἐπιχειρέω	to put one's hand on
ἐπιχωρέω	to give way, yield
ἐπιχώριος	in or of the country
ἐπιψηφίζω	to put
ἐράω	
ἐργάζομαι	to work, labour
ἐρέω	to ask, enquire
ἔρομαι	to ask, enquire
ἐρῶ	I will say or speak
ἐσθής	dress, clothing, raiment
ἕτερος	one of the
ἔτης	clansmen
ἔτι	yet, as yet, still
ἔτος	a year
εὖ	well
εὐδαίμων	blessed with a good genius;
εὐθηνέω	to thrive, flourish, prosper
εὔθυνα	a setting straight, correction, chastisement
εὐθύνω	to guide straight, direct
εὐθύς	
εὐνάω	to lay or place in ambush
εὔνοια	good-will, favour, kindness
εὔνοιος	
εὐνομέομαι	to have good laws, to be orderly
εὐνομία	good order, order
εὔνους	well-minded, well-disposed, kindly, friendly
εὐωχέω	to treat or feed well, entertain sumptuously
εὐωχία	good cheer, feasting
ἐφορμάω	to stir up, rouse against
ἐφορμέω	to lie moored at or over against
ἔχις	an adder, viper
ἔχω	to have or to hold
ἕως	until, till
ζάω	to live
ζεῦγος	a yoke of beasts, a pair of mules, oxen or horses
Ζεύς	Zeus
ζέω	to boil, seethe
ζητέω	to seek, seek for
ἤ	
ἡγέομαι	to go before, lead the way
ἡδύς	sweet
ἥκιστος	least
ἡμέρα	day
ἡμερόω	to tame, make tame
ἠμί	I say
ἤν	see! see there! lo!
ἤπειρος	terra-firma, the land
ἥσσων	less, weaker, less brave
Ἡφαίστια	
ἠώς	the morning red, daybreak, dawn
θάλασσα	the sea
θαλασσοκράτωρ	master of the sea
Θαργήλια	
θαυμάζω	to wonder, marvel, be astonied
θαυμαστός	wondrous, wonderful, marvellous
θέσις	a setting, placing, arranging
θυσία	an offering or mode of offering
θύω	
ἴδιος	one's own, pertaining to oneself
ἱερά	
ἱεραί	
ἱερεῖον	a victim, an animal for sacrifice or slaughter
ἱερή	
ἱερόν	
ἱερός	super-human, mighty, divine, wonderful
ἱερόω	to hallow, consecrate, dedicate
ἵημι	to set a going, put in motion
ἱκανός	becoming, befitting, sufficing
ἵνα	in that place, there
ἱππαρχία	the office of
ἰσηγορία	equal freedom of speech, equality
ἴσος	equal to, the same as
ἵστημι	to make to stand
ἰσχυρός	strong, mighty
ἰσχύς	strength
ἰσχύω	to be strong
Ἰταλία	
κάθημαι	to be seated
καθιστάω	
καθίστημι	to set down, place
καί	and
κακόνοια	ill-will, malignity, malice
κακονομία	a bad system of laws and government, a bad constitution
κακός	bad
κακόω	to treat ill, maltreat, afflict, distress
καλός	beautiful, beauteous, fair
κἀν	and if, even if, although
καρπός	
καρπόω	to bear fruit or bear as fruit
κατά	down, downwards, with gen. or acc.
κατακόπτω	to cut down, cut in pieces, cut up
καταλύω	to put down, destroy
καταπίπτω	to fall or drop down
καταστρέφω	to turn down, trample on
κατοικοδομέω	to build upon or in
κελευστής	the signalman
κελευστός	ordered, commanded
κελεύω	to urge or drive on, urge, exhort, bid, command, order
κενόω	to empty out, drain
κεράννυμι	to mix, mingle
κερδαίνω	to gain, derive profit or advantage
κήρ	the goddess of death
κηρός	bees-wax
κῆρυξ	a herald, pursuivant, marshal, public messenger
κινδυνεύω	to be daring, to make a venture, take the risk, do a daring thing
κίνδυνος	a danger, risk, hazard, venture, enterprise
κλῆρος	a lot;
κολάζω	to curtail, dock, prune
κολακεύω	to flatter
κρατέω	to be strong, mighty, powerful
κρατιστεύω	to be mightiest, best, most excellent
κράτιστος	strongest, mightiest
κρείσσων	stronger, mightier, more powerful
κτάομαι	to procure for oneself, to get, gain, acquire
κτείνω	to kill, slay
κτέομαι	
κτῆσις	acquisition
κυβερνάω	to act as pilot or helmsman
κυβερνήτης	a steersman, helmsman, pilot
Κύπρος	Cyprus
κωμῳδέω	to represent in a comedy, to satirise, lampoon, libel
κώπη	the handle of an oar
Λακεδαιμόνιος	
Λακεδαίμων	Lacedaemon
λαμβάνω	to take
λανθάνω	to escape notice, to be unknown, unseen, unnoticed
λέγος	
λέγω	
λεία	booty, plunder
λεῖος	smooth, plain, not embroidered
λιμός	hunger, famine
λίνον	anything made of flax
λίνος	
λογίζομαι	to count, reckon, calculate, compute
λουτρόν	a bath, bathing place
λουτρών	a bathing-room, bath-house
Λυδία	Lydia
Λυδίης	
Λύδιος	of Lydia, Lydian
λυσιτελέω	to pay what is due
λυσιτελής	paying what is due
λωβάομαι	to treat despitefully, to outrage, maltreat
μαίνομαι	to rage, be furious
μάλιστα	
μᾶλλον	
μανθάνω	to learn
μάχομαι	to fight
μεγαλοπρεπής	befitting a great man, magnificent
μέγας	big, great
μεθίημι	to let go, let loose, release
μελετάω	to care for, attend to
μελέτη	care, attention
μέλος	a limb
μέλω	to be an object of care or thought
μέμφομαι	to blame, censure, find fault with
μέν	on the one hand, on the other hand
μέντοι	
μέσος	middle, in the middle
Μεσσήνιοι	
Μεσσήνιος	
μετακινέω	to transpose, shift, remove
μέτειμι	to be among
μέτοικος	changing one's abode, emigrating and settling elsewhere
μή	not
μηδέ	but not or and not, nor
μηδείς	and not one
μηδέποτε	never
μικρός	small, little
Μιλήσιος	Milesian
μιμνήσκω	to remind, put
μισέω	to hate
μισθός	wages, pay, hire
μισθοφορέω	to be a μισθοφόρος, to receive wages or pay
μισθοφορία	service as a mercenary
μόνος	alone, left alone, forsaken solitary
μονόω	to make single or solitary
μουσική	any art over which the Muses presided
μουσικός	of or for music, musical
μυρίος	numberless, countless, infinite
ναός	the dwelling of a god, a temple
ναυπηγήσιμος	useful in shipbuilding
ναυπηγός	a shipwright
ναῦς	a ship
ναυτικόν	
ναυτικός	seafaring, naval
νέα	
νεάζω	to be young or new
νεάω	to plough up anew
νέμω	to deal out, distribute, dispense
νεόω	to renovate, renew
νέω	
νεώρης	new, fresh, late
νεώριον	a place were ships are taken care of, a dockyard
νεώς	a temple
νησιώτης	an islander
νῆσος	an island
νικάω	to conquer, prevail, vanquish
νίκη	victory in battle
νομίζω	to hold or own as a custom or usage, to use customarily, practise
