Field1	Field2
ἄκρον	the highest or furthest point
ἀκρόπολις	the upper city
ἀκρόπους	
ἄκρος	at the furthest point
ἀκροστόλιον	the gunwale
Ἀκρότατος	
Ἀκροχερσίτης	
ἀκροχερσίτης	
ἄκρων	
Ἀκταίη	
Ἀκταῖος	
Ἄκταιος	
ἀκταῖος	on the coast
Ἀκταίων	
ἀκτέα	the elder-tree
ἀκτή	a headland, foreland, promontory, shore
Ἀκτή	
ἄκτιον	
Ἄκτιον	
ἄκτιος	haunting the shore
ἀκτίς	a ray, beam
ἄκτωρ	a leader
Ἄκτωρ	
ἄκωλος	
ἄκων	a javelin, dart
ἀλάβαστρον	a box or casket of alabaster
Ἀλαγονίη	
ἀλαζονεία	false pretension, imposture, quackery
ἀλαζονίας	
ἀλαζών	a vagabond
Ἀλαζώνων	
Ἀλαζῶσι	
ἀλαλαγή	a shouting
ἀλαλαγμός	
Ἀλαλκομεναί	
Ἀλαλκομεναῖς	
Ἀλαλκομενείη	
Ἀλαλκομένευς	
Ἀλαλκομενεύς	
Ἀλαλκομένη	
Ἀλαλκομενίη	
ἀλάομαι	to wander, stray or roam about
ἀλαπαδνός	exhausted, powerless, feeble
ἀλάστορος	under the influence of an ἀλάστωρ: suffering cruelly
ἀλάστωρ	the avenging deity, destroying angel
ἀλγεινός	giving pain, painful, grievous
ἀλγέω	to feel bodily pain, suffer
ἀλγηδών	a sense of pain, pain, suffering
ἄλγημα	pain, suffering
ἀλγινόεις	painful, grievous
ἀλέα	an escape
Ἀλεαῖα	
Ἀλέη	
ἀλείφω	to anoint with oil, oil
ἀλεκτρυών	a cock
Ἀλέκτωρ	
ἀλέκτωρ	a cock
Ἄλεντος	
Ἀλεξανδρεία	
Ἀλεξανδρεύς	
Ἀλεξάνδρη	
Ἀλέξανδρος	
ἀλέξανδρος	defending men
Ἀλεξάνωρ	
ἀλέξημα	a defence, remedy
Ἀλεξιάρουν	
Ἀλεξίβιος	
ἀλεξίκακος	keeping off evil or mischief
Ἀλεξίμαχος	
Ἀλεξίνικος	
Ἄλεξις	
ἀλέομαι	to avoid, shun
Ἄλεος	
Ἀλεσίη	
Ἀλέσιος	
Ἀλευάδας	
Ἀλευάδου	
Ἀλευαδῶν	
Ἄλευς	
ἀλέω	to grind, bruise, pound
Ἅλη	
ἄλη	
ἁλή	
ἀλήθεια	truth
ἀληθεύω	to speak truth
ἀληθής	unconcealed, true
Ἄλης	
ἀλήσιον	
Ἀλήσιος	
Ἀλήτης	
ἀλήτης	a wanderer, stroller, rover, vagabond
ἀλθαία	
Ἀλθαίη	
Ἀλθηπίη	
Ἄλθηπος	
ἁλία	an assembly of the people
Ἀλιαρτίαν	
Ἁλιαρτίη	
Ἁλιαρτίοις	
Ἁλιαρτίων	
Ἁλίαρτος	
ἁλιεύς	one who has to do with the sea
ἁλίζω	
Ἁλίη	
ἁλίη	
Ἀλιθέρσης	
Ἁλικαρνασσεύς	a Halicarnassian
Ἁλικαρνασσός	
ἁλική	
Ἁλίκη	
ἁλίκος	
Ἀλιμουσίοις	
ἅλιος	
Ἁλιοῦσσα	
Ἁλιρρόθιος	
ἁλιρρόθιος	dashed over by the sea
Ἅλις	
ἅλις	in heaps, crowds, swarms, in abundance, in plenty
ἁλίσκομαι	to be taken, conquered
Ἁλιταίη	
Ἀλίφηρα	
Ἀλιφηρεῦσι	
Ἀλίφηρος	
Ἄλκαθος	
Ἀλκάθουν	
Ἀλκαίνετος	
ἀλκαῖον	
Ἀλκαῖος	
ἀλκαῖος	strong, mighty
Ἀλκαμένης	
Ἄλκανδρος	
Ἀλκέτης	
Ἄλκετος	
ἄλκη	
ἀλκή	strength
Ἀλκήνωρ	
Ἄλκηστις	
ἀλκιβιάδες	
Ἀλκιβιάδης	
Ἀλκιδαμείας	
Ἀλκιδαμίδης	
Ἀλκίδης	
Ἀλκιδόκος	
ἀλκίμαχος	bravely fighting
Ἀλκίμαχος	
Ἀλκιμέδων	
Ἄλκιμος	
ἄλκιμος	strong, stout
Ἀλκινόη	
Ἀλκίνοος	
Ἀλκίππη	
Ἄλκις	
Ἀλκμαίων	
Ἀλκμαιωνιδῶν	
Ἀλκμάν	
Ἀλκμᾶνα	
Ἀλκμᾶνος	
Ἀλκμήνη	
Ἀλκυόνη	
Ἀλκυόνιος	
Ἄλκων	
ἀλλά	otherwise, but
ἀλλαγή	a change
ἀλλάσσω	to make other than it is, to change, alter
ἀλλαχόθι	elsewhere
ἀλλαχόσε	elsewhither, to another place
ἀλλαχοῦ	elsewhere
ἀλλεπάλληλος	
ἄλλῃ	in another place, elsewhere
ἀλληλοφάγος	eating each other
ἀλλήλων	of one another, to one another, one another
ἀλλοδαπός	belonging to another people or land, foreign, strange
ἀλλοῖος	of another sort or kind, different
ἀλλοιόω	to make different, to change, alter
ἄλλος	alius, another, one besides
ἄλλοτε	at another time, at other times
ἀλλότριος	of or belonging to another
ἄλλου	
ἄλλως	in another way or manner
ἅλμα	a spring, leap, bound
ἅλμη	sea-water, brine
Ἄλμος	
ἁλμυρός	salt, briny
Ἀλμώνης	
Ἀλξίων	
ἀλογία	want of respect or regard
Α	
ἄατος	insatiate
Ἄβαι	
Ἀβαίοις	
Ἀβαίων	
Ἀβαντίδης	
Ἀβαντίς	
Ἄβαρις	
Ἄβαρτος	
Ἄβας	
Ἄβασα	
ἄβατον	
ἄβατος	untrodden, impassable, inaccessible
Ἀβδηρίτης	a man of Abdera
Ἄβδηρος	
Ἀβίη	
Ἀβρακιῶται	
Ἀβρούπολις	
Ἄβυδος	Abydos
Ἀγαθῖνον	
Ἀγάθινος	
Ἀγάθοκλεης	
ἀγαθός	good
ἀγακλειτός	
ἀγάλλω	to make glorious, glorify, exalt
ἄγαλμα	a glory, delight, honour
ἀγαλματοποιός	a maker of statues, a sculptor, statuary
ἄγαμαι	to wonder, be astonished
Ἀγαμέμνων	the very steadfast
Ἀγαμήδη	
Ἀγαμήδης	
Ἀγαμηδίδης	
Ἀγαμήτωρ	
ἄγαμος	unmarried, unwedded, single
ἄγαν	very, much, very much
Ἀγανίππη	
ἀγαπάζω	to treat with affection, shew affection to
ἀγαπάω	to treat with affection, to caress, love, be fond of
Ἀγαπήνωρ	
ἀγαπήνωρ	loving manliness, manly
Ἀγασθένης	
Ἀγασικλέης	
Ἀγασιμένης	
Ἀγασισθένης	
ἀγγεῖον	
ἀγγελία	a message, tidings, news
Ἀγγελίων	
ἀγγέλλω	to bear a message
ἄγγελος	a messenger, envoy
Ἄγδιστις	
ἄγε	come! come on! well!
ἀγείρω	to bring together, gather together
Ἀγελάδης	
Ἀγέλαος	
ἀγέλη	a herd
Ἀγέλης	
Ἄγελος	
Ἀγέλοχος	
Ἀγέμαχος	
ἀγένειος	beardless
ἄγη	wonder, awe, amazement
Ἀγήνωρ	
ἀγήνωρ	manly, courageous, heroic
ἀγήραος	not waxing old, undecaying
Ἀγήσαρχος	
Ἀγησικλέους	
Ἀγησικλῆς	
Ἀγησίλαος	
ἀγησίλαος	leader of people, conductor of men
Ἀγησίλης	
Ἀγησίπολις	
Ἀγήτωρ	
Ἀγιάδης	
Ἀγίης	
ἅγιος	devoted to the gods, sacred, holy
Ἄγις	
ἁγιστεύω	to perform sacred rites
Ἀγκαῖος	
ἄγκιστρον	a fish-hook
ἄγκοινα	
ἀγκοίνη	the bent arm
ἄγκυρα	anchor
Ἄγκυρα	
ἀγκών	the bend of the arm, the elbow
Ἀγλαία	
ἀγλαία	splendour, beauty, adornment
ἀγλαός	splendid, shining, bright, beautiful
Ἀγλαός	
Ἀγλαοφῶν	
ἄγλαυρος	
Ἄγλαυρος	
Ἁγναγόρη	
Ἄγναπτος	
ἄγναπτος	
Ἁγνή	
ἁγνίζω	to cleanse away
Ἀγνίτης	
ἀγνοέω	not to perceive or know
ἄγνοια	want of perception, ignorance
ἁγνός	full of religious awe
ἄγνος	a willow-like tree
ἄγνυμι	to break, shiver
Ἁγνώ	
ἀγνωμοσύνη	want of sense, folly
ἀγνώς	unknown
ἄγνωστος	unknown
Ἀγόνεος	
ἀγορά	an assembly of the people
ἀγοράζω	to be in the ἀγορά
Ἀγοραίας	
ἀγοραῖος	in, of, or belonging to the ἀγορά
Ἀγοράκριτος	
ἀγοράομαι	to meet in assembly, sit in debate
ἀγορεύω	to speak in the assembly, harangue, speak
ἄγος	any matter of religious awe
ἄγρα	a catching, hunting
Ἄγραι	
Ἀγραῖον	
Ἄγραιος	
ἀγραῖος	
ἀγρεύω	to take by hunting or fishing, to catch, take
ἀγρέω	to capture, seize
ἀγρία	
ἀγριέλαιος	of a wild olive
ἀγριοδαίτης	
ἄγριος	living in the fields
Ἄγριος	
ἀγριότης	wildness, savageness
ἀγριόω	to make wild or savage
ἀγροικία	rusticity, boorishness, coarseness
