Field1	Field2
ἀάω	to hurt, damage
ἀβάπτιστος	
Ἄβας	
ἄβατον	
ἄβατος	untrodden, impassable, inaccessible
ἀβλαβής	without harm
ἀβοητί	without summons
ἀβουλία	want of counsel, thoughtlessness
ἁβρός	delicate, graceful, beauteous, pretty
ἁβρότης	delicacy, luxury
ἀγάζω	
ἀγαθός	good
ἀγακλεής	very glorious, famous
ἀγακτίμενος	
ἀγάλλω	to make glorious, glorify, exalt
ἄγαλμα	a glory, delight, honour
ἄγαμαι	to wonder, be astonished
Ἀγαμεμνόνεος	of or having to do with Agamemnon
Ἀγαμεμνόνιος	
ἄγαν	very, much, very much
ἀγανός	mild, gentle, kindly
ἀγαπάζω	to treat with affection, shew affection to
ἀγαπάω	to treat with affection, to caress, love, be fond of
ἀγαπητός	beloved
ἀγαυός	illustrious, noble
ἀγάφθεγκτος	
ἀγγελία	a message, tidings, news
ἀγγέλλω	to bear a message
ἄγγελος	a messenger, envoy
ἄγγος	a vessel
ἄγε	come! come on! well!
ἀγείρω	to bring together, gather together
ἀγέλη	a herd
ἀγένειος	beardless
ἀγέρωχος	high-minded, lordly
ἄγη	wonder, awe, amazement
ἀγήνωρ	manly, courageous, heroic
ἀγήραος	not waxing old, undecaying
ΑΓΗΣΙᾼ	
Ἁγησίδαμ'	
Ἁγησίδαμε	
Ἁγησίδαμος	
Ἁγησιδάμου	
ΑΓΗΣΙΔΑΜῼ	
Ἁγησίης	
Ἁγησίλαν	
Ἁγησιμάχῳ	
ἁγησίχορος	
ἁγίζω	to hallow, dedicate
ἀγκύλος	crooked, curved
ἀγκυλότοξος	with curved bow
ἄγκυρα	anchor
ἀγκών	the bend of the arm, the elbow
ἀγλαία	splendour, beauty, adornment
Ἀγλαία	
ἀγλαίζω	to make bright or splendid
ἀγλαόγυιος	with beauteous limbs
ἀγλαόδενδρος	with beautiful trees
ἀγλαόθρονος	
ἀγλαόκαρπος	bearing beautiful or goodly fruit
ἀγλαόκουρος	
ἀγλαόκωμος	
ἀγλαός	splendid, shining, bright, beautiful
Ἀγλαοτρίαιναν	
ἄγλωσσος	without tongue
ἁγνός	full of religious awe
ἄγνυμι	to break, shiver
ἀγνώμων	ill-judging, senseless
ἀγνώς	unknown
ἄγνωστος	unknown
ἄγνωτος	
ἀγορά	an assembly of the people
ἀγοράζω	to be in the ἀγορά
ἀγοράομαι	to meet in assembly, sit in debate
Ἀγορή	
