Field1	Field2
ἄατος	insatiate
Ἄβας	
ἀβασίλευτος	not ruled by a king
ἀβέβαιος	uncertain, unsteady
ἀβελτερία	silliness, stupidity, fatuity
ἀβίωτος	not to be lived, insupportable
ἀβλαβής	without harm
ἀβούλητος	
ἀβουλία	want of counsel, thoughtlessness
ἁβρός	delicate, graceful, beauteous, pretty
Ἀβρότονον	
Ἀβυδηνός	
Ἄβυδος	Abydos
Ἀγάθαρχος	
ἀγαθός	good
ἀγάλλω	to make glorious, glorify, exalt
ἄγαλμα	a glory, delight, honour
ἄγαμαι	to wonder, be astonished
Ἀγαμέμνων	the very steadfast
ἀγαμία	celibacy
ἄγαμος	unmarried, unwedded, single
ἄγαν	very, much, very much
ἀγανακτέω	to feel irritation
ἀγάομαι	admiring
ἀγαπάζω	to treat with affection, shew affection to
ἀγαπάω	to treat with affection, to caress, love, be fond of
ἀγάπη	love
ἀγάπησις	
ἀγαπητικός	affectionate
ἀγαπητός	beloved
Ἀγαρίστη	
ἀγαστός	deserving admiration
ἀγγεῖον	
ἀγγελία	a message, tidings, news
ἀγγέλλω	to bear a message
ἄγγελος	a messenger, envoy
ἀγεννής	of no family, low-born
ἄγη	wonder, awe, amazement
ἀγήραος	not waxing old, undecaying
Ἀγησίας	
Ἀγησίλαος	
ἀγησίλαος	leader of people, conductor of men
ἀγητός	admirable, wondrous
Ἀγιάδης	
ἅγιος	devoted to the gods, sacred, holy
Ἄγις	
ἀγκάλη	the bent arm
ἄγκυρα	anchor
ἀγκών	the bend of the arm, the elbow
ἁγνίζω	to cleanse away
ἀγνοέω	not to perceive or know
ἄγνοια	want of perception, ignorance
ἁγνός	full of religious awe
Ἁγνούσιος	
Ἁγνουσίων	
ἄγνυμι	to break, shiver
ἀγνωμονέω	to act without right feeling, act unfairly
ἀγνωμοσύνη	want of sense, folly
ἀγνώμων	ill-judging, senseless
Ἅγνων	
ἀγορά	an assembly of the people
ἀγοράζω	to be in the ἀγορά
ἀγοραῖος	in, of, or belonging to the ἀγορά
ἀγοράομαι	to meet in assembly, sit in debate
ἀγορεύω	to speak in the assembly, harangue, speak
ἄγος	any matter of religious awe
ἀγός	a leader, chief
ἄγρα	a catching, hunting
ἀγράμματος	without learning
Ἀγραυλῆθεν	
Ἄγραυλος	
ἄγραυλος	dwelling in the field
ἀγρέω	to capture, seize
ἄγριος	living in the fields
ἀγριόω	to make wild or savage
ἀγροικία	rusticity, boorishness, coarseness
ἀγροῖκος	
ἄγροικος	of or in the country
ἀγρός	fields, lands
ἀγροτήρ	rustic
ἀγρυπνέω	to lie awake, be wakeful
ἀγχέμαχος	fighting hand to hand
ἀγχίνοια	readiness of mind, ready wit, sagacity
ἀγχώμαλος	nearly equal
ἄγω	to lead or carry, to convey, bring
ἀγώγιμος	easy to be led or carried
ἀγωγός	leading
ἀγών	a number of people brought together, a gathering, assembly
ἀγωνίζομαι	to contend for a prize
ἀγώνισμα	a contest
ἀγωνιστής	a rival
ἀγωνοθέτης	judge of the contests, director of the games
ἄγωνος	
ἀδεής	without fear, fearless
ἄδεια	freedom from fear
ἀδείμαντος	fearless, dauntless
Ἀδείμαντος	
ἀδέκαστος	unbribed
ἀδελφή	a sister
ἀδελφιδέος	a brother's or sister's son, a nephew
ἀδελφός	sons of the same mother
ἄδηλος	not seen or known, unknown, obscure
ἀδηλότης	
ᾅδης	
ἀδικέω	to do wrong
ἀδίκημα	a wrong done, a wrong
ἀδικία	wrong-doing, injustice
ἀδίκιον	a wrong, wrong-dealing
ἄδικος	wrong-doing, unrighteous, unjust
Ἄδμητος	
ἄδμητος	unbroken
ἀδοξέω	to be held in no esteem, to stand in ill repute
ἀδοξία	ill-repute, disgrace
ἄδοξος	inglorious, disreputable
ἀδορυφόρητος	
ἀδρανής	inactive, powerless
Ἄδραστος	
ἄδραστος	not running away, not inclined to do so
ἀδύνατος	unable
Ἀδωνιά	
Ἀδώνια	the mourning for Adonis
Ἀδώνιος	
ἄδωρος	without gifts, taking none, incorruptible
ἀεί	always, for ever
ἀείδω	to sing
ἀειθαλής	ever-green
ἀεικής	unseemly, shameful
ἄεισμα	
ἀειφυγία	perpetual exile
ἀεκούσιος	against one's will, involuntary
ἀέκων	against one's will, unwilling
ἄελπτος	unexpectedly
ἀέναος	ever-flowing
ἀετός	an eagle
ἀηδής	unpleasant to the taste, distasteful
ἀήθης	unwonted, unusual
ἀήρ	the lower air, the air
ἀησσητος	
ἀήττητος	
Ἀθαναίων	
ἀθανασία	immortality
ἀθάνατος	undying, immortal
ἀθαρσής	discouraged, downhearted
ἀθετέω	to set aside
Ἀθήναζε	to Athens
Ἀθῆναι	the city of Athens
Ἀθήναια	
Ἀθήναιον	the temple of Athena
Ἀθήναιος	
Ἀθηναῖος	Athenian, of or from Athens
Ἀθηναιους	
Ἀθηναίουσπόλεων	
Ἀθήνευς	
Ἀθήνη	Athena
Ἀθήνηθεν	from Athens
Ἀθήνησιν	at Athens
ἄθικτος	untouched
ἄθλησις	a contest, struggle
ἀθλητής	a prizefighter
ἀθλοθέτης	one who awards the prize, the judge
ἆθλον	the prize of contest
ἆθλος	a contest for a prize
ἀθόρυβος	without uproar
ἄθραυστος	unbroken, unhurt
ἀθροίζω	to gather together, to muster
ἀθρόος	in crowds or masses, crowded together
ἄθρυπτος	not broken, not enervated
ἀθυμέω	to be disheartened, lose heart
ἀθυμία	want of heart, faintheartedness
ἄθυμος	without heart, fainthearted
Αἶα	
Αἰακίδης	son of Aeacus
Αἰακός	
Αἰαντίδης	
Αἰαντίς	
Αἴας	Ajax
Αἰγαί	
Αἰγαῖος	Aegaean
Αἰγεί̈δης	
αἴγεος	a goat's skin
