Field1	Field2
ἄατος	insatiate
Ἄβας	
Ἄβδηρα	
Ἀβδηρίη	
Ἄβδηρος	
ἀβουλέω	to be unwilling
Ἀγάθων	
ἄγαλμα	a glory, delight, honour
Ἀγαμέμνων	the very steadfast
ἀγανακτέω	to feel irritation
ἀγαπάω	to treat with affection, to caress, love, be fond of
Ἀγαπήνωρ	
ἀγαπήνωρ	loving manliness, manly
ἀγάπησις	
Ἀγαπτόλεμος	
Ἀγασθένης	
Ἀγαύη	
Ἀγαυή	
ἀγαυός	illustrious, noble
ἀγγέλλω	to bear a message
ἀγείρω	to bring together, gather together
Ἀγέλαος	
Ἀγέλαστος	
ἀγέλαστος	not laughing, grave, gloomy, sullen
ἀγέλη	a herd
ἀγέρωχος	high-minded, lordly
Ἀγέρωχος	
ἀγήνωρ	manly, courageous, heroic
Ἀγήνωρ	
ἀγήραος	not waxing old, undecaying
ἅγιος	devoted to the gods, sacred, holy
Ἅγιος	
Ἀγκαῖος	
Ἀγκύωρ	
ἀγκών	the bend of the arm, the elbow
ἀγλαία	splendour, beauty, adornment
Ἀγλαία	
Ἀγλαόπη	
Ἀγλαός	
ἀγλαός	splendid, shining, bright, beautiful
ἁγνίζω	to cleanse away
Ἁγνίης	
ἀγνοέω	not to perceive or know
ἄγνοια	want of perception, ignorance
ἄγνυμι	to break, shiver
ἄγνωστος	unknown
ἀγοράζω	to be in the ἀγορά
ἄγος	any matter of religious awe
ἄγραυλος	dwelling in the field
Ἄγραυλος	
ἀγρέω	to capture, seize
ἀγρία	
ἄγριος	living in the fields
Ἄγριος	
ἀγριόω	to make wild or savage
ἄγχι	near, nigh, close by
Ἀγχινόη	
Ἄγχιος	
Ἀγχίσης	
ἀγχίων	
ἀγχόνη	a throttling, strangling, hanging
ἄγχω	to compress, press tight
ἄγω	to lead or carry, to convey, bring
ἀγών	a number of people brought together, a gathering, assembly
ἀγωνίζομαι	to contend for a prize
ἀγωνιστής	a rival
ἀδαμάντινος	adamantine
ἀδεής	without fear, fearless
ἀδελφή	a sister
ἀδελφός	sons of the same mother
ᾍδης	Hades or Pluto
Ἀδιάντη	
ἀδικέω	to do wrong
ἄδικος	wrong-doing, unrighteous, unjust
Ἀδίτη	
Ἀδμήτη	
ἄδμητος	unbroken
Ἄδμητος	
ἀδοξέω	to be held in no esteem, to stand in ill repute
Ἀδραμύτιον	
Ἀδράστεια	the Inevitable
ἄδραστος	not running away, not inclined to do so
Ἄδραστος	
ἀδυνατέω	to want strength
ἀδύνατος	unable
Ἄδωνις	Adonis
ἀέθλιος	
Ἀέθλιος	
ἀεί	always, for ever
ἀείδω	to sing
ἀεκούσιος	against one's will, involuntary
ἀέκων	against one's will, unwilling
ἀελλόπος	storm-footed, storm-swift
Ἀελλόπους	
ἀελλός	
Ἀελλώ	storm
Ἀερόπη	
ἀετός	an eagle
ἀηδών	the songstress
ἀήρ	the lower air, the air
Ἀθαμαντίη	
Ἀθαμάντιος	
Ἀθάμας	
ἀθανασία	immortality
ἀθάνατος	undying, immortal
ἀθεράπευτος	uncared for, of animals
Ἀθῆναι	the city of Athens
Ἀθήναια	
Ἀθήναιον	the temple of Athena
Ἀθηναῖος	Athenian, of or from Athens
Ἀθήναιος	
Ἀθήνευς	
Ἀθήνη	Athena
ἄθλιος	gaining the prize
ἆθλον	the prize of contest
ἆθλος	a contest for a prize
ἀθροίζω	to gather together, to muster
ἀθρόος	in crowds or masses, crowded together
ἀθυμέω	to be disheartened, lose heart
ἀθῷος	unpunished, scot-free
Αἶα	
Αἰαίη	
Αἰακός	
Αἴας	Ajax
αιγ	
Αἰγαίων	Aegaeon
αἴγεος	a goat's skin
Αἰγεύς	
Αἰγεωνεύς	
Αἰγιάλεια	
Αἰγιάλειος	
Αἰγιαλεύς	
Αἰγιάλευς	
αἰγιαλός	the sea-shore, beach, strand
Αἰγιαλός	
Αἰγίμιος	
Αἴγινα	Aegina
αἰγίνη	
Αἴγιος	
Αἰγίπαν	
Αἰγίς	
αἰγίς	the aegis or shield
Αἴγισθος	
αἴγλη	the light of the sun, radiance
Αἴγλη	
Αἰγληίς	
αἰγλήτης	
αἴγλητος	
αἰγυπιός	a vulture
Αἰγύπτιος	Egyptian
Αἴγυπτος	the river Nile
Αἵδης	
ἀίδιος	everlasting, eternal
αἰδοῖον	the genitals, pudenda
αἰδοῖος	regarded with reverence, august, venerable
Αἰήτης	
αἴητος	terrible, mighty
αἰθήρ	ether, the brighter purer air, the sky
Αἰθιοπία	Ethiopia
Αἰθιόπιος	
Αἰθιοπίς	
Αἰθίοψ	burnt-face
αἴθουσα	the corridor
Αἰθούσα	
Αἴθρη	
Αἴθυλλα	
αἴθω	to light up, kindle
αἰκίζω	to treat injuriously, to plague, torment
αἱΛαομέδοντος	
αἷμα	blood
αἱμάσσω	to make bloody stain with blood
Αἱμόνιος	
Αἷμος	
Αἵμων	
Αἰνείας	
αἰνετός	praiseworthy
Αἰνετός	
Αἰνιάν	
Αἰνίας	
αἴνιγμα	a dark saying, riddle
Αἶνος	
αἴξ	a goat
Αἰολεύς	an Aeolian
αἰολέω	
αἰολίας	
Αἰολίη	
Αἰόλιος	
αἰόλος	quick-moving
Αἴολος	
αἰπόλος	a goatherd
Αἴπυτος	
αἱρέω	to take with the hand, grasp
αἴρω	to take up, raise, lift up
Αἴσακος	
αἰσθάνομαι	to perceive, apprehend by the senses, to see, hear, feel
Αἰσχρηίς	
αἰσχύνω	to make ugly, disfigure, mar
Αἴσων	
αἰτέω	to ask, beg
αἰτία	a charge, accusation
αἰτιάομαι	to charge, accuse, censure, blame
αἴτιος	to blame, blameworthy, culpable
Αἴτνη	
Αἰτωλία	
