Field1	Field2
ἀγορά	an assembly of the people
ἀγοράζω	to be in the ἀγορά
ἀγοράομαι	to meet in assembly, sit in debate
ἀγορεύω	to speak in the assembly, harangue, speak
ἀγός	a leader, chief
ἄγος	any matter of religious awe
ἄγρα	a catching, hunting
ἄγραπτος	unwritten
ἄγραυλος	dwelling in the field
ἀγρευτής	a hunter
ἀγρεύω	to take by hunting or fishing, to catch, take
ἀγρέω	to capture, seize
ἀγρία	
ἄγριος	living in the fields
ἀγριόω	to make wild or savage
ἀγροβότης	feeding in the field, dwelling in the country
ἀγρόνομος	haunting the country, rural, wild
ἀγρονόμος	
ἀγρός	fields, lands
ἀγρωστήρ	
ἀγυιά	a street, highway
ἀγύμναστος	unexercised, untrained
ἀγύρτης	a collector
ἄγχι	near, nigh, close by
ἀγχίαλος	near the sea
ἀγχίπτολις	near the city, dwelling hard by
ἀγχιστεία	nearness of kin
ἀγχιστεῖα	
ἀγχιστήρ	one who brings near, the immediate author
ἄγχιστος	nearest
ἀγχόνη	a throttling, strangling, hanging
αγχοῦ	
ἀγχοῦ	near, nigh
ἄγω	to lead or carry, to convey, bring
ἀγωγεύς	one that draws or drags
ἀγωγή	a carrying away, carriage
ἀγών	a number of people brought together, a gathering, assembly
ἀγωνάρχης	judge of a contest
ἀγώνιος	of or belonging to the contest
ἄγωνος	
αδ	
ἀδαής	unknowing how
ἀδάκρυτος	without tears
ἀδάματος	unconquered
ἄδαστος	undivided
ἄδεια	freedom from fear
ἀδελφή	a sister
ἀδελφός	sons of the same mother
ἄδερκτος	not seeing
ἀδήιος	unassailed, unravaged
ἀδηλέω	to be in the dark about
ἄδηλος	not seen or known, unknown, obscure
ᾅδης	
ᾍδης	Hades or Pluto
ἀδηφάγος	eating one's fill, gluttonous
ἀδικέω	to do wrong
ἄδικος	wrong-doing, unrighteous, unjust
ἀδινός	close-packed
ἀδμής	untamed
ἄδμητος	unbroken
ἀδόκητος	unexpected
ᾳ	
ἆ	ah!
α	
ἀᾶ	
ἄατος	insatiate
ἀάω	to hurt, damage
Ἀβαῖσι	
ἄβατον	
ἄβατος	untrodden, impassable, inaccessible
ἀβλαβής	without harm
ἀβουλία	want of counsel, thoughtlessness
ἄβουλος	inconsiderate, ill-advised
ἁβρός	delicate, graceful, beauteous, pretty
ἁβρύνω	to make delicate, treat delicately
ἀγαθός	good
ἀγακλειτός	
ἄγαλμα	a glory, delight, honour
ἄγαμαι	to wonder, be astonished
Ἀγαμεμνονίδης	Agamemnon's son
Ἀγαμέμνων	the very steadfast
ἄγαμος	unmarried, unwedded, single
ἄγαν	very, much, very much
ἀγαστός	deserving admiration
