Field1	Field2
f	
Ἀαρασσόν	
ἄατος	insatiate
ἀάω	to hurt, damage
Ἀβαείτιδος	
Ἀβαειτῶν	
Ἀβαί	
Ἄβαι	
Ἀβαντίς	
Ἄβαρις	
Ἄβας	
ἄβατον	
ἄβατος	untrodden, impassable, inaccessible
Ἄβδηρα	
Ἄβδηρος	
Ἀβέακος	
ἄβιος	without a living, starving
ἀβλαβής	without harm
ἀβοήθητος	helpless
Ἄβον	
Ἀβοράκη	
Ἄβος	
Ἀβρεττηνή	
Ἀβρεττηνῆς	
Ἀβρεττηνοῦ	
ἁβροδίαιτος	living delicately
ἄβροχος	unwetted, unmoistened
ἄβρωτος	
Ἀβυδηνός	
Ἀβυδόθεν	from Abydos
Ἄβυδος	Abydos
Ἀβυδών	
Ἀβυδῶνος	
Ἀβώνου	
Ἀγαθαρχίδης	
ἀγαθῖδας	
Ἀγάθοκλεης	
ἀγαθός	good
Ἀγάθυρνον	
ἀγακλεής	very glorious, famous
ἀγάλλω	to make glorious, glorify, exalt
Ἀγαμέμνων	the very steadfast
Ἀγαμήδης	
ἄγαν	very, much, very much
ἀγανακτέω	to feel irritation
ἀγαπάζω	to treat with affection, shew affection to
ἀγαπάω	to treat with affection, to caress, love, be fond of
ἀγάπη	love
Ἀγαπήνωρ	
ἀγαπήνωρ	loving manliness, manly
ἀγαπητός	beloved
ἀγάρροος	strong-flowing, swift-flowing
ἀγαυός	illustrious, noble
ἀγγελία	a message, tidings, news
ἄγγελος	a messenger, envoy
ἄγγος	a vessel
Ἄγδιστις	
ἄγε	come! come on! well!
ἀγείρω	to bring together, gather together
ἀγέλη	a herd
ἀγεληδόν	in herds or companies
ἀγεώργητος	
ἄγη	wonder, awe, amazement
ἀγησίλαος	leader of people, conductor of men
Ἀγησίλαος	
Ἀγίδας	
ἅγιος	devoted to the gods, sacred, holy
Ἄγις	
ἁγιστεία	holy rites, temple-worship
ἁγιστεύω	to perform sacred rites
Ἀγκαῖος	
ἀγκή	
ἄγκος	a bend
ἀγκυλότοξος	with curved bow
Ἄγκυρα	
ἄγκυρα	anchor
ἀγκών	the bend of the arm, the elbow
