Field1	Field2
ἆ	ah!
̔Α	
̂̓Α	
Α	
̔́Α	
ἀαγής	unbroken, not to be broken, hard, strong
ἄατος	insatiate
ἀάω	to hurt, damage
ἀβλαβής	without harm
ἄγαθος	
ἀγαθός	good
ἀγάλλω	to make glorious, glorify, exalt
ἄγαλμα	a glory, delight, honour
ἄγαμαι	to wonder, be astonished
̓Αγαμέμνων	
ἄγαν	very, much, very much
ἀγανός	mild, gentle, kindly
ἀγαπάω	to treat with affection, to caress, love, be fond of
ἀγαπητός	beloved
̓Αγαύα	
ἀγαυός	illustrious, noble
ἀγγέλλω	to bear a message
ἄγγελος	a messenger, envoy
ἄγγος	a vessel
ἄγε	come! come on! well!
̓Αγεάνακτι	
̓Αγεάνακτος	
ἀγείρω	to bring together, gather together
ἀγελαῖος	belonging to a herd, feeding at large
ἀγέλη	a herd
ἀγεληδόν	in herds or companies
ἄγη	wonder, awe, amazement
ἀγήραος	not waxing old, undecaying
ἀγητός	admirable, wondrous
ἀγκάς	in or into the arms
̓́Αγκεα	
ἀγκή	
ἀγκίστριον	a fish-hook
ἄγκιστρον	a fish-hook
ἄγκοινα	
ἀγκοίνη	the bent arm
ἄγκος	a bend
ἀγκύλος	crooked, curved
ἀγλάαν	
ἀγλαίζω	to make bright or splendid
ἀγνοέω	not to perceive or know
ἁγνός	full of religious awe
ἄγνυμι	to break, shiver
ἀγοράζω	to be in the ἀγορά
ἀγορεύω	to speak in the assembly, harangue, speak
ἀγοστός	the flat of the hand
ἄγρα	a catching, hunting
ἀγρευτήρ	
ἀγρευτής	a hunter
ἀγρεύω	to take by hunting or fishing, to catch, take
ἀγρέω	to capture, seize
ἀγρία	
̓́Αγριε	
ἀγριέλαιος	of a wild olive
ἄγριος	living in the fields
ἄγροικος	of or in the country
ἀγροῖκος	
ἀγροιώτης	a countryman
ἀγροιῶτις	
ἀγρός	fields, lands
ἀγρότερος	wild
ἀγρυπνέω	to lie awake, be wakeful
ἀγρυπνία	sleeplessness, waking, watching
ἄγρυπνος	hunting after sleep
ἄγρωστις	a grass that mules fed on
ἀγχίαλος	near the sea
ἀγχίθυρος	next door
̓Αγχίσην	
ἀγχόθι	near
ἀγχόμορος	
ἄγχω	to compress, press tight
ἄγω	to lead or carry, to convey, bring
ἀγών	a number of people brought together, a gathering, assembly
ἄγωνος	
ἀδάκρυτος	without tears
ἀδαμάντινος	adamantine
ἀδάμας	
ἀδελφή	a sister
ἀδελφός	sons of the same mother
ἅδην	to eat their fill
ἀδηφάγος	eating one's fill, gluttonous
ἀδίαντον	
ἀδίαντος	unwetted
ἀδικέω	to do wrong
ἄδικος	wrong-doing, unrighteous, unjust
ἀδινός	close-packed
̔́Αδιον	
ἄδολος	without fraud, guileless
ἅδος	satiety, loathing
̓Αδρήστοιο	
̔Αδύ	
̓́Αδων	
̓́Αδωνι	
