Field1	Field2
Α'	
ἄβρωτος	
'ἀγαθῇ	
ἀγαθός	good
ἀγανακτέω	to feel irritation
ἀγνοέω	not to perceive or know
ἀγνώς	unknown
ἄγνωστος	unknown
ἄγνωτος	
ἀγορά	an assembly of the people
ἀγοράζω	to be in the ἀγορά
ἀγοραῖος	in, of, or belonging to the ἀγορά
ἀγοράομαι	to meet in assembly, sit in debate
ἄγος	any matter of religious awe
ἀγρέω	to capture, seize
ἀγροικία	rusticity, boorishness, coarseness
ἄγροικος	of or in the country
ἀγρός	fields, lands
ἀγρυπνία	sleeplessness, waking, watching
ἄγω	to lead or carry, to convey, bring
ἀγωγή	a carrying away, carriage
ἀγών	a number of people brought together, a gathering, assembly
ἀδαξᾶσθαι	
ἀδελφή	a sister
ἀδικέω	to do wrong
ἀδικία	wrong-doing, injustice
ἀδολεσχέω	to talk idly, prate
ἀδολέσχης	a garrulous fellow, idle talker
ἀδολεσχία	garrulity, idle talk
ἀεί	always, for ever
ἀείδω	to sing
ἄεισμα	
ἀεκούσιος	against one's will, involuntary
ἀέκων	against one's will, unwilling
ἀηδής	unpleasant to the taste, distasteful
ἀηδία	unpleasantness, nauseousness
ἀήρ	the lower air, the air
ἀθεραπευσία	neglect of θεῶν
'Ἀθηνᾶ	
Ἀθηναῖος	Athenian, of or from Athens
ἀθρόος	in crowds or masses, crowded together
αἰδοῖον	the genitals, pudenda
αἰδοῖος	regarded with reverence, august, venerable
Αἰθίοψ	burnt-face
αἷμα	blood
αἱρέω	to take with the hand, grasp
αἴρω	to take up, raise, lift up
αἰσχροκέρδεια	base covetousness
Αἰσχροκερδειάς	
αἰσχροκερδής	sordidly greedy of gain
αἰσχρός	causing shame, abusive
αἰσχύνω	to make ugly, disfigure, mar
αἰτέω	to ask, beg
αἴτιος	to blame, blameworthy, culpable
ἀκαιρία	unfitness of times: unseasonableness
ἄκαιρος	ill-timed, unseasonable, inopportune
ἀκέομαι	to heal, cure
ἀκή	a point
ἀκολουθέω	to follow
ἀκόλουθος	following, attending on
ἀκούσιος	
ἀκούω	to hear
ἄκρα	a headland, foreland, cape
ἀκρασία	bad mixture, ill temperature
ἀκρίβεια	exactness, minute accuracy, precision
ἀκριβής	exact, accurate, precise, made or done to a nicety
ἀκριβόω	to make exact or accurate
ἀκριβῶς	
ἀκρόδρυα	fruit-trees
ἄκρος	at the furthest point
ἀλαζονεία	false pretension, imposture, quackery
ἀλαζών	a vagabond
ἅλας	salt
ἀλέγω	to trouble oneself, have a care
ἀλείφω	to anoint with oil, oil
ἀλέξανδρος	defending men
Ἀλέξανδρος	
ἀλέω	to grind, bruise, pound
ἁλή	
ἀληθής	unconcealed, true
ἁλής	assembled, thronged, in a mass, all at once
ἁλίζω	
'ἀλλ'	
ἀλλά	otherwise, but
ἄλλος	alius, another, one besides
ἀλλότριος	of or belonging to another
