Field1	Field2
ἀβασάνιστος	not examined by torture, untortured
ἀβασίλευτος	not ruled by a king
Ἀβδηρίτης	a man of Abdera
Ἄβδηρος	
ἀβλαβής	without harm
ἀβουλία	want of counsel, thoughtlessness
ἄβουλος	inconsiderate, ill-advised
ἁβροδίαιτος	living delicately
Ἁβρώνιχος	
Ἄβυδος	Abydos
Ἀγαθαρχίδης	
Ἀγάθαρχος	
ἀγαθός	good
ἀγάλλω	to make glorious, glorify, exalt
ἄγαλμα	a glory, delight, honour
Ἀγαμέμνων	the very steadfast
ἄγαν	very, much, very much
ἀγανακτέω	to feel irritation
ἀγανάκτησις	irritation
ἀγαπάζω	to treat with affection, shew affection to
ἀγαπάω	to treat with affection, to caress, love, be fond of
ἀγάπη	love
ἀγγεῖον	
ἀγγελία	a message, tidings, news
ἀγγέλλω	to bear a message
ἄγγελμα	a message, tidings, news
ἄγγελος	a messenger, envoy
ἄγε	come! come on! well!
ἀγείρω	to bring together, gather together
ἄγη	wonder, awe, amazement
ἀγήραος	not waxing old, undecaying
Ἀγησανδρίδας	
Ἀγήσανδρος	
Ἀγησιππίδαν	
Ἄγις	
ἄγκυρα	anchor
ἀγνοέω	not to perceive or know
ἄγνοια	want of perception, ignorance
ἁγνός	full of religious awe
ἄγνυμι	to break, shiver
Ἅγνων	
Ἁγνώνεια	
ἀγνώς	unknown
ἀγνωσία	ignorance
ἄγνωστος	unknown
ἀγορά	an assembly of the people
ἀγοράζω	to be in the ἀγορά
ἀγοράομαι	to meet in assembly, sit in debate
ἀγορεύω	to speak in the assembly, harangue, speak
ἄγος	any matter of religious awe
ἀγός	a leader, chief
ἄγρα	a catching, hunting
Ἀγραί̈δα	
Ἀγραϊκόν	
Ἄγραιος	
ἀγραῖος	
ἄγραφος	unwritten
ἀγρέω	to capture, seize
Ἀγριάν	
ἄγριος	living in the fields
ἀγρός	fields, lands
ἀγρυπνία	sleeplessness, waking, watching
ἀγυιά	a street, highway
ἀγχίστροφος	turning closely, quick-wheeling
ἀγχώμαλος	nearly equal
ἄγω	to lead or carry, to convey, bring
ἀγωγή	a carrying away, carriage
ἀγωγός	leading
ἀγών	a number of people brought together, a gathering, assembly
ἀγωνίζομαι	to contend for a prize
ἀγώνισις	contest for a prize
ἀγώνισμα	a contest
ἀγωνισμός	rivalry
ἀγωνιστής	a rival
ἀγωνοθετέω	to direct the games, exhibit them
ἄγωνος	
ἀδεής	without fear, fearless
ἄδεια	freedom from fear
Ἀδείμαντος	
ἀδείμαντος	fearless, dauntless
ἀδελφή	a sister
ἀδελφιδέος	a brother's or sister's son, a nephew
ἀδελφός	sons of the same mother
ἄδεσμος	unfettered, unbound
ἄδηλος	not seen or known, unknown, obscure
ἀδικέω	to do wrong
ἀδίκημα	a wrong done, a wrong
ἀδικία	wrong-doing, injustice
ἄδικος	wrong-doing, unrighteous, unjust
Ἄδμητος	
ἄδμητος	unbroken
ἀδόκητος	unexpected
ἄδολος	without fraud, guileless
ἀδοξία	ill-repute, disgrace
ἀδυνασία	
ἀδύνατος	unable
ἄδωρος	without gifts, taking none, incorruptible
ἀεί	always, for ever
ἀείδω	to sing
ἀείμνηστος	ever to be remembered
ἀεκούσιος	against one's will, involuntary
ἀέκων	against one's will, unwilling
ἀζήμιος	free from further payment: without loss, scot-free
ἀηδών	the songstress
ἀήθεια	unaccustomedness
ἀήθης	unwonted, unusual
ἀήσσητος	unconquered
ἀησσητος	
ἀήττητος	
Ἀθηναγόρης	
Ἀθήναζε	to Athens
Ἀθῆναι	the city of Athens
Ἀθήναια	
Ἀθήναιον	the temple of Athena
Ἀθήναιος	
Ἀθηναῖος	Athenian, of or from Athens
Ἀθηνᾶοι	
Ἀθήνευς	
Ἀθήνη	Athena
Ἀθήνησιν	at Athens
ἀθλητής	a prizefighter
ἄθλιος	gaining the prize
ἆθλον	the prize of contest
ἆθλος	a contest for a prize
ἀθρέω	to look at, gaze at, observe, perceive
ἀθροίζω	to gather together, to muster
ἀθρόος	in crowds or masses, crowded together
ἀθυμέω	to be disheartened, lose heart
ἀθυμία	want of heart, faintheartedness
Ἄθως	mount Athos
αἴ	ha!
Αἰαντίδης	
Αἰγαῖος	Aegaean
Αἰγάλευς	
αἰγιαλός	the sea-shore, beach, strand
Αἴγινα	Aegina
Αἰγιναίη	Aegina
Αἰγιναῖος	of Aegina
αἰγίνη	
Αἰγινήτης	an Aeginetan
Αἰγίτιον	
Αἰγύπτιος	Egyptian
Αἴγυπτος	the river Nile
ἀίδιος	everlasting, eternal
αἰδοῖον	the genitals, pudenda
αἰδοῖος	regarded with reverence, august, venerable
αἰδώς	a sense of shame, shame, modesty, self-respect
Αἰείμνηστος	
Αἰθαιός	
Αἰθιοπία	Ethiopia
Αἰθιόπιος	
αἰκία	injurious treatment, an affront, outrage
αἱμασιά	a wall
αἱματόω	to make bloody, stain with blood
αἱματώδης	blood-red
Αἷμος	
Αἵμων	
Αἰνείας	
Αἰνησίης	
Αἰνιάν	
Αἴνιος	
Αἶνος	
Αἰολάδου	
Αἰολεύς	an Aeolian
αἰολέω	
Αἰολίδης	
Αἰολικός	of or like the Aeolians
Αἰολίς	
αἰόλος	quick-moving
Αἴολος	
Αἱράς	
αἵρεσις	a taking especially
αἱρέω	to take with the hand, grasp
αἴρω	to take up, raise, lift up
αἰσθάνομαι	to perceive, apprehend by the senses, to see, hear, feel
αἴσθησις	perception by the senses
ἀίσθω	to breathe out
Αἰσιμίδης	
αἰσχρός	causing shame, abusive
αἰσχύνη	shame done one, disgrace, dishonour
αἰσχύνω	to make ugly, disfigure, mar
Αἴσωνα	
αἰτέω	to ask, beg
αἴτησις	a request, demand
αἰτία	a charge, accusation
αἰτίαμα	a charge, guilt imputed
αἰτιάομαι	to charge, accuse, censure, blame
αἴτιος	to blame, blameworthy, culpable
Αἴτνη	
Αἰτωλία	
Αἰτωλίη	
Αἰτωλικός	
Αἰτώλιος	
Αἰτωλοί	
Αἰτωλός	
αἰφνίδιος	unforeseen, sudden
αἰχμάλωτος	taken by the spear, captive to one's spear, taken prisoner
αἰών	a period of existence
αἰωρέω	to lift up, raise
ἄκαιρος	ill-timed, unseasonable, inopportune
Ἀκαμαντίς	
Ἀκάνθιοι	
ἀκανθίων	
ἄκανθος	
Ἄκανθος	
Ἀκαρνάν	
Ἀκαρνανίη	
Ἀκαρνανικός	
ἀκάτιον	a light boat
ἄκατος	a light vessel
ἀκέομαι	to heal, cure
ἀκέραιος	unmixed, pure in blood
Ἀκεσίνης	
ἀκηρυκτεί	without needing a flag of truce
ἀκήρυκτος	unannounced, unproclaimed
ἀκίνδυνος	without danger, free from danger
ἀκίνητος	unmoved, motionless
ἄκλειστος	not closed or fastened
ἄκλητος	uncalled, unbidden
ἀκμάζω	to be in full bloom, be at one's prime or perfection
ἀκμή	a point, edge
ἀκοή	a hearing, the sound heard
ἀκολασία	licentiousness, intemperance
ἀκολουθέω	to follow
ἀκόλουθος	following, attending on
ἀκονιτί	without the dust of the arena
ἀκοντίας	
ἀκοντίζω	to hurl a javelin
ἀκόντιον	
ἀκοντιστής	a darter, javelin-man
ἀκούσιος	
ἄκουσις	
ἀκούω	to hear
ἄκρα	a headland, foreland, cape
Ἀκραγαντῖνος	
Ἀκράγας	
ἀκραῖος	dwelling on the heights
ἀκραιφνής	unmixed, pure
ἀκρατής	powerless, impotent
ἄκρατος	unmixed, sheer
ἀκρίβεια	exactness, minute accuracy, precision
ἀκριβής	exact, accurate, precise, made or done to a nicety
ἀκριβόω	to make exact or accurate
ἀκριβῶς	
ἄκριτος	undistinguishable, unarranged, disorderly
ἀκροάομαι	to hearken to, listen to
ἀκρόασις	a hearing or listening
ἀκροατής	a hearer
ἀκροβολίζομαι	to throw from afar, to fight with missiles, to skirmish
ἀκροβόλισις	a skirmishing
ἀκροθίνιον	the topmost part of a heap, the choice part, first-fruits
Ἀκροθῴους	
ἄκρον	the highest or furthest point
ἀκρόπολις	the upper city
ἄκρος	at the furthest point
ἀκροτελεύτιον	the fag-end
ἀκροφύσιον	the snout or pipe of a pair of bellows
ἄκρων	
ἀκρωτήριον	any prominent part
Ἀκταίη	
ἀκταῖος	on the coast
ἀκτέα	the elder-tree
Ἀκτή	
ἀκτή	a headland, foreland, promontory, shore
ἄκτιον	
Ἄκτιον	
ἄκτιος	haunting the shore
ἄκυρον	
ἄκυρος	without authority
ἄκων	a javelin, dart
ἀλάομαι	to wander, stray or roam about
ἀλγεινός	giving pain, painful, grievous
ἀλγέω	to feel bodily pain, suffer
ἄλγιστος	
ἀλγίων	more or most painful, grievous or distressing
ἀλείφω	to anoint with oil, oil
ἀλέξανδρος	defending men
Ἀλέξανδρος	
Ἀλέξαρχον	
Ἀλεξικλέα	
Ἀλεξιππίδης	
ἀλέξω	to ward or keep off, turn away or aside
ἀλέω	to grind, bruise, pound
