Field1	Field2
ἄατος	insatiate
Ἀβαρνίδα	
ἀβασίλευτος	not ruled by a king
ἄβατον	
ἄβατος	untrodden, impassable, inaccessible
ἀβίωτος	not to be lived, insupportable
ἀβλαβής	without harm
Ἀβραδάτᾳ	
Ἀβραδάτα	
Ἀβραδάταν	
Ἀβραδάτας	
Ἀβραδάτος	
Ἀβραδάτου	
Ἀβροζέλμην	
Ἀβροκόμης	
ἁβρός	delicate, graceful, beauteous, pretty
ἁβρότης	delicacy, luxury
ἁβρύνω	to make delicate, treat delicately
Ἀβυδηνός	
Ἄβυδος	Abydos
Ἀγαθῖνον	
Ἀγάθινος	
ἀγαθίς	
ἀγαθός	good
Ἀγάθων	
ἀγάλλω	to make glorious, glorify, exalt
ἄγαλμα	a glory, delight, honour
ἄγαμαι	to wonder, be astonished
Ἀγαμέμνων	the very steadfast
ἄγαμος	unmarried, unwedded, single
ἄγαν	very, much, very much
ἀγανακτέω	to feel irritation
ἀγανός	mild, gentle, kindly
ἀγάομαι	admiring
ἀγαπάζω	to treat with affection, shew affection to
ἀγαπάω	to treat with affection, to caress, love, be fond of
ἀγάπη	love
ἀγαπητός	beloved
Ἀγασίαν	
Ἀγασίας	
Ἀγασίου	
ἀγαστός	deserving admiration
ἀγατός	
ἀγγεῖον	
ἀγγελία	a message, tidings, news
ἀγγέλλω	to bear a message
ἄγγελος	a messenger, envoy
Ἀγγενίδας	
ἄγε	come! come on! well!
ἀγείρω	to bring together, gather together
ἀγελαῖος	belonging to a herd, feeding at large
ἀγέλη	a herd
ἀγένειος	beardless
ἀγεννής	of no family, low-born
ἄγευστος	without taste of, fasting from
ἄγη	wonder, awe, amazement
ἄγημα	anything led, a division
ἀγήραος	not waxing old, undecaying
ἀγήρατον	
ἀγήρατος	
Ἀγησανδρίδας	
Ἀγησανδρίδου	
ἀγησίλαος	leader of people, conductor of men
Ἀγησίλαος	
Ἀγησίπολις	
Ἀγησίστρατος	
Ἀγήτωρ	
Ἀγίης	
ἅγιος	devoted to the gods, sacred, holy
Ἄγις	
ἀγκάλη	the bent arm
ἄγκος	a bend
ἀγκύλη	a loop or noose
ἀγκύλος	crooked, curved
ἄγκυρα	anchor
ἀγκών	the bend of the arm, the elbow
ἀγλαία	splendour, beauty, adornment
Ἀγλαϊτάδα	
Ἀγλαϊτάδας	
ἀγλευκής	
ἀγνοέω	not to perceive or know
ἄγνοια	want of perception, ignorance
ἁγνός	full of religious awe
ἄγνυμι	to break, shiver
ἀγνωμονέω	to act without right feeling, act unfairly
ἀγνωμοσύνη	want of sense, folly
ἀγνώμων	ill-judging, senseless
Ἅγνων	
ἀγνώς	unknown
ἄγνωστος	unknown
ἀγορά	an assembly of the people
ἀγοράζω	to be in the ἀγορά
ἀγοραῖος	in, of, or belonging to the ἀγορά
ἀγορανόμος	a clerk of the market
ἀγοράομαι	to meet in assembly, sit in debate
ἀγοραστής	the slave who bought provisions for the house, the purveyor
ἀγοραστός	
ἀγορεύω	to speak in the assembly, harangue, speak
ἄγος	any matter of religious awe
ἀγός	a leader, chief
ἄγρα	a catching, hunting
ἀγράμματος	without learning
ἄγραφος	unwritten
ἄγρευμα	that which is taken in hunting, booty, prey, spoil
ἀγρευτικός	
ἀγρεύω	to take by hunting or fishing, to catch, take
ἀγρέω	to capture, seize
ἄγριος	living in the fields
ἀγριότης	wildness, savageness
ἀγριόω	to make wild or savage
ἀγροῖκος	
ἄγροικος	of or in the country
ἀγρός	fields, lands
Ἀγροτέρη	
ἀγρότερος	wild
ἀγρυπνέω	to lie awake, be wakeful
ἀγρυπνία	sleeplessness, waking, watching
ἀγυιά	a street, highway
ἀγυιεύς	
ἀγύμναστος	unexercised, untrained
Ἀγύρριος	
ἀγχέμαχος	fighting hand to hand
ἀγχίνοος	ready of wit, sagacious, shrewd
ἀγχιτέρμων	near the borders, neighbouring
ἄγω	to lead or carry, to convey, bring
ἀγωγεύς	one that draws or drags
ἀγωγή	a carrying away, carriage
ἀγώγιμος	easy to be led or carried
ἀγώγιον	the load of a wagon
ἀγών	a number of people brought together, a gathering, assembly
ἀγωνία	a contest, struggle for victory
ἀγωνίζομαι	to contend for a prize
ἀγώνισμα	a contest
ἀγωνιστέον	
ἀγωνιστέος	one must contend
ἀγωνιστής	a rival
ἀγωνοθέτης	judge of the contests, director of the games
ἄγωνος	
ἀδαής	unknowing how
ἀδάμαστος	inflexible
Ἀδέαν	
ἀδεής	without fear, fearless
ἄδεια	freedom from fear
ἀδείμαντος	fearless, dauntless
Ἀδείμαντος	
ἄδειπνος	supperless
ἀδελφή	a sister
ἀδελφιδῆ	a brother's or sister's daughter, a niece
ἀδελφός	sons of the same mother
ἄδηλος	not seen or known, unknown, obscure
ἀδημονέω	to be sorely troubled
ᾍδης	Hades or Pluto
ἀδῄωτος	not ravaged
ἀδιάβατος	not to be passed
ἀδιάσπαστος	
ἀδιήγητος	indescribable
ἀδικέω	to do wrong
ἀδίκημα	a wrong done, a wrong
ἀδικία	wrong-doing, injustice
ἄδικος	wrong-doing, unrighteous, unjust
ἀδόκιμος	not standing the test, spurious
ἀδολεσχέω	to talk idly, prate
ἄδολος	without fraud, guileless
ἀδοξέω	to be held in no esteem, to stand in ill repute
ἀδοξία	ill-repute, disgrace
ἄδοξος	inglorious, disreputable
Ἀδούσιον	
Ἀδούσιος	
Ἀδουσίῳ	
Ἀδραμύττιον	
ἁδρός	thick
ἁδρύνω	to make ripe, ripen
ἀδυναμία	want of strength or power, inability, incapacity
ἀδυνατέω	to want strength
ἀδύνατος	unable
ἀεί	always, for ever
ἀειγενής	everlasting
ἀείδω	to sing
ἀείζωος	
ἀείμνηστος	ever to be remembered
ἀείρω	to lift, heave, raise up
ἄεισμα	
ἀεκούσιος	against one's will, involuntary
ἀέκων	against one's will, unwilling
ἀέναος	ever-flowing
ἀενάων	
ἀεργία	a not working, idleness
ἀερομετρέω	to measure the air: to lose oneself in vague speculation
ἀετός	an eagle
ἀζήμιος	free from further payment: without loss, scot-free
ἀηδής	unpleasant to the taste, distasteful
ἀήθης	unwonted, unusual
ἀησσητος	
ἀήττητος	
ἀθάνατος	undying, immortal
ἀθέατος	unseen, invisible
ἄθεμις	lawless
ἀθέμιστος	lawless, without law
ἀθέμιτος	
ἄθεος	without God, denying the gods
ἀθεράπευτος	uncared for, of animals
Ἀθημαίων	
Ἀθηνάδης	
Ἀθήναζε	to Athens
Ἀθῆναι	the city of Athens
Ἀθήναια	
Ἀθήναιον	the temple of Athena
Ἀθηναῖος	Athenian, of or from Athens
Ἀθήναιος	
Ἀθήνευς	
Ἀθήνη	Athena
Ἀθήνηθεν	from Athens
Ἀθήνησιν	at Athens
ἀθήρ	an ear of corn
ἀθήρευτος	not hunted
ἀθλητής	a prizefighter
ἄθλιος	gaining the prize
ἀθλιότης	suffering, wretchedness
ἆθλον	the prize of contest
ἆθλος	a contest for a prize
ἀθορύβητος	undisturbed
ἀθρέω	to look at, gaze at, observe, perceive
ἀθρητέον	one must consider
ἀθρητέος	
ἀθροίζω	to gather together, to muster
ἁθροιστέον	
ἀθρόος	in crowds or masses, crowded together
ἀθυμέω	to be disheartened, lose heart
ἀθυμητέον	one must lose heart
ἀθυμητέος	
ἀθυμία	want of heart, faintheartedness
ἄθυμος	without heart, fainthearted
ἄθυτος	not offered
ἀθωράκιστος	without breastplate
Αἴας	Ajax
Αἰγαιεῖς	
Αἰγαῖος	Aegaean
αἰγιαλός	the sea-shore, beach, strand
Αἴγινα	Aegina
Αἰγιναῖος	of Aegina
αἰγίνη	
Αἰγινήτης	an Aeginetan
Αἰγόσθενα	
Αἰγοσθένοις	
αἰγυπτία	
Αἰγύπτιος	Egyptian
Αἴγυπτος	the river Nile
αἰδέομαι	to be ashamed to do
αἰδήμων	bashful, modest
ἀίδιος	everlasting, eternal
αἰδοῖον	the genitals, pudenda
αἰδοῖος	regarded with reverence, august, venerable
αἰδώ	
αἰδώς	a sense of shame, shame, modesty, self-respect
αἴητος	terrible, mighty
αἰθήρ	ether, the brighter purer air, the sky
Αἰθιοπία	Ethiopia
Αἰθιόπιος	
αἰθρία	in clear weather
αἰθριάω	to be clear
αἴθω	to light up, kindle
αἴθων	fiery, burning, blazing
αἰκίζω	to treat injuriously, to plague, torment
αἷμα	blood
αἱματόω	to make bloody, stain with blood
Αἰνείας	
Αἰνησίης	
Αἰνιάν	
αἴξ	a goat
Αἰξωνέων	
Αἰολεύς	an Aeolian
αἰολέω	
Αἰολίδης	
Αἰολίς	
αἶρα	
αἱρέσιμος	that can be taken
αἵρεσις	a taking especially
αἱρετέος	to be taken, desirable
αἱρετής	
αἱρετός	that may be taken or conquered
αἱρέω	to take with the hand, grasp
αἴρω	to take up, raise, lift up
αἰσθάνομαι	to perceive, apprehend by the senses, to see, hear, feel
αἴσθησις	perception by the senses
ἀίσθω	to breathe out
αἴσιος	boding well, auspicious
αἶσις	
Αἰσχίνης	
αἶσχος	shame, disgrace
αἰσχροκέρδεια	base covetousness
αἰσχροκερδής	sordidly greedy of gain
αἰσχρολογία	foul language, abuse
αἰσχρός	causing shame, abusive
αἰσχρουργία	shameless conduct
Αἰσχύλος	
αἰσχύνη	shame done one, disgrace, dishonour
αἰσχυνομένη	
αἰσχυντέον	
αἰσχυντέος	one must be ashamed
αἰσχύνω	to make ugly, disfigure, mar
αἰτέω	to ask, beg
αἰτητέον	one must ask
αἰτητέος	
αἰτία	a charge, accusation
αἰτιάζομαι	to be accused
αἰτιάομαι	to charge, accuse, censure, blame
αἰτιατέον	one must accuse
αἰτιατέος	
αἴτιος	to blame, blameworthy, culpable
Αἰτωλία	
Αἰτωλίη	
Αἰτώλιος	
Αἰτωλοί	
Αἰτωλός	
αἰχμάλωτος	taken by the spear, captive to one's spear, taken prisoner
αἰχμή	the point of a spear
αἰχμητής	a spearman
αἰών	a period of existence
αἰωρέω	to lift up, raise
Ἀκαδημέᾳ	
Ἀκαδήμεια	the Academy
ἀκάθαρτος	uncleansed, unclean, impure
ἄκαιρος	ill-timed, unseasonable, inopportune
ἄκαμπτος	unbent, that will not bend, rigid
Ἀκάνθιοι	
Ἀκάνθιος	
ἄκανθος	
Ἄκανθος	
Ἀκαρνάν	
Ἀκαρνανίη	
ἀκαταφρόνητος	not to be despised, important
ἀκάτιον	a light boat
ἄκαυστος	unburnt
ἀκέομαι	to heal, cure
ἀκέραιος	unmixed, pure in blood
ἀκερδής	without gain, bringing loss
ἀκεστής	menders
ἀκεστός	curable
ἀκήρατος	unmixed, uncontaminated, undefiled
ἀκήρυκτος	unannounced, unproclaimed
ἀκινάκης	a short straight sword
ἀκίνδυνος	without danger, free from danger
ἀκίνητος	unmoved, motionless
ἀκλεής	without fame, inglorious, unsung
ἄκλειστος	not closed or fastened
ἄκλητος	uncalled, unbidden
ἀκμάζω	to be in full bloom, be at one's prime or perfection
ἀκμή	a point, edge
ἀκοή	a hearing, the sound heard
ἀκόλαστος	licentious, intemperate
ἀκολουθέω	to follow
ἀκολουθητέον	one must follow
ἀκολουθητέος	
ἀκόλουθος	following, attending on
ἀκονάω	to sharpen, whet
ἀκόνη	a whetstone, hone
ἀκονιτί	without the dust of the arena
ἀκονιτικός	made of aconite
ἀκοντίας	
ἀκοντίζω	to hurl a javelin
ἀκόντιον	
ἀκόντισις	javelin-throwing
ἀκόντισμα	a javelin's throw
ἀκοντισμός	
ἀκοντιστής	a darter, javelin-man
ἀκοντιστικός	skilled in throwing the javelin
ἄκοπος	without weariness
ἀκόρεστος	insatiate
ἀκόσμητος	unarranged, unorganised
Ἀκουμενός	
ἀκούσιος	
ἄκουσις	
ἄκουσμα	a thing heard
ἀκουστέον	one must hear or hearken to
ἀκουστέος	
ἀκουστής	
ἀκουστός	heard, audible
ἀκούω	to hear
ἄκρα	a headland, foreland, cape
Ἀκράγας	
ἀκρασία	bad mixture, ill temperature
ἀκράτεια	incontinence, want of self-control
ἀκρατής	powerless, impotent
ἄκρατος	unmixed, sheer
ἀκρίβεια	exactness, minute accuracy, precision
ἀκριβής	exact, accurate, precise, made or done to a nicety
ἀκριβόω	to make exact or accurate
ἀκριβῶς	
ἀκρισία	want of distinctness
Ἀκρίσιος	
ἄκριτος	undistinguishable, unarranged, disorderly
ἀκρόαμα	anything heard with pleasure
ἀκροάομαι	to hearken to, listen to
ἀκροβολίζομαι	to throw from afar, to fight with missiles, to skirmish
ἀκροβόλισις	a skirmishing
ἀκροβολιστής	
ἀκροβόλος	a slinger, skirmisher
ἀκρόδρυα	fruit-trees
ἀκροθίνιον	the topmost part of a heap, the choice part, first-fruits
Ἀκροκόρινθος	the citadel of Corinth
ἀκροκόρινθος	
ἄκρον	the highest or furthest point
ἀκρόπολις	the upper city
ἄκρος	at the furthest point
ἀκροτομέω	to lop off, shave the surface
ἀκρωλένιον	
ἀκρωμία	the point of the shoulder
ἄκρων	
ἀκρωνυχία	the tip of the nail
ἀκρώρεια	a mountain-ridge
Ἀκρωρείους	
Ἀκρωρείων	
ἀκρωτηριάζω	to cut off the extremities, mutilate
ἀκρωτήριον	any prominent part
ἀκτέον	
ἀκτέος	one must lead
ἀκτή	a headland, foreland, promontory, shore
ἀκτίς	a ray, beam
ἄκυρον	
ἄκυρος	without authority
ἄκων	a javelin, dart
ἀλαζονεία	false pretension, imposture, quackery
ἀλαζονεύομαι	to make false pretensions
ἀλαζονικός	boastful, braggart
ἀλαζών	a vagabond
ἀλαλάζω	to raise the war-cry
ἀλγεινός	giving pain, painful, grievous
ἀλγέω	to feel bodily pain, suffer
ἀλγηδών	a sense of pain, pain, suffering
ἄλγος	pain
ἀλγύνω	to pain, grieve, distress
ἀλέα	an escape
ἀλεεινός	open to the sun, warm, hot
Ἀλέη	
ἀλείφω	to anoint with oil, oil
ἀλεκτρυών	a cock
ἀλέξανδρος	defending men
Ἀλέξανδρος	
ἀλεξητήρ	one who keeps off
ἀλεξητήριος	able to keep off
Ἀλεξίης	
ἀλέξιον	
Ἀλεξιππίδης	
ἀλέξω	to ward or keep off, turn away or aside
ἀλέτης	a grinder
ἄλευρον	wheaten flour
Ἄλευς	
ἀλέω	to grind, bruise, pound
ἁλή	
Ἅλη	
ἀλήθεια	truth
ἀληθεύω	to speak truth
ἀληθής	unconcealed, true
ἀληθινός	agreeable to truth
ἁλία	an assembly of the people
Ἁλιαρτίων	
Ἁλίαρτος	
Ἁλιέαι	
ἁλιεύς	one who has to do with the sea
ἁλιευτικός	of or for fishing
ἁλίζω	
Ἁλίη	
ἁλίη	
ἄλιθος	without stones, not stony
ἀλιμενότης	want of harbours
ἅλιος	
ἁλίπεδον	a plain by the sea
ἅλις	in heaps, crowds, swarms, in abundance, in plenty
Ἁλίσαρναν	
Ἁλισάρνης	
ἁλίσκομαι	to be taken, conquered
Ἄλκαθος	
Ἀλκέτης	
Ἄλκετος	
Ἀλκεύνα	
ἀλκή	strength
Ἀλκή	
Ἀλκιβάδης	
Ἀλκιβιάδης	
Ἀλκιμένης	
ἄλκιμος	strong, stout
ἀλλά	otherwise, but
ἀλλάσσω	to make other than it is, to change, alter
ἀλλαχῆ	elsewhere, in another place
ἀλλαχοῦ	elsewhere
ἄλλῃ	in another place, elsewhere
ἀλληλοφόνοι	murdering one another
ἀλλήλων	of one another, to one another, one another
ἀλλοδαπός	belonging to another people or land, foreign, strange
ἄλλοθεν	from another place
ἄλλοθι	elsewhere, in another place, in a strange
ἀλλοῖος	of another sort or kind, different
ἀλλοιόω	to make different, to change, alter
ἅλλομαι	to spring, leap, bound
ἄλλος	alius, another, one besides
ἄλλοτε	at another time, at other times
ἀλλότριος	of or belonging to another
ἀλλοτριόω	to estrange from
ἀλλοτρίωσις	estrangement
ἄλλου	
ἀλλόφυλος	of another tribe, foreign
ἄλλως	in another way or manner
ἅλμα	a spring, leap, bound
ἅλμη	sea-water, brine
ἁλμυρός	salt, briny
ἀλμώδης	
ἀλοατός	
ἀλοάω	to thresh, thresh out
ἄλοβος	with a lobe wanting
ἀλόγιστος	unreasoning, inconsiderate, thoughtless, heedless
ἄλογος	without λόγος
ἀλόη	
ἄλσος	a glade or grove
ἁλτικός	good at leaping
Ἄλτις	
Ἀλυζείᾳ	
Ἀλύζειαν	
ἀλύπητος	not pained or grieved
ἄλυπον	
ἄλυπος	without pain
Ἅλυς	
ἅλυσις	a chain
ἀλυσιτελής	unprofitable
ἄλυτος	not to be loosed, indissoluble
ἄλφα	
Ἀλφειός	
ἄλφιτον	peeled or pearl-barley
ἀλφιτοποιία	a making of barley-meal
ἀλφιτοσιτέω	to eat barley-bread
ἅλων	
ἁλώνης	
ἀλωπέκειος	of a fox
ἀλωπεκίς	a foxskin cap
ἀλώπηξ	a fox
ἅλως	a threshing-floor
ἁλώσιμος	easy to take, win
ἅλωσις	a taking, capture, conquest, destruction
ἅμα	at once, at the same time
Ἀμαζών	the Amazons
ἀμαθής	unlearned, ignorant, stupid, boorish
ἀμαθία	ignorance
ἄμαξα	a wagon, wain
ἁμαξιαῖος	large enough to load a wagon
ἁμαξιτός	
ἁμαρτάνω	to miss, miss the mark
ἁμάρτημα	a failure, fault, sin
ἁμαρτία	a failure, fault, sin
ἀμαυρός	dimly seen, dim, faint, baffling sight
ἀμαυρόω	to make dim, faint
ἀμαχεί	without resistance
ἀμαχητί	without battle
ἀμάχητος	not to be fought with, unconquerable
ἄμαχος	without battle
ἀμβάτης	
ἀμβλύς	blunt, dulled, with the edge taken off
ἀμβλυώσσω	to be dim-sighted
ἀμβολάς	thrown up
Ἀμβρακίη	
Ἀμβρακιώτιδες	
Ἀμβρακιωτίδων	
ἀμείβω	to change, exchange
ἀμείνων	better, abler, stronger, braver
ἀμέλει	never mind
ἀμέλεια	indifference, negligence
ἀμελέτητος	unpractised
ἀμελέω	to have no care for, be neglectful of
ἀμελής	careless, heedless, negligent
ἄμεμπτος	not to be blamed, blameless
ἀμεταστρεπτί	without turning, straight forward
ἄμετρος	without measure, immense, excessive, boundless
ἄμη	a shovel or mattock
Ἀμήδοκον	
ἀμηχανέω	to be at a loss for
ἀμηχανία	want of means, helplessness, impotence
ἀμήχανος	without means
ἁμιλλάομαι	to compete, vie, contend with
ἅμιππος	keeping up with horses
ἀμισής	
ἅμμα	anything tied or made to tie
ἄμμος	sand
ἀμνημονέω	to be unmindful
ἄμοιρος	without share in
ἄμορφος	misshapen, unsightly
ἁμός	
ἄμουσος	without the Muses, without taste, unrefined, inelegant, rude, gross
ἄμοχθος	free from toil and trouble
ἄμπελος	a vine
ἀμπεχόνη	a fine robe
ἀμπέχω	to surround, cover
Ἀμπρακιώτης	
ἀμυγδάλινος	of almonds
Ἀμύκλαι	a sort of shoes
Ἀμυκλαίζω	
Ἀμυκλαῖος	
Ἀμύκλης	
ἀμυντέον	
ἀμυντέος	one must assist
ἀμύντης	
Ἀμύντης	
ἀμύνω	to keep off, ward off
Ἀμφεῖον	
ἀμφί	on both sides
ἀμφιάζω	to clothe
ἀμφίαλος	sea-girt
ἀμφί-ἀμφιέννυμι	
Ἀμφιάραος	Amphiaraus
ἀμφιβαίνω	to go about or around
ἀμφίβολος	put round, encompassing
ἀμφιγνοέω	to be doubtful about
Ἀμφιδήμου	
Ἀμφίδολοι	
ἀμφί-δολόω	
ἀμφίδοχμος	as large as can be grasped
ἀμφιέννυμι	to put round or on
ἀμφιθάλασσος	with sea on both sides, sea-girt
ἀμφί-ἵημι	
Ἀμφικράτης	
ἀμφιλέγω	to dispute about
ἀμφίλογος	disputed, disputable
ἀμφιπολέω	to attend constantly, to attend on, watch, guard
ἀμφίπολις	encompassing a city
Ἀμφίπολις	
Ἀμφιπόλιτος	
ἀμφισβητήσιμος	disputed, disputable
ἀμφορεύς	an amphora, jar, urn
ἀμφότερος	each or both of two
ἀμφοτέρωθεν	from or on both sides, utrinque
ἀμφοτέρωθι	on both sides
ἄμφω	
ἄν	
ἀνά	up, upon
ἀνά-αἰσιμόω	
ἀνά-ἄντομαι	
ἀναβαίνω	to go up, mount, to go up to
ἀναβάλλω	to throw or toss up
ἀνάβασις	a going up, mounting
ἀναβάτης	one mounted
ἀναβατικός	skilled in mounting
ἀναβατός	to be mounted
ἀναβιβάζω	to make go up, cause to mount
ἀναβιβαστέον	
ἀναβιβαστέος	one must cause to mount
ἀνάβλεμμα	
ἀναβλέπω	to look up
ἀναβοάω	to shout aloud, utter a loud cry
ἀναβολεύς	a groom who helps one to mount
ἀναβολή	that which is thrown up, a mound
ἀναγγέλλω	to carry back tidings of, report
ἀναγελάω	to laugh loud
ἀναγιγνώσκω	to know well, know certainly
ἀναγκάζω	to force, compel
ἀναγκαίη	
ἀναγκαῖον	a place of constraint, a prison
ἀναγκαῖος	with or by force
ἀναγκαστέος	to be compelled
ἀνάγκη	force, constraint, necessity
ἄναγνος	impure, unclean, unholy, defiled
ἀναγορεύω	to proclaim publicly
ἀναγραφεύς	a registrar
ἀναγραφή	a registering
ἀναγράφω	to engrave and set up
ἀναγρία	
ἀναγρύζω	to keep muttering
ἀνάγω	to lead up
ἀναγωγή	a leading up
ἀνάγωγος	ill-trained
ἀναγώνιστος	without conflict
ἀναδείκνυμι	to lift up and shew
ἀνάδειξις	a proclamation
ἀνάδελφος	without brother or sister
ἀναδέσμη	a band for the hair, a head-band
ἀναδέχομαι	to take up, catch, receive
ἀναδέω	to bind or tie up
ἀνά-δέω	
ἀνάδημα	
ἀναδίδωμι	to hold up and give
ἀναδιπλόομαι	to be made double
ἀναδύνω	to come to the top of water
ἀνά-ἐρῶ	
ἀναζεύγνυμι	to yoke again
ἀναζωπυρέω	
ἀναθαρσέω	to regain courage
