"Root_ID"	"GRRoot"	"IERoot"	"OldRoot_ID"	"alpha"	"Def"	"Note"	"Phonetic"
1	"μιμ"		6211	"μιμ"	"mimic"		
2	"ἀβέλτερ"		10	"αβελτερ"	"stupid"		
3	"ἁβρ"		15	"αβρ"	"delicate"		
4	"ἀγαθ"		20	"αγαθ"	"good"		
5	"ἀγάλλ"		22	"αγαλλ"	"exult"		
6	"ἄγ"		25	"αγ"	"be in awe"		
7	"ἀγανακτέ"		30	"αγανακτε"	"vex"		
8	"ἀγάπ"		36	"αγαπ"	"love"		
9	"ἄγγελ"		44	"αγγελ"	"report"		
10	"ἀγείρ"		46	"αγειρ"	"gather"		
11	"ἀγέλ"		52	"αγελ"	"herd"		
12	"ἄγ"		58	"αγ"	"awe, wonder"		
13	"ἄγκος"		64	"αγκος"	"angle"		
14	"ἄγ"		73	"αγ"	"break"		
15	"ἀγορα"		80	"αγορα"	"assembly"		
16	"ἀγρ"	"agro"	104	"αγρ"	"field"	"pos. > ag1 (lead) [P. = ag p4]"	
17	"ἄγ"		110	"αγ"	"lead"		
18	"ἀγων"		115	"αγων"	"contest, struggle"		
19	"ἀδελφ"		130	"αδελφ"	"sibling"		
20	"ἀδολέσχ"		151	"αδολεσχ"	"talk idly"		
21	"ἀείδ"		171	"αειδ"	"sing"		
22	"ἆθλ"		224	"αθλ"	"contest"		
23	"ἀθρέ"		225	"αθρε"	"look at"		
24	"ἀθρό"		230	"αθρο"	"crowd, gather"		
25	"αἰδώ"		253	"αιδω"	"shame"		
26	"αἷμα"		255	"αιμα"	"blood"		
27	"αἰνιγ"		261	"αινιγ"	"riddle"		
28	"αἱρέ"		273	"αιρε"	"take"		
29	"αἴρ"		274	"αιρ"	"raise"		
30	"αἰσθ"		275	"αισθ"	"perceive"		
31	"αἶσχ"		284	"αισχ"	"ugly"		
32	"αἰτέ"		294	"αιτε"	"beg, demand"		
33	"αἰτία"	"ai"	296	"αιτια"	"cause"	"allot [P. p3. ai- p10] διαιτάω?"	
34	"αἰών"	"aiw, ayu"	303	"αιων"	"a period"		
35	"ἀκμη"		335	"ακμη"	"peak"		
37	"ἀκόλουθ"		344	"ακολουθ"	"follower"		
38	"ἀκόντι"		346	"ακοντι"	"javelin"		
39	"ἀκού"		358	"ακου"	"hear"		
40	"ἀκριβ"		367	"ακριβ"	"accurate"		
41	"ἀκροά"		372	"ακροα"	"a hearer"		
42	"ἄκρ"		377	"ακρ"	"furthest point"		
43	"ἀλαζονεία"		389	"αλαζονεια"	"false pretension"		
44	"ἄλγ"		396	"αλγ"	"pain"		
45	"ἀλείφ"		398	"αλειφ"	"annoint"		
46	"ἀλέ"		408	"αλε"	"grind"		
47	"ἀληθεσ"		413	"αληθεσ"	"true"		
48	"ἁλή"		415	"αλη"	"heap, assembly"		
49	"ἁλίσκ"		421	"αλισκ"	"capture"		
50	"ἀλλαγ"		428	"αλλαγ"	"exchange"		
51	"ἄλλ"		446	"αλλ"	"other"		
52	"ἁμαρτάν"		484	"αμαρταν"	"err"		
53	"ἀμβλύ"		491	"αμβλυ"	"blunt"		
54	"ἀμβροσίη"		495	"αμβροσιη"	"ambrosia"		
55	"ἀμείβ"		497	"αμειβ"	"change"		
56	"ἅμα"		521	"αμα"	"contest"		
57	"ἀμύν"		551	"αμυν"	"ward off"		
58	"ἄμφ"		580	"αμφ"	"two"		
59	"ἀνάγκ"		607	"αναγκ"	"necessity"		
61	"ἄνακ"		691	"ανακ"	"king"		
62	"ἁνδάν"		767	"ανδαν"	"please"		
63	"ἀνδράποδ"		770	"ανδραποδ"	"captive"		
64	"ἄνεμ"		813	"ανεμ"	"wind"		
65	"ἀνήρ"		844	"ανηρ"	"man"		
66	"ἄνθ"		849	"ανθ"	"flower"		
67	"ἀνία"		858	"ανια"	"grieve, distress"		
69	"ἄξιο"		1006	"αξιο"	"worthy"		
70	"ἁπαλός"		1045	"απαλος"	"tender"		
71	"ἅπακ"		1055	"απακ"	"once"		
72	"ἀπάτη"		1064	"απατη"	"deceive"		
73	"ἄπειρος"		1088	"απειρος"	"infinite"		
74	"ἀπήμων"		1107	"απημων"	"unhurt"		
75	"ἁπλόος"		1120	"απλοος"	"single"		
76	"κλεί"		1185	"κλει"	"close"		
77	"λαύ"		1203	"λαυ"	"gain"		
78	"ολλυ"		1211	"ολλυ"	"destroy"		
79	"σβέννυ"		1270	"σβεννυ"	"extinguish"		
80	"ἅπτ"		1349	"απτ"	"touch"		
81	"ἀργός"		1364	"αργος"	"idle"		
82	"ἀργύριον"		1367	"αργυριον"	"silver"		
83	"ἀρετή"		1377	"αρετη"	"virtue"		
84	"ἀριθμός"		1383	"αριθμος"	"number"		
85	"ἄριστον"		1397	"αριστον"	"breakfast"		
86	"ἄριστος"		1398	"αριστος"	"best"		
87	"ἁρμονία"		1415	"αρμονια"	"harmony"		
88	"ἀρνός"		1420	"αρνος"	"a lamb"		
89	"ἄρνυ"		1421	"αρνυ"	"gain, earn"		
90	"ἀρό"		1426	"αρο"	"field, plough"		
91	"ἁρπαγή"		1427	"αρπαγη"	"snatch"		
92	"ἀρτέ"		1439	"αρτε"	"prepare"		
93	"ἀρχή"		1456	"αρχη"	"beginning"		
94	"ἀρωγή"		1469	"αρωγη"	"help, aid"		
95	"ἄσκη"		1492	"ασκη"	"form, fashion"		
96	"ἀσπάζ"		1505	"ασπαζ"	"greet"		
97	"ἀστήρ"		1520	"αστηρ"	"star"		
98	"ἀστράγαλος"		1525	"αστραγαλος"	"neck vertebrae; dice?"		
99	"ἀστραπή"		1526	"αστραπη"	"lightning"		
100	"ἄστυ"		1536	"αστυ"	"city"		
101	"ἄτη"		1574	"ατη"	"reckless impulse"		
102	"αὐγή"		1611	"αυγη"	"light"		
103	"αὐθάδης"		1613	"αυθαδης"	"stubborn"		
104	"αὐλή"		1619	"αυλη"	"court-yard"		
105	"αὐλός"		1627	"αυλος"	"flute"		
106	"αὔξη"		1630	"αυξη"	"growth, augment"		
107	"αὐστηρός"		1635	"αυστηρος"	"harshness"		
109	"αὐτός"		1652	"αυτος"	"self"		
110	"ἀφρός"		1704	"αφρος"	"foam"		
111	"ἄχθος"		1730	"αχθος"	"burden"		
112	"βάθος"		1757	"βαθος"	"deep"		
113	"βα"		1761	"βα"	"go"		
114	"βάλλ"		1773	"βαλλ"	"throw"		
115	"βάπτ"		1776	"βαπτ"	"dip"		
116	"βάραθρον"		1777	"βαραθρον"	"gulf, pit"		
117	"βάρβαρος"		1782	"βαρβαρος"	"barbarian"		
118	"βαρύς"		1787	"βαρυς"	"heavy"		
119	"βάσανος"		1790	"βασανος"	"touchstone"		
120	"βασιλεύς"		1796	"βασιλευς"	"king"		
121	"βέβαιο"		1806	"βεβαιο"	"firm"		
122	"βία"		1816	"βια"	"violence"		
123	"βίβλο"		1823	"βιωβλο"	"book"		
124	"βίο"		1824	"βιο"	"life"		
125	"βλάβη"		1835	"βλαβη"	"harm"		
126	"βλακ"		1838	"βλακ"	"slack, lazy"		
127	"βλάστη"		1842	"βλαστη"	"growth"		
128	"βλέπ"		1849	"βλεπ"	"look"		
129	"βοή"		1855	"βοη"	"shout"		
131	"βόμβος"		1866	"βομβος"	"booming"		
132	"βόρβορος"		1868	"βορβορος"	"mud"		
133	"βορός"		1872	"βορος"	"food"		
134	"βουλεύ"		1888	"βουλευ"	"council"		
135	"βουλή"		1889	"βουλη"	"will"		
136	"βοῦς"		1893	"βους"	"oxen"		
137	"βραβεύς"		1896	"βραβευς"	"judge"		
138	"βραδύς"		1899	"βραδυς"	"slow"		
139	"βραχύς"		1909	"βραχυς"	"short"		
140	"βρῖθος"		1916	"βριθος"	"weight"		
141	"γάμος"		1939	"γαμος"	"marriage"		
142	"γαργαλιζ"		1943	"γαργαλιζ"	"tickle"		
143	"γαστήρ"		1945	"γαστηρ"	"stomach"		
144	"γείτων"		1950	"γειτων"	"neighbor"		
145	"γέλως"		1955	"γελως"	"laughter"		
146	"γέμ"		1957	"γεμ"	"be, full, load"		
147	"γενειά"		1966	"γενεια"	"beard"		
148	"γέρας"		1989	"γερας"	"prize"		
149	"γεύ"		1994	"γευ"	"taste"		
150	"γέφυρα"		1995	"γεφυρα"	"bridge"		
151	"γῆ"		2006	"γη"	"earth"		
152	"γῆρας"		2012	"γηρας"	"old age"		
153	"γεν, γον"		2018	"γεν"	"become"		
154	"γνώ"		2019	"γνω"	"know"		
155	"γλίσχρος"		2026	"γλισχρος"			
156	"γλυκύς"		2031	"γλυκυς"	"sweet"		
157	"γλύφ"		2033	"γλυφ"	"carve"		
158	"γόης"		2051	"γοης"	"wail"		
159	"γοητεία"		2052	"γοητεια"	"beguile"		
160	"γόμφος"		2055	"γομφος"	"bolt"		
161	"γράφ"		2081	"γραφ"	"write"		
162	"γυμνός"		2094	"γυμνος"	"naked"		
163	"γυνή"		2099	"γυνη"	"woman"		
164	"γύψος"		2102	"γυψος"	"chaulk"		
165	"δαίμων"		2112	"δαιμων"	"deity"		
166	"δαίς"		2113	"δαις"	"guest, feast?"		
167	"δακρύ"		2120	"δακρυ"	"cry"		
168	"δάκτυλος"		2124	"δακτυλος"	"finger"		
169	"δαπάνη"		2131	"δαπανη"	"spend"		
170	"δατέ"		2136	"δατε"	"divide"		
171	"δεῖ"		2141	"δει"	"necessary"		
172	"δείδ"		2144	"δειδ"	"fear"		
173	"δείκνυ"		2145	"δεικνυ"	"show"		
174	"δειλός"		2148	"δειλος"	"cowardice"		
175	"δεινός"		2152	"δεινος"	"awesome"		
176	"δεῖπνον"		2159	"δειπνον"	"dinner"		
177	"δέκα"		2163	"δεκα"	"ten"		
178	"δένδρον"		2175	"δενδρον"	"tree"		
179	"δεξιός"		2179	"δεξιος"	"right"		
180	"δέρμα"		2184	"δερμα"	"skin"		
181	"δεσμός"		2190	"δεσμος"	"bondage"		
182	"δεσπότης"		2197	"δεσποτης"	"master"		
183	"δέχ"		2206	"δεχ"	"accept"		
184	"δέ"		2207	"δε"	"need"		
185	"δῆλος"		2213	"δηλος"	"obvious"		
186	"δῆμος"		2241	"δημος"	"deme"		
187	"δίαιτα"		2317	"διαιτα"	"mode of life"		
188	"διάκονος"		2331	"διακονος"	"servent"		
189	"διδάσκ"		2515	"διδασκ"	"teach"		
190	"δω-, δο"		2521	"δω-, δο-"	"give"		
191	"διθύραμβος"		2558	"διθυραμβος"	"dithyramb"		
192	"δίκη"		2576	"δικη"	"justice"		
193	"δίνη"		2581	"δινη"	"whirlpool"		
194	"διπλός"		2627	"διπλος"	"two"		
195	"δίψα"		2646	"διψα"	"thirst"		
196	"δί"		2649	"δι"	"chase"		
197	"δοκή"		2664	"δοκη"	"seem"		
198	"δοκίμιος"		2667	"δοκιμιος"			
199	"δόρυ"		2690	"δορυ"	"spear"		
200	"δοῦλος"		2704	"δουλος"	"slave"		
201	"δραπέτης"		2711	"δραπετης"	"run away"		
202	"δραχμή"		2716	"δραχμη"	"drachma"		
203	"δρά"		2719	"δρα"	"do"		
204	"δρόμος"		2726	"δρομος"	"run"		
205	"δύη"		2734	"δυη"	"woe, pain"		
206	"δύναμις"		2736	"δυναμις"	"power"		
207	"δύο"		2743	"δυο"	"two"		
208	"δύσκολος"		2762	"δυσκολος"	"discontent"		
209	"δύ"		2792	"δυ"	"enter, go down"		
210	"ἐά"		2818	"εα"	"allow"		
211	"ἐγγύη"		2826	"εγγυη"	"pledge"		
212	"ἐγγύς"		2831	"εγγυς"	"near"		
213	"ἐγείρ"		2834	"εγειρ"	"rouse"		
214	"ἕδρα"		2887	"εδρα"	"seat"		
215	"ἔδ"		2889	"εδ"	"eat"		
216	"ἕζ"		2891	"εζ"	"sit"		
217	"ἐθέλ"		2895	"εθελ"	"be willing"		
218	"ἔθ"		2901	"εθ"	"be accustomed"		
219	"εἰ"		2932	"ει"	"be"		
220	"ι, ε"		2933	"ι"	"go"		
221	"ϝεπ"		2935	"ϝεπ"	"say"		
222	"ἕλκ"		3146	"ελκ"	"drag"		
223	"ἐναντίος"		3249	"εναντιος"	"opposite"		
224	"ἑρμηνεία"		3874	"ερμηνεια"	"interpretation"		
225	"ἔρχ"		3897	"ερχ"	"go"		
226	"ἐρῶ"		3899	"ερω"	"will say"		
