SWord_ID1	SWord_ID2
16	5677
25	4423
25	4432
35	3823
35	8622
35	9852
36	3901
36	9863
46	228
46	8756
46	8757
46	8830
46	8859
88	4541
93	5570
94	1428
105	1633
161	1478
190	1719
192	8311
225	1849
225	2906
225	4527
225	6860
225	8501
228	46
228	8756
228	8757
228	8830
228	8859
257	5372
297	6025
297	6345
297	6802
297	10218
393	3697
393	5794
393	6576
393	7823
393	10041
396	2734
396	5793
396	6575
396	10271
499	5470
645	1953
732	5472
738	2143
738	2150
738	3092
738	6286
738	8223
738	8224
767	4140
767	9263
811	816
816	811
858	7390
1014	1503
1014	3118
1014	3811
1014	4596
1014	6019
1014	6637
1014	9540
1014	10268
1045	5877
1045	7878
1046	5868
1046	5872
1046	9473
1141	5300
1141	6577
1141	6702
1141	7389
1211	5513
1211	9079
1211	9822
1238	5777
1238	7700
1270	5899
1349	2207
1349	2517
1349	9097
1349	9164
1428	94
1478	161
1503	1014
1503	3118
1503	3811
1503	4596
1503	6019
1503	6637
1503	9540
1503	10268
1505	2178
1633	105
1719	1719
1756	2935
1756	4323
1756	5657
1756	9815
1761	3897
1761	5295
1761	8616
1801	2270
1801	4895
1816	2736
1816	4817
1816	4971
1816	5461
1816	6031
1816	8359
1816	8414
1840	2210
1849	225
1849	2906
1849	4527
1849	6860
1849	8501
1853	4590
1853	5017
1853	9424
1853	9811
1865	4399
1865	5299
1865	9819
1865	10025
1865	10244
1902	8392
1914	2309
1914	6492
1914	9517
1953	645
2019	3717
2019	6591
2042	9815
2048	2043
2049	2120
2049	5300
2049	6577
2049	6702
2049	7389
2081	5340
2081	10161
2120	2049
2120	5300
2120	6577
2120	6702
2120	7389
2143	738
2143	2150
2143	3092
2143	6286
2143	8223
2143	8224
2145	9965
2148	9937
2150	738
2150	2143
2150	3092
2150	6286
2150	8223
2150	8224
2178	1505
2181	3264
2181	7391
2181	10118
2181	10165
2181	10168
2207	1349
2207	2517
2207	9097
2207	9164
2210	1840
2267	3908
2267	9741
2270	1801
2270	4895
2309	1914
2309	6492
2309	9517
2517	1349
2517	2207
2517	9097
2517	9164
2649	9810
2734	396
2734	5793
2734	6575
2734	10271
2736	1816
2736	4817
2736	4971
2736	5461
2736	6031
2736	8359
2736	8414
2742	4816
2742	4970
2742	5456
2742	5467
2886	2887
2886	4407
2886	4600
2887	2886
2887	4407
2887	4600
2891	4311
2891	4669
2891	4691
2906	1849
2922	9568
2922	10210
2935	1756
2935	3899
2935	5657
2935	9815
3063	5440
3063	5562
3063	8281
3092	738
3092	2143
3092	2150
3092	6286
3092	8223
3092	8224
3108	4692
3108	5286
3108	6897
3108	7382
3108	8402
3118	1014
3118	1503
3118	3811
3118	4596
3118	6019
3118	6637
3118	9540
3118	10268
3264	2181
3264	7391
3264	10118
3264	10165
3264	10168
3366	6789
3697	393
3697	5794
3697	6576
3697	7823
3697	10041
3717	2019
3717	6591
3732	4416
3745	9261
3811	1014
3811	1503
3811	3118
3811	4596
3811	6019
3811	6637
3811	9540
3811	10268
3823	35
3823	8622
3823	9852
3897	1761
3897	5295
3899	1756
3899	2935
3899	4323
3899	5657
3899	9815
3901	35
3901	9863
3908	2267
3908	9741
3970	2043
3970	2048
3987	5002
3987	5354
3987	6511
3987	9625
4062	5328
4062	5369
4062	8683
4062	10064
4140	767
4140	9263
4147	5750
4282	10037
4284	4285
4284	9264
4284	10067
4285	4284
4285	9264
4285	10067
4295	4370
4311	2891
4311	4669
4311	4691
4323	1756
4323	2935
4323	5657
4323	9815
4370	4295
4399	1865
4399	5299
4399	9819
4399	10025
4399	10244
4400	4401
4400	9830
4400	10026
4400	10246
4407	2886
4407	2887
4407	4600
4416	3732
4423	25
4423	4432
4431	9257
4432	25
4432	4423
4460	5411
4460	5508
4460	7226
4460	7688
4460	8737
4460	9482
4462	4610
4462	9494
4526	9405
4527	225
4527	1849
4527	2906
4527	6860
4527	8501
4541	88
4542	4548
4542	4833
4542	8402
4548	4542
4548	4833
4548	8402
4590	1853
4590	5017
4590	9424
4590	9811
4596	1014
4596	1503
4596	3118
4596	3811
4596	6019
4596	6637
4596	9540
4596	10268
4597	5393
4600	2886
4600	2887
4600	4407
4610	4462
4610	9494
4628	5373
4630	5375
4669	2891
4669	4311
4669	4691
4691	2891
4691	4311
4691	4669
4692	3108
4692	5286
4692	6897
4692	7382
4692	8402
4698	4705
4705	4698
4725	7720
4725	7722
4814	4818
4814	5457
4814	8360
4816	2742
4816	4970
4816	5456
4816	5467
4817	1816
4817	2736
4817	4971
4817	5461
4817	6031
4817	8359
4817	8414
4818	4814
4818	5457
4818	8360
4833	4542
4833	4548
4833	8402
4873	2891
4873	4311
4894	8752
4895	1801
4895	2270
4931	4932
4932	4931
4945	5591
4970	2742
4970	4816
4970	5456
4970	5467
4971	1816
4971	2736
4971	4817
4971	5461
4971	6031
4971	8359
4971	8414
5002	3987
5002	4869
5002	6511
5002	9625
5017	1853
5017	4590
5017	9424
5017	9811
5091	5091
5189	9311
5196	6571
5286	3108
5286	4692
5286	6897
5286	7382
5286	8402
5295	1761
5295	3897
5299	1865
5299	4399
5299	9819
5299	10025
5299	10244
5300	2049
5300	2120
5300	6577
5300	6702
5300	7389
5328	4062
5328	5369
5328	8683
5328	10064
5340	2081
5340	10161
5354	3987
5354	5002
5354	6511
5354	9625
5369	4062
5369	5328
5369	8683
5369	10064
5372	257
5373	4628
5375	4630
5393	4597
5405	9950
5411	4460
5411	5508
5411	7226
5411	7688
5411	8737
5411	9482
5440	3063
5440	5562
5456	2742
5456	4816
5456	4970
5456	5467
5457	4814
5457	4818
5461	1816
5461	2736
5461	4817
5461	4971
5461	6031
5461	8359
5461	8414
5467	2742
5467	4816
5467	4970
5467	5456
5470	499
5472	732
5506	5507
5507	5506
5508	4460
5508	5411
5508	7226
5508	7688
5508	8737
5508	9482
5513	1211
5513	9079
5549	9191
5562	3063
5562	5440
5562	8281
5570	93
5581	9475
5591	4945
5657	1756
5657	2935
5657	4323
5657	9782
5657	9815
5659	10113
5677	16
5706	9935
5729	8639
5729	9505
5750	4147
5777	1238
5777	7700
5793	396
5793	2734
5793	6575
5793	10271
5794	393
5794	3697
5794	6576
5794	7823
5794	10041
5868	1046
5868	9473
5870	5870
5870	5874
5870	6861
5870	7885
5870	10138
5872	1046
5872	9473
5874	5870
5874	5874
5874	6861
5874	7885
5874	10138
5877	1045
5877	7878
5899	1270
6019	1014
6019	1503
6019	3118
6019	3811
6019	4596
6019	6637
6019	9540
6019	10268
6024	10220
6025	297
6025	6345
6025	6802
6025	10218
6026	6791
6031	1816
6031	2736
6031	4817
6031	4971
6031	5461
6031	8359
6031	8414
6061	7659
6062	7595
6172	8778
6199	10008
6199	10009
6286	738
6286	2143
6286	2150
6286	3092
6286	8223
6286	8224
6331	6381
6331	8319
6345	297
