"ID"	"word"	"def"	"spionicword"	"partid"	"btid"	"root"	"uncertain"	"Note"	"root_word"	"alpha"	"lucidaword"	"present"	"future"	"aorist"	"perfect"	"perfmid"	"aoristpass"	"compound"	"verbclass"	"Gender"	"beta"	"Spaces"	"Level"	"Parent"
1	"α"		"a "	1	0	0	0		0	"a"	"ἀ̂"							0	0	0	"a"	0	0	0
2	"ἀ"		"a) "	0	0	0	0		0	"a"	"ἀ"							0	0	0	"a)"	0	0	0
3	"ἆ"	"ah!"	"a)= "	4	0	0	0		0	"a"	"α"							0	0	0	"a)="	0	0	0
4	"ἄατος"	"insatiate"	"a)/atoj"	3	0	0	0		0	"aator"	"ἄατος"							0	0	0	"a)/atos"	0	0	0
5	"Ἀβάριδος"		")Aba/ridoj "	1	0	0	-1		0	"abaqidor"	" ̓Αβάριδος"							0	0	2	"*)aba/ridos"	0	0	0
6	"ἄβατον"		"a)/baton "	3	0	113	0		0	"abatom"	"ἄβατον"							0	0	0	"a)/baton"	0	1	0
7	"ἄβατος"	"untrodden, impassable, inaccessible"	"a)/batoj "	3	0	113	0		0	"abator"	"ἄβατος"							0	0	0	"a)/batos"	0	2	0
8	"Ἀβδηρίτης"	"a man of Abdera"	")Abdhri/thj "	6	0	0	0		0	"abdgqitgr"	" ̓Αβδηρίτης"							0	0	0	"*)abdhri/ths"	0	0	0
9	"ἀβελτερία"	"silliness, stupidity, fatuity"	"a)belteri/a "	1	0	2	0		0	"abekteqia"	"ἀβελτερία"							0	0	1	"a)belteri/a"	0	1	0
10	"ἀβέλτερος"	"good for nothing, silly, stupid, fatuous"	"a)be/lteroj "	3	9	2	0		-1	"abekteqor"	"ἀβέλτερος"							0	0	0	"a)be/lteros"	0	2	0
11	"ἀβίαστος"	"unforced, without violence"	"a)bi/astoj "	3	0	122	0		0	"abiastor"	"ἀβίαστος"							0	0	0	"a)bi/astos"	0	1	0
12	"ἀβίωτος"	"not to be lived, insupportable"	"a)bi/wtoj "	3	0	124	0		0	"abiytor"	"ἀβίωτος"							0	0	0	"a)bi/wtos"	1	13	1833
13	"ἀβλαβής"	"without harm"	"a)blabh/j "	3	10	125	0		0	"abkabgr"	"ἀβλαβής"							0	0	0	"a)blabh/s"	0	1	0
14	"ἀβουλία"	"want of counsel, thoughtlessness"	"a)bouli/a "	1	11	134	0		0	"aboukia"	"ἀβουλία"							0	0	1	"a)bouli/a"	0	1	0
15	"ἁβρός"	"delicate, graceful, beauteous, pretty"	"a(bro/j "	3	0	3	0		-1	"abqor"	"ἁβρός"							0	0	0	"a(bro/s"	0	1	0
16	"ἁβρότης"	"delicacy, luxury"	"a(bro/thj "	1	0	3	0		0	"abqotgr"	"ἁβρότης"							0	0	1	"a(bro/ths"	0	2	0
17	"ἁβρύνω"	"to make delicate, treat delicately"	"a(bru/nw "	2	0	3	0		0	"abqumy"	"ἁβρύνω"							0	0	0	"a(bru/nw"	0	3	0
18	"ἀγαθήνηομ"		"a)gaqh/nhom "	0	0	0	-1		0	"acahgmgol"	"ἀγαθήνηομ"							0	0	0	"a)gaqh/nHom"	0	0	0
19	"Ἀγάθοκλεης"		")Aga/qoklehj "	6	0	0	0		0	"acahojkegr"	" ̓Αγάθοκλεης"							0	0	0	"*)aga/qoklehs"	0	0	0
20	"ἀγαθός"	"good"	"a)gaqo/j "	3	0	4	0		-1	"acahor"	"ἀγαθός"							0	0	0	"a)gaqo/s"	0	1	0
21	"Ἀγάθων"		")Aga/qwn "	6	0	0	0		0	"acahym"	" ̓Αγάθων"							0	0	0	"*)aga/qwn"	0	0	0
22	"ἀγάλλω"	"to make glorious, glorify, exalt"	"a)ga/llw "	2	0	5	0		-1	"acakky"	"ἀγάλλω"							0	3	0	"a)ga/llw"	0	1	0
23	"ἄγαλμα"	"a glory, delight, honour"	"a)/galma "	1	0	5	0		0	"acakla"	"ἄγαλμα"							0	0	3	"a)/galma"	0	2	0
24	"ἀγαλματοποιός"	"a maker of statues, a sculptor, statuary"	"a)galmatopoio/j "	1	0	5	0		0	"acaklatopoior"	"ἀγαλματοποιός"							0	0	5	"a)galmatopoio/s"	0	3	0
25	"ἄγαμαι"	"to wonder, be astonished"	"a)/gamai "	2	0	6	0		-1	"acalai"	"ἄγαμαι"	"ἄγαμαι"		"ἠγάσθην, ἠγασάμην"				0	0	0	"a)/gamai"	0	1	0
26	"Ἀγαμέμνων"	"the very steadfast"	")Agame/mnwn "	6	0	0	0		0	"acalelmym"	" ̓Αγαμέμνων"							0	0	0	"*)agame/mnwn"	0	0	0
27	"ἀγαμένως"	"with admiration, respect or deference"	"a)game/nwj "	4	0	6	0		0	"acalemyr"	"ἀγαμένως"							0	0	0	"a)game/nws"	0	3	0
28	"ἄγαμος"	"unmarried, unwedded, single"	"a)/gamoj "	3	7	141	0		0	"acalor"	"ἄγαμος"							0	0	0	"a)/gamos"	1	3	1939
29	"ἄγαν"	"very, much, very much"	"a)/gan "	4	0	0	0		0	"acam"	"ἄγαν"							0	0	0	"a)/gan"	0	0	0
30	"ἀγανακτέω"	"to feel irritation"	"a)ganakte/w "	2	0	7	0		-1	"acamajtey"	"ἀγανακτέω"							0	0	0	"a)ganakte/w"	0	1	0
